names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA2-FC-IG Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Large1,10.15047,0.6975518,3.297735217755526e-24,1.1216474088745693e-21,0.7486631016042781,0.846381199538639,2.3627567,1.9361435
Hivep2,10.059944,0.6879113,8.304552464463053e-24,2.736140484628138e-21,0.8181818181818182,0.826340830449827,2.2335296,1.8201165
Cacna1a,10.059407,0.89304334,8.349963518403697e-24,2.736140484628138e-21,0.7807486631016043,0.7525951557093425,1.8332541,1.3426714
Nrxn3,10.026429,1.0383067,1.1665930866980038e-23,3.776669426454863e-21,0.9144385026737968,0.9293901384083045,3.795886,3.099574
Amigo2,9.978036,4.417897,1.9019348955709465e-23,6.012351840469569e-21,0.44919786096256686,0.03143021914648212,0.2930799,0.015806096
Camk4,9.970456,1.345871,2.0528389406917723e-23,6.413928178649759e-21,0.7272727272727273,0.6260092272202998,1.5207374,0.87825555
Fgfr1,9.952211,1.8869834,2.4664173486710895e-23,7.61754415618301e-21,0.6577540106951871,0.33679354094579006,0.7511529,0.2644125
Ppp3ca,9.904014,0.69082636,3.998967551134771e-23,1.2210483874885375e-20,0.9411764705882353,0.9404195501730104,3.0290618,2.5794847
Frmpd4,9.862964,1.0382746,6.024413421511073e-23,1.7788570179780498e-20,0.7700534759358288,0.8340181660899654,2.787487,2.1306753
Lrp1b,9.803856,0.6653243,1.083678886172272e-22,3.127440647967046e-20,0.8770053475935828,0.9393742791234141,3.5217195,3.0777252
Stard5,9.802892,2.7314672,1.0940804648637973e-22,3.127440647967046e-20,0.5187165775401069,0.13696655132641292,0.44478917,0.08097624
Pygo1,9.728131,1.9955372,2.2875582202449253e-22,6.336772100822798e-20,0.6203208556149733,0.30302047289504036,0.63917047,0.20246767
Sh3rf1,9.70566,1.513784,2.852255086380062e-22,7.820417772554313e-20,0.7005347593582888,0.5554354094579008,1.249748,0.6268941
