names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OEC (for_DEGs),mean_expr_Rest (for_DEGs)
Zbtb20,8.100775,2.2475479,5.461039585843665e-16,2.7173728457707275e-13,0.975,0.8674552406818425,3.7831028,2.3070698
Adam12,8.062488,4.1672716,7.475733413216024e-16,3.6522355784202644e-13,0.825,0.2961440874816853,1.8807914,0.26955727
Eepd1,8.034381,4.375181,9.405236078972282e-16,4.4336612884558806e-13,0.8,0.23664367651788587,1.456827,0.14725581
Maml2,7.938082,3.000439,2.0533147377544465e-15,9.51251155232103e-13,0.925,0.5403637923024693,2.4247835,0.82727426
Csmd1,7.9089684,1.4066852,2.5953052789973937e-15,1.1622642141109996e-12,1.0,0.943322731658507,4.5385303,3.5809836
Gas7,7.895502,2.331118,2.891491591648804e-15,1.2531351462516673e-12,0.9,0.5999356752313905,1.7264687,0.65143245
Cdh19,7.8894286,4.4430985,3.035726380335382e-15,1.2899012686029231e-12,0.8,0.14394453775506558,1.6231455,0.17148037
Utrn,7.887933,3.355513,3.0723364789946808e-15,1.2899012686029231e-12,0.85,0.374405889289926,1.8498303,0.4210388
Rasa2,7.8522277,2.980424,4.0871228671805925e-15,1.6895537144791158e-12,0.85,0.5331093878426187,1.7676849,0.47961748
Kank1,7.775399,4.5102134,7.520971972314001e-15,2.9718899543540765e-12,0.775,0.12722009791659222,1.4288868,0.13040082
Cep85l,7.7650332,2.9259126,8.162390325541059e-15,3.1786004064824384e-12,0.85,0.5347889790229783,1.7469318,0.4844756
Sorcs1,7.749288,3.1487706,9.240918680010884e-15,3.547192641884178e-12,0.875,0.4636743737269056,2.225158,0.6579173
Apoe,7.737572,4.1656938,1.0133317683768937e-14,3.834961213561568e-12,0.85,0.3459957831540578,2.3850932,0.43786204
Frzb,7.707989,6.4545074,1.2781571732342088e-14,4.588341171586456e-12,0.725,0.06296680127220097,1.4143387,0.034888905
Slc25a13,7.7077346,4.9305763,1.2807055745031047e-14,4.588341171586456e-12,0.75,0.09813100811206804,1.2375658,0.077188194
Ptprj,7.659424,2.0848842,1.867690536363003e-14,6.603269041062353e-12,0.9,0.7115391487688953,2.1037621,0.9919293
Zeb1,7.6072893,2.4147773,2.7990469658545126e-14,9.4433471302202e-12,0.9,0.6933495336454276,2.2869601,0.97784823
Pbx3,7.5919156,4.007487,3.152101169210717e-14,1.0456414619344685e-11,0.8,0.33641853982775255,2.0479953,0.3505427
Xylt1,7.584082,2.5904746,3.348486458535131e-14,1.092886910254359e-11,0.875,0.6401029196297752,2.3324754,0.93399554
Dmd,7.583026,1.5390303,3.375869503204756e-14,1.092886910254359e-11,0.975,0.8738877175427938,3.2761014,2.2788475
Camk2d,7.5336003,2.50973,4.936007066529015e-14,1.5422152311352865e-11,0.925,0.5591966551120323,2.0718474,0.7968245
Gm29521,7.524652,7.267222,5.286092326177031e-14,1.614060236413373e-11,0.7,0.030625737054640317,1.5547613,0.023950052
Plp1,7.4766636,3.0077796,7.623310728476934e-14,2.2025630029481206e-11,0.95,0.7180073616124075,2.9912672,1.2093006
Ghr,7.4612513,3.5566075,8.570464385041668e-14,2.3741069899594805e-11,0.8,0.39770574991959406,1.8071802,0.35967398
Foxo1,7.4358244,3.375269,1.0391777456479933e-13,2.8492557168940385e-11,0.8,0.33942036236286316,1.5481968,0.3051708
Pard3b,7.4166956,3.6140528,1.2007843684603228e-13,3.221789959385933e-11,0.8,0.3265911446235214,1.7946465,0.34342366
Frmd4a,7.4088035,1.4390233,1.2744390173383407e-13,3.357272195674629e-11,0.975,0.85501911875067,3.103763,2.1803064
Dlc1,7.397782,2.523837,1.3847790412792674e-13,3.6125255183663994e-11,0.9,0.5468677411285423,1.9360052,0.70866686
Sh3pxd2b,7.377147,4.698902,1.6171717906962057e-13,4.178212116923755e-11,0.725,0.13940606796983884,1.1700314,0.08209253
Matn4,7.3563166,4.7008114,1.8905406564377536e-13,4.7475539662133114e-11,0.725,0.11399778436908123,1.2216624,0.088018045
Vstm4,7.3090425,7.5735006,2.6905269981227907e-13,6.57222367632358e-11,0.675,0.015580888396526462,1.1863788,0.011873742
Mir99ahg,7.293796,1.577431,3.013412043282242e-13,7.294628973242688e-11,0.975,0.8736375656648679,3.1192174,2.1098862
Abca8a,7.2837234,5.5570154,3.2473082285508876e-13,7.790640366175209e-11,0.7,0.0832648393667584,1.3956522,0.06252522
Msi2,7.213506,2.452518,5.452925712613696e-13,1.2631044301545688e-10,0.875,0.6514312261015617,2.0637202,0.81361294
Megf10,7.207736,4.3596334,5.688969261764902e-13,1.3065179834497684e-10,0.725,0.13397419862059107,1.3932976,0.13758528
Tmem132b,7.191502,1.8177408,6.408230537419156e-13,1.4349096211704395e-10,0.925,0.7204374084265447,2.059059,1.078365
Bmp6,7.1762753,6.2638593,7.163615704790817e-13,1.564929707217311e-10,0.675,0.03709394989815245,1.2997037,0.034133244
Mapk4,7.1563935,2.8751662,8.282708546692098e-13,1.7804510291969337e-10,0.8,0.4859021548797484,1.7163925,0.48373473
Ext1,7.138976,1.8152112,9.402855554181018e-13,1.989407312920031e-10,0.95,0.7740771182503663,2.5307527,1.4552933
Srgap1,7.104073,2.996675,1.2113272987183605e-12,2.465785190648663e-10,0.8,0.4538112425401136,1.6802565,0.4363993
Stox2,7.057581,1.7415812,1.6942580335569245e-12,3.298892272585113e-10,0.925,0.7462030518529107,1.9963892,1.0656195
Sparcl1,7.03856,2.4527555,1.9423671212976243e-12,3.7015180531395153e-10,0.9,0.5897866561841117,1.8972738,0.7106268
Ncam2,7.0173187,1.7722894,2.2616617243221054e-12,4.2796373614461244e-10,0.975,0.8588071329021192,3.2198417,2.083554
Foxp2,6.982445,3.5697534,2.900866275829561e-12,5.29790334939825e-10,0.75,0.20133652574777544,1.36048,0.21838427
Fndc1,6.981741,4.712101,2.9154458778088433e-12,5.29790334939825e-10,0.7,0.17935889647285852,1.3768094,0.107072584
Hey2,6.9816136,7.0501795,2.9180859535204357e-12,5.29790334939825e-10,0.65,0.030697209019761997,1.0787954,0.014540495
Trmt9b,6.9741616,4.43818,3.077000322188155e-12,5.548926084375552e-10,0.7,0.17406997105385413,1.2819251,0.11341846
Abca1,6.9620156,3.6054254,3.354385800805662e-12,6.008823097843209e-10,0.75,0.2584783618625594,1.4345449,0.23327209
Sorbs1,6.9240904,1.7750964,4.387855136029506e-12,7.705991340203452e-10,0.875,0.7488475145624129,2.2192008,1.2225459
Col23a1,6.9142423,3.9768891,4.703701240330772e-12,8.154093698560506e-10,0.725,0.23353464603509275,1.4545871,0.18936588
Zfp521,6.9085217,4.259881,4.8973105872127625e-12,8.435303556308136e-10,0.7,0.13526069399278134,1.303662,0.13105701
Sema6a,6.876875,3.1771212,6.117982184826002e-12,1.0470712185113037e-09,0.775,0.3873780509595111,1.6922096,0.39873385
Ptpn13,6.8623815,4.165893,6.7721888366726726e-12,1.1373044627587168e-09,0.7,0.15845334667476682,1.1647638,0.11587189
Fign,6.8207893,3.7866564,9.054174129184676e-12,1.5110910487651692e-09,0.725,0.17982346424614945,1.3473854,0.187576
Qki,6.8099337,2.145351,9.76436165850165e-12,1.6195580108885144e-09,0.95,0.8282171318300396,2.9101872,1.5941448
Pmepa1,6.7513447,3.587795,1.4648117424073645e-11,2.32896399517668e-09,0.725,0.25376121216452846,1.2220438,0.18158697
Scd2,6.7347097,2.7364004,1.642576046020001e-11,2.596236373915143e-09,0.825,0.5430439909945324,1.8539226,0.5922437
Slc7a11,6.7246075,4.625422,1.760665302555591e-11,2.7644162785268602e-09,0.675,0.09627273701890433,1.4168211,0.11917462
Aspa,6.717243,4.140376,1.8519449492869244e-11,2.8764023576496915e-09,0.7,0.15634492370367722,1.5291531,0.18643622
Dst,6.7123632,1.3982542,1.9149704464116637e-11,2.9571986146598507e-09,0.925,0.8557338384018869,2.3868232,1.5577099
Pik3r1,6.6820564,2.6628325,2.3561197274834038e-11,3.5566818582853404e-09,0.8,0.5048422256369939,1.6273962,0.49831387
Lrp4,6.5331535,4.648576,6.439915280395516e-11,9.353541815363649e-09,0.65,0.10295536575778151,1.1449777,0.08196236
Ttyh1,6.519814,3.0488343,7.03946111306078e-11,1.0169372048814148e-08,0.75,0.4047100025015188,1.4383849,0.32812583
Arhgap32,6.518484,1.6183205,7.102150224583992e-11,1.0205068263880849e-08,0.9,0.7250116141943322,1.8051399,0.9764101
Hmgcs2,6.5113354,7.867446,7.448573037445535e-11,1.0645912633838379e-08,0.6,0.008576635814601722,1.0573196,0.008012463
Snx29,6.508235,2.4054666,7.603887065158821e-11,1.0753497128464079e-08,0.8,0.6041167851910089,1.6984857,0.6113313
Lrig1,6.489576,4.5497947,8.607844865656789e-11,1.2046499559385307e-08,0.65,0.1191795018404031,1.0834458,0.08016121
Mmd2,6.466897,2.8168314,1.0003582098169123e-10,1.3855476854525996e-08,0.75,0.40360218704213274,1.2833169,0.31496787
Lpar1,6.465665,3.937525,1.0085447170241024e-10,1.3897228998173144e-08,0.675,0.15334310116856664,1.2302774,0.14676853
Notch2,6.3836436,3.7962775,1.7292314958535812e-10,2.2888891770239272e-08,0.675,0.18307543865918594,1.1583296,0.14604315
Kctd12,6.3695903,3.9343424,1.8953353197799758e-10,2.4842760996335583e-08,0.675,0.21009184147518137,1.2363386,0.14824405
Nr2f2,6.3593416,4.3832726,2.0262040194693273e-10,2.6301498552241942e-08,0.65,0.15920380230854447,1.2091383,0.106733024
Ptprt,6.3530335,2.3586957,2.1110936209268012e-10,2.7271675766491896e-08,0.925,0.6191616338491227,2.4771116,1.1399049
Nkain2,6.312615,1.3145379,2.743595846534114e-10,3.4448794577743756e-08,1.0,0.9296001143551442,4.105628,3.2186766
Erbb3,6.296127,5.4710526,3.0517512948591805e-10,3.7788275250168745e-08,0.6,0.041060643962405746,0.92979306,0.033999033
Tox,6.280636,2.4794846,3.3719114955591305e-10,4.109765463195071e-08,0.825,0.41257191866490367,1.682876,0.57972693
9430041J12Rik,6.2771544,4.8640857,3.448258231118252e-10,4.173635075231866e-08,0.625,0.12075188507308009,1.1456716,0.07105275
Kirrel,6.2351904,5.462493,4.5122921486709707e-10,5.294554149990785e-08,0.6,0.06614730372011579,0.98724115,0.03747643
Klf7,6.2237678,1.7683876,4.853552551888209e-10,5.645669137196371e-08,0.825,0.6318479076582211,1.4575213,0.6766568
Selenop,6.1644745,3.721474,7.07176156502469e-10,8.085882266051634e-08,0.65,0.12539756280598935,1.0211817,0.12634538
Gpam,6.1601324,4.091827,7.268418122627556e-10,8.275525209957732e-08,0.65,0.19329592967158632,1.1968164,0.12702584
Slc1a3,6.1364365,2.889663,8.43930722700892e-10,9.331859472828382e-08,0.75,0.3139406067969839,1.524346,0.39521745
6030407O03Rik,6.1090636,6.203801,1.0021740656449756e-09,1.0946511034097762e-07,0.575,0.030339849194153595,0.9417051,0.02100078
Fut9,6.066542,1.5965931,1.3069345419003036e-09,1.388036803986607e-07,0.925,0.7487045706321696,2.0897708,1.206589
Wls,5.9903693,3.177086,2.0936508224853436e-09,2.1513265196744115e-07,0.7,0.3416359932816353,1.4359661,0.30321372
Plcb4,5.940259,2.839553,2.8457224397823585e-09,2.811197130770293e-07,0.7,0.33016474287960546,1.289474,0.31301594
Fbln2,5.938958,5.1907797,2.8683889408520656e-09,2.823209188303846e-07,0.575,0.0675767430225494,0.88219154,0.0380412
Inhba,5.9017763,4.5517254,3.596082469400452e-09,3.463323869275632e-07,0.6,0.13962048386520387,1.0467861,0.07586319
Hivep3,5.8842807,1.3159112,3.997884936845362e-09,3.822888549930067e-07,0.925,0.7804738591287568,2.074035,1.3335243
Lama4,5.8806524,4.4080243,4.08651974998803e-09,3.8800277626211444e-07,0.6,0.12939999285280349,1.1312093,0.09429965
Usp54,5.8791857,3.0469708,4.122896333871024e-09,3.9007825525040293e-07,0.7,0.42004073902011935,1.497513,0.3506026
Fmo1,5.8723793,6.438174,4.2958487510101205e-09,4.050156348759367e-07,0.55,0.023478540542472216,0.9267558,0.017448675
Crybg1,5.8517246,6.3306723,4.86501283136932e-09,4.538989402044918e-07,0.55,0.029267769717328376,0.90605,0.018154431
Fat1,5.8419256,3.8647912,5.1600836055666324e-09,4.797627905936866e-07,0.625,0.1922238501947611,1.1493181,0.13801455
Mfap3l,5.8267283,3.4564729,5.65245418392609e-09,5.219293605570242e-07,0.65,0.29571525569095525,1.1749104,0.18553196
Pitpnc1,5.8161564,2.115056,6.0216070345641494e-09,5.522204130332379e-07,0.8,0.5061287210091842,1.5375483,0.6115503
Itga7,5.809849,4.6252904,6.252930349450271e-09,5.714838043868325e-07,0.575,0.09137690740806918,0.7958928,0.048110865
Gramd1b,5.781791,1.4197214,7.390938120897253e-09,6.641956766170877e-07,0.875,0.6794482364292607,1.5071542,0.8387305
Cmss1,5.777146,1.4571178,7.597836311166313e-09,6.777758841957177e-07,0.95,0.8407961976914555,2.21014,1.3753283
Malat1,5.7427807,0.8261563,9.313432487016516e-09,8.204981341840453e-07,1.0,0.9936747310867312,5.552799,4.983146
Tspan18,5.6850324,3.765349,1.3078779224951451e-08,1.1222076782579882e-06,0.6,0.1656720151520566,0.9976249,0.1185707
Bcl2,5.6546574,3.2187014,1.5615758400614772e-08,1.3071508667430497e-06,0.65,0.2929635850337705,1.2537957,0.23817529
Clca3a1,5.6452885,7.9902196,1.649045404311791e-08,1.3633800004263947e-06,0.525,0.019154486652610513,1.0907098,0.0077427197
Bcar3,5.6105027,5.0548935,2.0173982309335357e-08,1.6376885336913627e-06,0.55,0.06875603044705714,0.920053,0.044407673
Rgcc,5.591667,4.778195,2.2489954996477574e-08,1.8038957932995594e-06,0.55,0.06221634563842333,0.9035203,0.052126605
