"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
0.000122247746050923,-0.257522500730761,0.116,0.213,1,"Sfmbt1","Down"
0.00012321452718355,-0.412836871954892,0.146,0.252,1,"Pcmtd2","Down"
0.000124734783935325,-0.344538098192465,0.277,0.421,1,"Tpr","Down"
0.000124874476922938,-0.510065154387737,0.066,0.141,1,"Nono","Down"
0.000127812292854402,-0.369405542434116,0.208,0.335,1,"Hspa5","Down"
0.000127833045607175,-0.726159571566239,0.044,0.108,1,"Tpi1","Down"
0.000128708765533203,-0.317688004055645,0.291,0.439,1,"Ermn","Down"
0.000129308530882138,-0.275572569333774,0.491,0.658,1,"Tasor","Down"
0.000130281105528185,-1.06043886922127,0.05,0.116,1,"Neurod6","Down"
0.000132776666654129,0.360584410583829,0.778,0.769,1,"Gm16168","Up"
0.000133284152963666,-0.507099621067623,0.154,0.258,1,"Tm9sf2","Down"
0.000133575713942033,-0.346862711180122,0.255,0.397,1,"Atp11a","Down"
0.000133886930725988,-0.291836370858541,0.21,0.338,1,"Itprid2","Down"
0.000134462718203299,-0.664942748678606,0.062,0.135,1,"Rps11","Down"
0.000135618430206805,-0.418135023501201,0.184,0.295,1,"Zfhx4","Down"
0.000136107132840377,-0.269359946757259,0.198,0.32,1,"Nudcd3","Down"
0.000137821090626396,-0.97709454337109,0.046,0.11,1,"Atp6v1g2","Down"
0.00013819575393507,-0.589879030907608,0.126,0.219,1,"mt-Co2","Down"
0.000138222971783673,-0.630632278958161,0.07,0.145,1,"Add2","Down"
0.000139505056382679,-0.328941127159284,0.142,0.249,1,"Washc4","Down"
0.000140025629452788,-0.453479522905894,0.078,0.16,1,"Rps7","Down"
0.000140275441671233,-0.424389319737089,0.154,0.259,1,"Smarcc2","Down"
0.000141531082916909,-0.809503283053497,0.048,0.113,1,"Manf","Down"
0.000142854734570857,-0.643358516803745,0.082,0.161,1,"Rragb","Down"
0.000143295384278764,-0.283420965797926,0.307,0.464,1,"Kif5b","Down"
0.000143754991560339,-0.637740944552541,0.056,0.124,1,"Rpl36","Down"
0.000147678559445106,-0.783767431468568,0.05,0.116,1,"Zfp141","Down"
0.000147816479241988,-0.916715170004508,0.048,0.113,1,"Cep192","Down"
0.000148200094493211,-0.697284775076834,0.06,0.13,1,"Ap2s1","Down"
0.000148652330595106,-0.498822018367757,0.086,0.169,1,"Ermp1","Down"
0.000149198805680427,-0.529595027231868,0.058,0.129,1,"Tmem132a","Down"
0.000149607031007986,-0.323440249368433,0.174,0.287,1,"Mpc1","Down"
0.000149959565854304,-0.286815283510083,0.277,0.421,1,"Appbp2","Down"
0.00015111008377332,-0.250390962841788,0.24,0.379,1,"Ccar1","Down"
0.000152142383906593,-0.391485833806769,0.118,0.213,1,"Ergic2","Down"
0.000153423572587482,-0.640531056374323,0.072,0.148,1,"Vdac2","Down"
0.000154329260533986,-0.353596588248364,0.17,0.284,1,"St13","Down"
0.000154382562537539,-0.377452771901049,0.188,0.311,1,"Fktn","Down"
0.000155705784433212,-0.944119572146772,0.048,0.113,1,"Atp5e","Down"
0.000158100139834656,-0.404530628624874,0.114,0.207,1,"Psmc6","Down"
0.000158683635538187,-0.549622651037385,0.074,0.151,1,"Bclaf3","Down"
0.000158769621251634,-0.297954875060367,0.168,0.281,1,"Immp1l","Down"
