names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_4 (for_DEGs),mean_expr_Rest (for_DEGs)
Camk1,-10.211246,-1.2882699,1.765841282030148e-24,9.340188040974426e-24,0.03706030150753769,0.19474918665355223,0.05119357,0.12070179
Eef1akmt1,-10.21174,-1.2766215,1.7568652319830705e-24,9.294540024293188e-24,0.035175879396984924,0.1929333434213513,0.047381435,0.111142546
Ypel1,-10.213484,-1.0475359,1.7255481901693035e-24,9.130657713637098e-24,0.034547738693467334,0.19270636301732616,0.051052533,0.102795854
Slc16a14,-10.216245,-2.6932876,1.6771224264809507e-24,8.877911662636553e-24,0.010050251256281407,0.16372853143678595,0.012805767,0.08006583
Ctbp2,-10.216287,-2.494123,1.6764054208688855e-24,8.875864760344228e-24,0.013819095477386936,0.16777634864190058,0.017479034,0.094709985
Rps29,-10.216809,-0.36965227,1.6673861575382423e-24,8.82985140974627e-24,0.2971105527638191,0.5299235832639783,0.46497193,0.5680662
Rpl26,-10.217945,-0.44910246,1.6479728614394965e-24,8.728766171275234e-24,0.1614321608040201,0.34712869788908224,0.24485299,0.32117698
Cep83os,-10.218497,-0.5873881,1.6386198878898566e-24,8.68093777358053e-24,0.05841708542713568,0.22194900506922902,0.0791277,0.116646305
Slc11a2,-10.222194,-0.47486946,1.5773024691092086e-24,8.359391981255313e-24,0.06344221105527638,0.22864492698797004,0.08623123,0.11792737
Letm1,-10.223257,-0.37646234,1.5600835364069178e-24,8.269766151756536e-24,0.08605527638190955,0.25652568661572217,0.118467465,0.1512344
Gdap1l1,-10.223736,-1.899814,1.5523997310092692e-24,8.230659189467061e-24,0.019472361809045227,0.17477491109934176,0.025591515,0.09233411
Zbtb41,-10.224023,-0.78882605,1.5478074566339138e-24,8.207930996596262e-24,0.05464824120603015,0.21691760611333888,0.072319046,0.12183897
Gpat4,-10.224834,-0.29386318,1.534894235854964e-24,8.141059636285606e-24,0.09547738693467336,0.26882045850041614,0.12994857,0.1571067
Klhdc3,-10.225425,-0.715933,1.5255744617748202e-24,8.093225229593173e-24,0.05464824120603015,0.21687977604600137,0.07728447,0.123965845
Coq9,-10.225773,-0.73283786,1.5201096212460331e-24,8.065826525055471e-24,0.04773869346733668,0.2087463115684346,0.06802805,0.11063771
Hdhd2,-10.228639,-0.6806686,1.4757949050297227e-24,7.833782911526798e-24,0.06407035175879397,0.2283801165166074,0.084158674,0.13167292
Uevld,-10.232335,-0.37070173,1.42051764613868e-24,7.541851245158334e-24,0.07788944723618091,0.24672769917530454,0.108555816,0.13824993
Bcas2,-10.234166,-0.5264883,1.3939058647434115e-24,7.403488947550003e-24,0.0722361809045226,0.23889687523643793,0.1040825,0.14669669
Grk5,-10.236525,-0.26614365,1.3603480644246056e-24,7.22668099863368e-24,0.12060301507537688,0.301846107286071,0.17864718,0.21125305
Slc25a12,-10.250112,-0.44963664,1.1820703217190482e-24,6.283329286763764e-24,0.3712311557788945,0.6735643489445411,0.5811389,0.7305719
Zfp33b,-10.253454,-0.31760022,1.1418817864400993e-24,6.0709069255333336e-24,0.08668341708542714,0.25834152984792313,0.1147859,0.14114055
Sap30bp,-10.255679,-0.26920566,1.1158875312279022e-24,5.9338804599433475e-24,0.09296482412060302,0.2673450858742529,0.12509857,0.14893515
Med26,-10.260637,-0.36438027,1.0600452766651381e-24,5.638047621534494e-24,0.0829145728643216,0.2539154119694333,0.10797356,0.13695721
Tmem231,-10.263448,-1.4121335,1.0296358102039626e-24,5.477393431039492e-24,0.02701005025125628,0.18430808806839677,0.03725085,0.09622409
Dnajb5,-10.263586,-1.7404497,1.0281569210891854e-24,5.470609201914141e-24,0.020100502512562814,0.17602330332147992,0.027022686,0.08757528
Wdtc1,-10.264539,-0.2863574,1.0180652968284393e-24,5.417986636122037e-24,0.08731155778894473,0.25977907240674886,0.11912865,0.14348716
Cdipt,-10.273398,-0.99660534,9.287462257185601e-25,4.945582854747861e-24,0.06030150753768844,0.222894756752667,0.07930673,0.15245017
Chd8,-10.274905,-0.36781204,9.143441196843002e-25,4.869856589874558e-24,0.34296482412060303,0.6385337065899978,0.5180555,0.6290706
Rps23,-10.278708,-0.49969116,8.789724447470605e-25,4.682392860894828e-24,0.20163316582914573,0.39574033441779527,0.30229506,0.40483388
Vps26b,-10.282613,-0.57773,8.440764070312387e-25,4.497389065423237e-24,0.06407035175879397,0.22977982900809563,0.090137854,0.1317125
Trim44,-10.284121,-0.40305987,8.309758419517462e-25,4.4284650680768385e-24,0.3586683417085427,0.6631232503593857,0.55799466,0.68712133
Adamts9,-10.285924,-2.2702322,8.155613637492146e-25,4.347179893660265e-24,0.020100502512562814,0.17572066278277976,0.029784812,0.13614094
Nfatc2,-10.28633,-2.5713606,8.121252817319885e-25,4.329723476217963e-24,0.01193467336683417,0.16683059695846258,0.017338838,0.09889959
Atp10a,-10.286999,-2.8407784,8.065104483685454e-25,4.300642140834057e-24,0.01507537688442211,0.16997049254747673,0.019017251,0.12887204
Ndufc2,-10.287522,-0.60108626,8.021419201965139e-25,4.2781963865979214e-24,0.11369346733668342,0.28826511311190134,0.1656833,0.24164096
Mat2b,-10.290345,-0.36072484,7.789693549541441e-25,4.155431123211803e-24,0.10050251256281408,0.27555421048649464,0.13978584,0.17617407
Slc38a7,-10.292182,-1.1192377,7.64245156140892e-25,4.077694071784306e-24,0.0364321608040201,0.1959975788756904,0.04844115,0.1023942
Gna13,-10.293021,-0.4162283,7.576141562443182e-25,4.0431166590436605e-24,0.10050251256281408,0.27491109934175684,0.13956153,0.18220268
5430402O13Rik,-10.294466,-1.3832053,7.463260924725427e-25,3.9844589916028655e-24,0.032663316582914576,0.19115533025648784,0.039440848,0.09978777
Usf2,-10.295515,-0.45139804,7.3823253527804395e-25,3.942816184241909e-24,0.08542713567839195,0.2563365362790346,0.11756553,0.15750457
Papola,-10.298122,-0.6107772,7.184962184643264e-25,3.838169660066889e-24,0.44032663316582915,0.7449875160777786,0.7081977,0.9452289
Zbtb46,-10.302615,-2.0431354,6.857106845371169e-25,3.6644880854240915e-24,0.01821608040201005,0.174283120223954,0.02396853,0.095289536
Gm28379,-10.302684,-1.3140329,6.852218946693988e-25,3.662604398203052e-24,0.03015075376884422,0.18843156540818642,0.03945025,0.09535371
