names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA1 (for_DEGs),mean_expr_Rest (for_DEGs)
Sugp1,8.381903,0.36491507,5.2078919039755474e-17,6.086822769022312e-16,0.48255528255528257,0.3883267284829364,0.32187206,0.25839427
Pdlim7,8.377082,0.5808352,5.425629423254137e-17,6.338550547949507e-16,0.3601965601965602,0.26782347735754686,0.21961091,0.15203154
BC002059,8.373981,0.5425276,5.570343669539945e-17,6.501960660318781e-16,0.3754299754299754,0.2825593474664307,0.23176841,0.16473076
Scfd1,8.368361,0.2587602,5.842516342143386e-17,6.810859392695997e-16,0.6083538083538084,0.49590242776345655,0.46775356,0.40444905
Bbs5,8.36836,0.5218243,5.842586862733262e-17,6.810859392695997e-16,0.399017199017199,0.30806817744603904,0.25527957,0.18444842
Gm56822,8.364392,1.1062107,6.042571028603062e-17,7.037879650566289e-16,0.23587223587223588,0.13443114924396907,0.13964653,0.067298986
Mrs2,8.356735,0.4625338,6.447757121065479e-17,7.503301595627086e-16,0.3941031941031941,0.3007964295333,0.24140331,0.18077378
Slc25a25,8.347716,0.5024345,6.959541651286393e-17,8.091859981396165e-16,0.3832923832923833,0.29013889423261896,0.24258658,0.17714421
Gm16105,8.347506,1.3482913,6.971955129007478e-17,8.1027869514027235e-16,0.21621621621621623,0.11480897233657805,0.124601975,0.0508051
Ptk2,8.339112,0.41661927,7.485008948592679e-17,8.684032402792974e-16,0.975921375921376,0.7819245123311915,1.5358117,1.3166298
Drg1,8.337122,0.26216358,7.612023129697352e-17,8.827581419722394e-16,0.51007371007371,0.41195029048516796,0.34791064,0.2978528
Clpb,8.336475,0.3047184,7.653788519118162e-17,8.872187122894953e-16,0.5287469287469287,0.4258012388903851,0.36845174,0.3079802
Bicd1,8.331438,0.42011127,7.986640562805442e-17,9.254033286872885e-16,0.9528255528255528,0.7476818898849602,1.3729016,1.1638808
Vti1a,8.320753,0.3690185,8.740641973808499e-17,1.0114601629467458e-15,0.9287469287469288,0.7307529529452503,1.199817,1.028194
Bclaf1,8.312265,0.29648858,9.389199497801207e-17,1.085575690645088e-15,0.8869778869778869,0.7000884921703666,0.9785166,0.8552803
Arih2,8.311437,0.2629506,9.455066191305969e-17,1.0927209830554468e-15,0.5307125307125307,0.4264553114539648,0.36768863,0.3150651
Stox2,8.299841,0.324179,1.0425106891478655e-16,1.2037929616417338e-15,0.9213759213759214,0.7326766957793083,1.2078996,1.0557878
Gm16835,8.299428,0.8134857,1.0461369674057556e-16,1.2069429074363526e-15,0.3022113022113022,0.207071678657997,0.18000595,0.10635982
Prmt3,8.297041,0.36331183,1.0673648704763398e-16,1.2309053248797961e-15,0.45503685503685504,0.3583932899849948,0.29663303,0.23779242
Ino80,8.292605,0.25052717,1.1079437448821988e-16,1.2771535145853574e-15,0.7631449631449632,0.6072871378554114,0.70292217,0.61901915
Arntl2,8.289871,0.65203506,1.1337113344864406e-16,1.3062960359198395e-15,0.35331695331695334,0.26416836597283677,0.21732956,0.14365353
Ago1,8.28074,0.40157118,1.2241254942738996e-16,1.4092652969639968e-15,0.4329238329238329,0.3431572467392559,0.28248978,0.22083446
Tnks1bp1,8.278317,0.72281903,1.2492830930913265e-16,1.437611850593745e-15,0.2933660933660934,0.19768381362779425,0.16505417,0.103219725
Mtmr7,8.272789,0.29341358,1.3086136834172987e-16,1.5052418524581683e-15,0.571990171990172,0.4601208110499788,0.42058128,0.35531327
Fgd4,8.265282,0.27664423,1.3936509879870465e-16,1.6016852885890478e-15,0.7985257985257985,0.6237543765149475,0.7889515,0.6888911
Ccz1,8.259277,0.35873944,1.4655734659778875e-16,1.6814670807355182e-15,0.4407862407862408,0.3465430341271979,0.28380692,0.22787358
Sec11a,8.251081,0.29182705,1.569673545931984e-16,1.7978315506902134e-15,0.483046683046683,0.3860951867954292,0.31741068,0.26632163
Zfp821,8.250642,0.48743796,1.5754585734750088e-16,1.803688618205091e-15,0.3936117936117936,0.30121965295679276,0.24540044,0.18097879
Ggps1,8.245212,0.28155866,1.6486767709074826e-16,1.8843022047760127e-15,0.5523341523341523,0.4472702089184718,0.3960957,0.33635995
Pfkl,8.242511,0.52348405,1.6863432451148507e-16,1.926532440316158e-15,0.32432432432432434,0.22915624639298218,0.19438912,0.1391298
Hectd4,8.238758,0.3244144,1.7400791718918562e-16,1.9870772353903178e-15,0.885995085995086,0.686853141472048,0.9949688,0.8592409
Btaf1,8.237005,0.27051157,1.7657498433939217e-16,2.0146793329934044e-15,0.8103194103194103,0.6331037666884691,0.7881515,0.690278
Gk5,8.235369,0.7602625,1.7900486475107584e-16,2.0415368063927878e-15,0.30319410319410317,0.21111153860951867,0.19094318,0.11708269
Lztfl1,8.234201,0.29427198,1.8075972651576527e-16,2.0598023119078085e-15,0.5341523341523342,0.4300334731253126,0.3700838,0.31131458
N4bp2l2,8.229455,0.28385955,1.8806647383577483e-16,2.1421560627245737e-15,0.8535626535626536,0.6719633719364395,0.87984973,0.7694609
Vps13c,8.228841,0.2787337,1.8903371579306527e-16,2.1522609929490104e-15,0.8540540540540541,0.6569966526874688,0.90587336,0.7953067
Nktr,8.218147,0.38301194,2.0667106524254147e-16,2.3520760368772086e-15,0.9395577395577396,0.7270593667038591,1.2013103,1.0233458
