names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CLA-EPd-CTX Car3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Cald1,3.647676,0.6014796,0.00026462315408471885,0.008007234403441886,0.4883720930232558,0.24438857963727778,0.28440276,0.19623728
Cul4b,3.6471536,0.6820165,0.0002651615156902432,0.008014499355002064,0.45348837209302323,0.21052253546417668,0.19699931,0.12726492
Dcp1a,3.6453052,0.6600923,0.0002670747434231088,0.008063256579526891,0.6046511627906976,0.37378344406536185,0.36897188,0.24873494
Serpinb6a,3.6432893,0.6968509,0.00026917601887412973,0.008117575339110962,0.5581395348837209,0.34110253187286765,0.34519637,0.22660536
Ppp2r2c,3.64272,0.55964285,0.0002697722023354038,0.008126433942547421,0.7790697674418605,0.5338840007182618,0.62554055,0.46358606
Carm1,3.6420302,0.6249747,0.0002704962950354519,0.008139121441884202,0.5465116279069767,0.29664212605494705,0.26062587,0.17652602
Mrpl48,3.6363108,0.7574711,0.00027657049250580325,0.008303295121375344,0.5348837209302325,0.3155683246543365,0.33483088,0.21127698
Clmp,3.635179,0.79376495,0.0002777875812316855,0.008323834500827626,0.5348837209302325,0.31711258753815763,0.38121068,0.23719227
Cntnap2,3.6350987,0.69013864,0.00027787419230526167,0.008323834500827626,0.9767441860465116,0.9141318010414796,3.2369812,2.7824209
Klhl1,3.63463,1.1006006,0.00027837992814712197,0.008326918432496465,0.4069767441860465,0.17823666726521817,0.28403875,0.14252304
Ino80d,3.634429,0.5656998,0.0002785969360183968,0.008326918432496465,0.7674418604651163,0.5043634404740528,0.55821866,0.40883976
Mta3,3.634141,0.60779583,0.000278908257098429,0.008326960964705319,0.7325581395348837,0.5104327527383732,0.59253705,0.4256496
Micu3,3.63169,0.51034987,0.0002815713339457242,0.008378540136347297,0.8837209302325582,0.647297539953313,0.87518317,0.6843052
Vps36,3.63169,0.9470896,0.0002815713339457242,0.008378540136347297,0.4418604651162791,0.21924941641228227,0.23723496,0.13003676
Zfp451,3.629808,0.53826046,0.0002836320852995399,0.008430524482299378,0.8023255813953488,0.5547495061950081,0.65264,0.4909887
Tlcd3a,3.6294262,1.0190486,0.00028405182278529726,0.00843367124667507,0.4883720930232558,0.2792242772490573,0.29917005,0.15878193
Coro2a,3.6268144,1.1986027,0.0002869393622841726,0.008510000733527283,0.4069767441860465,0.18725085293589513,0.22363754,0.10363316
Rap2a,3.623238,0.7070708,0.00029093769599996275,0.008609576973038545,0.5697674418604651,0.3413539235051176,0.35072982,0.22899827
Ints10,3.6199431,0.5768106,0.00029466769466136964,0.008710364087514853,0.7325581395348837,0.48245645537798526,0.5115539,0.37002927
Diras2,3.6185434,0.70710385,0.0002962657016859432,0.00874797736736406,0.5232558139534884,0.30562039863530255,0.31395262,0.20369384
Smpd4,3.61557,0.8727388,0.00029968748713378847,0.008829608310619403,0.5465116279069767,0.3358233075956186,0.34714338,0.20428358
Mir100hg,3.6124022,0.7049355,0.000303373464749122,0.008928417303186099,0.9651162790697675,0.7294307775184055,1.622357,1.2509793
Lrpap1,3.609911,0.6040676,0.0003063021517003587,0.008994905810042229,0.5465116279069767,0.32494164122822766,0.34370348,0.23889327
Washc4,3.6090403,0.6415185,0.00030733184489220203,0.009007087184416165,0.627906976744186,0.4290177769797091,0.4594732,0.31763813
Xrcc4,3.6089935,0.59041965,0.00030738738176812894,0.009007087184416165,0.7441860465116279,0.5296103429700125,0.66879785,0.48992604
Akap17b,3.602725,0.7697086,0.0003148986781623803,0.009217132333576426,0.6162790697674418,0.40384270066439215,0.4404036,0.28107235
Dusp14,3.601774,1.679656,0.00031605311211880795,0.009233152045194986,0.36046511627906974,0.13833722391811815,0.20770101,0.06958199
Ppp1r12a,3.6014323,0.5302452,0.0003164686988871557,0.009233152045194986,0.9418604651162791,0.7763332734781828,1.3971823,1.1338629
Pcnx2,3.6014256,0.622903,0.00031647685275863725,0.009233152045194986,0.8023255813953488,0.51186927635123,0.6669354,0.47980794
Mthfd1l,3.5989544,1.1414005,0.00031949909349857113,0.009311215447187209,0.46511627906976744,0.2589692943077752,0.32677764,0.16144253
Vwa5b2,3.596885,1.0141705,0.00032205067468168877,0.009375408048425762,0.46511627906976744,0.24036631352127852,0.25735775,0.13568369
Grb14,3.593771,0.6133783,0.0003259264034125988,0.009477968029974599,0.7209302325581395,0.5164661519123721,0.732726,0.5344119
Setd2,3.5921502,0.5161496,0.00032796067818017225,0.009526814511028355,0.872093023255814,0.6731190518944156,0.9371932,0.73514175
Slc25a40,3.5907104,0.70630246,0.00032977795021253513,0.009558935838415123,0.47674418604651164,0.23171125875381576,0.21228231,0.13535737
Fhl1,3.588976,0.7417632,0.0003319796420750665,0.009612384679479564,0.5232558139534884,0.29423594900341177,0.29553437,0.18699522
Rbpj,3.5878708,0.5374824,0.00033338942877684683,0.009642813725763052,0.6627906976744186,0.411061231818998,0.43504688,0.31882775
