names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DG-IMN Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Cemip,42.346226,1.7698696,0.0,0.0,0.6609994848016486,0.2950167764384243,0.6607185,0.24257086
Nbea,42.270424,0.6425582,0.0,0.0,0.9505409582689336,0.8990514063211963,2.8987718,2.4838262
Nkain2,42.259182,0.92277575,0.0,0.0,0.9696032972694487,0.9232840396006794,3.75305,3.1342127
Nedd4l,42.179733,1.0364705,0.0,0.0,0.896187532199897,0.7246592933184209,1.6342096,1.1023443
Dlgap1,42.162544,0.8686576,0.0,0.0,0.9739824832560536,0.909655772337517,3.4311416,2.8554091
Grik2,41.84656,0.8079681,0.0,0.0,0.9600721277691912,0.9091172693757508,3.1230648,2.595542
Dpp6,41.770443,0.96015084,0.0,0.0,0.9319938176197836,0.802907915993538,2.3307724,1.7531893
Btbd3,41.667675,1.4754484,0.0,0.0,0.7372488408037094,0.4519696781409221,0.837373,0.38608518
Ablim3,41.604774,2.0556948,0.0,0.0,0.6012364760432767,0.25081811026883727,0.54519075,0.16073261
Ralgapa2,41.58417,1.1038895,0.0,0.0,0.8560020607934055,0.6814133631581127,1.4400296,0.91569746
Sorbs1,41.579575,1.0326619,0.0,0.0,0.8972179289026275,0.7251977962801872,1.6883701,1.1492866
Ank3,41.485073,0.77350736,0.0,0.0,0.9639361154044307,0.8797895696118636,2.8742902,2.3774002
Cers6,41.383236,1.1072828,0.0,0.0,0.8750643997939207,0.6587548154591774,1.44436,0.9176932
Kcnh1,41.046688,1.3845503,0.0,0.0,0.7622359608449253,0.4761608881156539,0.92984825,0.46221215
Fam135b,40.827614,1.1622599,0.0,0.0,0.886913961875322,0.6692349115612444,1.699284,1.0977025
Pdzd2,40.716957,1.6466326,0.0,0.0,0.7063369397217929,0.4235532910815625,0.92369187,0.39542046
Pard3,40.486748,1.2336478,0.0,0.0,0.8217413704276146,0.5749968932521436,1.1316818,0.63836145
Rras2,40.46799,1.38976,0.0,0.0,0.732612055641422,0.463899589909283,0.8182134,0.39427602
St18,40.447968,1.189146,0.0,0.0,0.7601751674394642,0.3436891595211466,1.019642,0.57504964
Nebl,40.35233,1.0800325,0.0,0.0,0.89258114374034,0.7227538212998633,1.8832172,1.291133
Syt7,40.330063,1.1559473,0.0,0.0,0.8366821226172076,0.6020463112547119,1.1965871,0.7110506
Dpf3,40.24309,1.8794862,0.0,0.0,0.6081916537867079,0.23404167184457977,0.6070575,0.20452589
Gabrg2,40.238506,1.0994184,0.0,0.0,0.8575476558475013,0.6569321900501222,1.3221097,0.82595414
Ptpro,40.169582,1.5527256,0.0,0.0,0.69629057187017,0.36696905679135083,0.76419544,0.33006802
Lmo7,40.06026,1.276757,0.0,0.0,0.8055126223596084,0.5258274305124063,1.081675,0.5903659
Npnt,39.926548,3.029815,0.0,0.0,0.47011849562081404,0.08752744293939771,0.3908697,0.056909893
Plcl1,39.55912,1.2636772,0.0,0.0,0.8902627511591963,0.6517957002609668,1.7808754,1.1168946
Kctd16,39.49052,1.1921903,0.0,0.0,0.9263266357547656,0.7836046559794541,2.6048422,1.8692073
Snca,39.41663,1.1025664,0.0,0.0,0.8650180319422978,0.6539082888032808,1.371408,0.8626969
Rgs7bp,39.40887,0.9694758,0.0,0.0,0.8900051519835136,0.7327782610496666,1.6649389,1.1595426
Osbp2,39.26119,1.2369281,0.0,0.0,0.7697063369397218,0.5274843627024564,0.94267344,0.5096869
Gabra2,39.19844,1.0719893,0.0,0.0,0.9198866563626996,0.7439625533325048,1.9424144,1.3460889
Rbfox3,39.083828,1.0435731,0.0,0.0,0.8956723338485317,0.6904022202891347,1.6140047,1.0823474
Sybu,39.054806,1.0309883,0.0,0.0,0.8603812467800103,0.6749513276169172,1.3766592,0.89582646
Mtmr12,38.939613,1.3872747,0.0,0.0,0.705564142194745,0.44662607182801045,0.7370403,0.34825447
Fam163b,38.917583,2.6475086,0.0,0.0,0.4953632148377125,0.14212335860154923,0.4159978,0.07911841
Myo5b,38.9126,2.0686605,0.0,0.0,0.5700669757856774,0.2427405658423429,0.54717183,0.16009864
Sez6l,38.82732,1.1053047,0.0,0.0,0.8353941267387944,0.613520566670809,1.1911852,0.725063
Chn1,38.777134,0.9761705,0.0,0.0,0.8977331272539928,0.7355121991632493,1.530806,1.0441921
Smoc2,38.768192,2.3641872,0.0,0.0,0.5167439464193715,0.16055672921585684,0.45982844,0.10740936
Ccbe1,38.691994,1.7002969,0.0,0.0,0.6254507985574446,0.26846443809287107,0.6599748,0.2528122
Nptx1,38.65866,1.6842306,0.0,0.0,0.6156620298815044,0.2987862971707883,0.5870491,0.22196004
Clvs2,38.640297,1.2457919,0.0,0.0,0.7557959814528593,0.5308810736920592,0.92405504,0.49514258
