names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6 IT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Gm36251,3.2092555,1.5782808,0.0013307917455713347,0.029333531436451378,0.23270440251572327,0.08857842431225695,0.14282276,0.05013471
Mgat5,3.199604,0.62170374,0.001376165613989981,0.03008752648324718,0.6037735849056604,0.6257021460463776,0.9567158,0.7138732
Brinp2,3.1864161,0.61747736,0.0014404719406377901,0.031239290593169832,0.5849056603773585,0.5456935042488837,0.8226398,0.6054276
Atp2b4,3.1521153,0.6870572,0.0016209219551305953,0.034251692238675684,0.5345911949685535,0.44649287051706754,0.6326756,0.43710947
Klhl1,3.0974066,1.202301,0.0019522184169882555,0.03961941757135531,0.3081761006289308,0.1782010658216909,0.30101624,0.14205387
Atp1b1,3.0964253,0.713847,0.0019586923136882014,0.03969084650739214,0.89937106918239,0.859930865620049,1.8972212,1.4941036
Hrh1,3.043265,1.4635191,0.0023402603540241644,0.04517442220734864,0.23270440251572327,0.09513178741178165,0.14748469,0.056024853
Fnbp1l,3.0412579,0.6534181,0.0023559194869404365,0.04531392742597676,0.559748427672956,0.5252772576695953,0.82293767,0.5944301
Npas2,3.0359364,0.6953093,0.0023978989535314655,0.046055428792988184,0.5220125786163522,0.4868932738009506,0.7107317,0.4943842
Myrip,3.0299196,0.6037941,0.0024461882324450716,0.04681558248276287,0.559748427672956,0.5096500072014979,0.6383122,0.46234873
Magi3,3.0133142,0.5551116,0.002584112366088142,0.04876060342471094,0.5849056603773585,0.5536511594411637,0.8450059,0.6438706
Cox8a,3.0113366,1.216774,0.002601004161858671,0.049010506191544526,0.5345911949685535,0.4618320610687023,0.9301843,0.5070659
