names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Vascular (for_DEGs),mean_expr_Rest (for_DEGs)
Pde4d,-9.854805,-0.90899765,6.534317604358173e-23,1.2523331956426827e-21,0.6344463971880492,0.8280584186182031,1.3881572,1.8941972
Ppp1r21,-9.856017,-0.9974695,6.455958370647982e-23,1.2381984398237779e-21,0.16520210896309315,0.43471610154059076,0.17666163,0.32626057
Nipal2,-9.856653,-1.7261235,6.415205459596068e-23,1.2312612192810454e-21,0.070298769771529,0.3180245474742324,0.07005169,0.215166
Src,-9.856752,-1.2861799,6.408855645327556e-23,1.2309217383127335e-21,0.10896309314586995,0.3635866992023892,0.10284635,0.23442005
Kidins220,-9.878562,-0.91329527,5.156760058826009e-23,9.911455134524667e-22,0.45869947275922673,0.7876679899479185,0.7675359,1.1550653
Eif4e,-9.8815565,-0.72014374,5.0049432447590224e-23,9.6265443798622e-22,0.21616871704745166,0.5023491277269913,0.2591952,0.39704925
Mta3,-9.882004,-0.7329071,4.9826337697138027e-23,9.590499240129648e-22,0.22319859402460457,0.5157883235604764,0.27907172,0.42852888
Rpgrip1l,-9.882041,-0.94319445,4.9808116293393975e-23,9.590499240129648e-22,0.13884007029876977,0.4048876424955385,0.15627785,0.28159434
Dpysl2,-9.882478,-0.7480107,4.959126903106463e-23,9.558948341927594e-22,0.34973637961335674,0.6804822085442692,0.5117567,0.7524812
Prkcb,-9.88252,-0.89064807,4.957054237644914e-23,9.558948341927594e-22,0.5676625659050967,0.8017263357249518,1.0675725,1.5124944
2210408I21Rik,-9.883009,-0.8964896,4.9328934567146e-23,9.522043619390898e-22,0.3954305799648506,0.7077976472302145,0.6437555,0.9866003
Spata5,-9.88848,-0.7032933,4.670667762658995e-23,9.022346713346311e-22,0.24428822495606328,0.5523181702298139,0.32543737,0.48628896
Ahctf1,-9.8899975,-0.7796469,4.6003761639826504e-23,8.892957375986605e-22,0.18980667838312829,0.46869650726590667,0.21812655,0.34955695
Fam184a,-9.905936,-0.9867794,3.922796133310036e-23,7.588591224049005e-22,0.14938488576449913,0.41155260953490913,0.16668388,0.30708224
Rnf24,-9.906556,-1.0304935,3.8985236704706e-23,7.547069958612754e-22,0.1282952548330404,0.38937247332192154,0.14260778,0.2723932
Mmp24,-9.914929,-2.0448432,3.5850858877504963e-23,6.94529616466156e-22,0.056239015817223195,0.29992351677167933,0.04470054,0.1728029
Ncapd3,-9.917154,-0.9601992,3.5060859511797123e-23,6.79715220116875e-22,0.12478031634446397,0.3921040171905161,0.14156054,0.25917864
Chfr,-9.921845,-0.6877834,3.3451390634815046e-23,6.489811309440291e-22,0.20210896309314588,0.4897840259314565,0.25344837,0.38162014
Actn1,-9.937572,-0.77005136,2.857079866534463e-23,5.550957050887998e-22,0.17398945518453426,0.45682339658374915,0.22194305,0.35331282
Heatr3,-9.942343,-0.7947439,2.7234472246915025e-23,5.295153902131742e-22,0.14411247803163443,0.4175255854609025,0.1791151,0.29288486
Sema3e,-9.942367,-1.2207835,2.722803090241236e-23,5.295153902131742e-22,0.18101933216168717,0.44287431256145976,0.2625603,0.5305194
Nlgn3,-9.942595,-1.184018,2.716584229211903e-23,5.28946508977709e-22,0.11599297012302284,0.37789998907382455,0.12386486,0.26205972
Agap2,-9.942788,-1.0240173,2.711305693733454e-23,5.2830155178113065e-22,0.13005272407732865,0.39570965509706085,0.1451593,0.27588215
Zer1,-9.945952,-0.88031,2.626490340229956e-23,5.121465561827207e-22,0.1546572934973638,0.42590231999125905,0.17415245,0.30023932
Btbd8,-9.948746,-0.72172797,2.5538225026581675e-23,4.983384941643062e-22,0.17750439367311072,0.4629784754343155,0.23274878,0.3592021
Crtc1,-9.955383,-0.96032214,2.3890004063237974e-23,4.665148322523288e-22,0.13532513181019332,0.4018647339476272,0.14859785,0.27133924
Tbc1d30,-9.956284,-1.1666696,2.367469925026492e-23,4.626466682579042e-22,0.10369068541300527,0.36322249335324325,0.117355116,0.24649699
Phtf2,-9.9579935,-0.7658655,2.3271267505602852e-23,4.557572579267847e-22,0.19332161687170474,0.4814437119860145,0.24292853,0.38360688
Slc2a13,-9.965375,-0.89997447,2.1605794084271975e-23,4.2375743579882335e-22,0.35500878734622143,0.6679899479185636,0.62076926,0.9576108
