names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-CR Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Zbtb11,-3.8011842,-0.6616271,0.00014400624659121895,0.002084831813526968,0.23333333333333334,0.5390040453943364,0.32447255,0.4739523
Zfp266,-3.8016148,-0.5067558,0.0001437561064248445,0.0020823323879437046,0.14444444444444443,0.42129381018866574,0.22122557,0.30144376
Ubr4,-3.8021107,-0.7332594,0.00014346857311443463,0.0020792883277156735,0.16666666666666666,0.4467117746035156,0.21233347,0.3316433
Palm,-3.8031223,-0.6879163,0.00014288383435232264,0.0020719312623027034,0.13333333333333333,0.40131743815558657,0.1805553,0.27670616
Myo1b,-3.803631,-4.7380505,0.00014259042834511017,0.0020687930937543795,0.011111111111111112,0.24329645938495686,0.0073356247,0.17938699
Wdfy2,-3.8062806,-0.81831616,0.00014107235387267073,0.002047873662106247,0.15555555555555556,0.430601797157484,0.20552193,0.3381383
Psmb1,-3.8082383,-0.9618962,0.00013996041763251235,0.00203283049826249,0.1,0.35825009844986216,0.14379099,0.26330554
Ankrd28,-3.8085253,-0.8859345,0.00013979802950406345,0.002031570066400316,0.37777777777777777,0.6987076218093294,0.57072043,0.8846307
Chp1,-3.8094912,-0.62055224,0.00013925311632146908,0.002024746339587594,0.12222222222222222,0.39140085203880715,0.18788369,0.2759509
Vti1a,-3.8095367,-0.87379307,0.00013922739301662005,0.002024746339587594,0.4111111111111111,0.7462857551999427,0.6937158,1.0418864
Ubqln1,-3.8103004,-0.61146206,0.00013879810839509323,0.002020316994894992,0.07777777777777778,0.3331185336340529,0.14795421,0.21802956
Sptlc2,-3.8110573,-0.5095463,0.000138373723963114,0.002015231416199931,0.14444444444444443,0.4206494110908245,0.23163253,0.3155922
Dcakd,-3.8112335,-1.4369599,0.000138275120339011,0.0020148874639420965,0.06666666666666667,0.3132137615007339,0.0791276,0.20125964
Ptpn2,-3.8121078,-0.68217605,0.0001377867328073524,0.0020088602878641122,0.16666666666666666,0.45125836823828447,0.22348832,0.33778042
Baalc,-3.8128257,-0.6448673,0.00013738703259520403,0.0020041202854685844,0.13333333333333333,0.40486163319371354,0.20441844,0.3035371
Fntb,-3.8134065,-1.4452624,0.00013706443842525097,0.002000500521719986,0.06666666666666667,0.3127841621021731,0.074633494,0.19145708
Iqsec3,-3.8142025,-0.8273486,0.0001366233900402801,0.0019951470056425685,0.12222222222222222,0.39752264346829913,0.17183265,0.2871817
Kdm3b,-3.8142352,-0.5431637,0.00013660534283788014,0.0019951470056425685,0.18888888888888888,0.491318512154083,0.28720567,0.39527756
Elmo1,-3.8145158,-0.99739033,0.00013645022957767,0.0019947865444787773,0.3,0.5725843983818423,0.47519404,0.79500514
C130073E24Rik,-3.8147311,-1.7123313,0.00013633130171571364,0.0019941328672298453,0.1,0.34389431854795405,0.14297453,0.4079028
Lix1,-3.8160036,-0.8173248,0.00013563053714717163,0.0019849632533466785,0.1111111111111111,0.3717824795045287,0.17049128,0.2833415
Timm44,-3.8166888,-1.0075434,0.00013525460936689344,0.0019805402472416497,0.06666666666666667,0.31647155693982026,0.10102867,0.19369967
Rnf20,-3.817661,-0.92734647,0.00013472283452658614,0.001973829096908053,0.13333333333333333,0.4008162388572656,0.15650532,0.27929166
Kif3c,-3.8191423,-0.52587694,0.00013391646595131107,0.0019630853464875767,0.18888888888888888,0.486736118569434,0.2826249,0.38543364
Tent4a,-3.8195078,-1.611017,0.00013371823847497293,0.001961249491169499,0.03333333333333333,0.2741202162316973,0.05273146,0.15306444
Rtf1,-3.8196187,-0.58074373,0.00013365811699962498,0.001961249491169499,0.18888888888888888,0.47878852969605845,0.2742676,0.38660112
Sec23ip,-3.8196645,-1.5240598,0.00013363336850151178,0.001961249491169499,0.044444444444444446,0.2887265957827659,0.0646991,0.17582151
Smap2,-3.8200364,-0.56570166,0.00013343200567787064,0.0019602613409318665,0.2111111111111111,0.5231804675473455,0.3339925,0.46179026
Fam135a,-3.8200624,-0.66110843,0.00013341788569371592,0.0019602613409318665,0.28888888888888886,0.6321555149822791,0.47301373,0.67110926
Eif2ak4,-3.8215046,-0.73481125,0.00013263994057689926,0.0019507581846202973,0.16666666666666666,0.45551856227401283,0.22355942,0.34847838
Lypd1,-3.8215308,-1.5837958,0.00013262589958183102,0.0019507581846202973,0.022222222222222223,0.26094583467583143,0.06869442,0.19322346
Ddx42,-3.822862,-0.540966,0.0001319116630490172,0.0019421733622614207,0.17777777777777778,0.4754233344073318,0.2681555,0.36981678
2610037D02Rik,-3.8236058,-0.6743452,0.0001315141110826313,0.001937381669292929,0.18888888888888888,0.49110371245480255,0.26462343,0.39437228
Fggy,-3.8307643,-1.2360588,0.00012774582218056613,0.0018829019429466877,0.06666666666666667,0.31754555543622237,0.102484725,0.22650668
Gm2164,-3.831058,-2.0432763,0.00012759343752954112,0.0018816880715800054,0.06666666666666667,0.30762896931944295,0.10347713,0.37112215
Htr2c,-3.8312864,-1.6368035,0.00012747503459667592,0.0018809742886395837,0.1,0.3457201159918376,0.15219188,0.41289958
Ndufs3,-3.8322914,-1.0999565,0.0001269552908731522,0.0018743344317371426,0.08888888888888889,0.3427845201016719,0.11843396,0.23862791
Prmt7,-3.8335702,-1.0503021,0.00012629668727292523,0.0018656360566374384,0.06666666666666667,0.31708015608778145,0.100204565,0.19743541
Mtf2,-3.833877,-0.7910769,0.0001261392362191141,0.0018643351359777756,0.28888888888888886,0.6205563312211363,0.4152704,0.6369776
