names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Neuroblast (for_DEGs),mean_expr_Rest (for_DEGs)
Mpc2,-4.246506,-0.5372656,2.171296238277583e-05,0.0003740092083800319,0.176056338028169,0.438566920097547,0.25290063,0.34896234
Cox6c,-4.248971,-0.9092174,2.1475485298028936e-05,0.0003703763093440549,0.19014084507042253,0.43426337684693733,0.26357877,0.44876343
Tro,-4.250801,-0.64088535,2.1300733020507817e-05,0.0003678346376999004,0.1267605633802817,0.3698536795294793,0.16984837,0.25360516
Ube2o,-4.2528443,-0.59148866,2.110722566299413e-05,0.000364962132280986,0.1619718309859155,0.41834026681968156,0.20540485,0.29534054
Cul3,-4.253562,-0.6396444,2.103967440432596e-05,0.0003640283652570757,0.30985915492957744,0.6221847654568928,0.43846515,0.61916655
Plekhm3,-4.255257,-0.6133589,2.0880913248982974e-05,0.0003615142648196988,0.2535211267605634,0.5599985654855831,0.35703868,0.50466555
Srsf9,-4.256307,-2.2320344,2.078311278956997e-05,0.00036005302427836566,0.028169014084507043,0.24046047912781524,0.030939471,0.13769414
Pfn2,-4.257576,-0.60586226,2.0665559108871217e-05,0.00035824746661636747,0.14084507042253522,0.38670922392770046,0.20469111,0.29690722
Rasal2,-4.2586937,-0.65691406,2.0562501895480482e-05,0.00035669104320952907,0.6549295774647887,0.8007100846363506,1.1628838,1.4968059
Bicd2,-4.258907,-1.3790507,2.0542904760305417e-05,0.00035658129903708434,0.06338028169014084,0.28360350021517716,0.070858166,0.17478222
Spns2,-4.261044,-1.043597,2.0347435575557275e-05,0.0003534166735069321,0.08450704225352113,0.31211447425046623,0.1014496,0.1989329
Arpp19,-4.261465,-0.75890034,2.0309121933135255e-05,0.000352979370209149,0.1267605633802817,0.3670205135561612,0.16468912,0.2646292
Rps6kb1,-4.261865,-0.6758396,2.0272764019327145e-05,0.0003525755140448676,0.29577464788732394,0.6098120786113901,0.40709257,0.589267
Cpeb4,-4.262354,-0.7590653,2.0228463043557182e-05,0.00035203290283703463,0.4295774647887324,0.7295581695596041,0.676963,0.97004116
Pank1,-4.2626038,-0.5998368,2.0205876837745844e-05,0.0003518677320999552,0.14084507042253522,0.3922679672930713,0.18882345,0.27381587
Sgtb,-4.2642207,-0.8908897,2.0060117843203136e-05,0.0003497828464937497,0.09859154929577464,0.33248457897001865,0.121755816,0.2151873
Scn2a,-4.2644234,-0.6786226,2.004191019421978e-05,0.00034969229020693864,0.6338028169014085,0.7970879357337541,1.1473563,1.4908987
Tmem151a,-4.2645016,-0.9138528,2.0034911443520997e-05,0.00034969229020693864,0.1056338028169014,0.33818677377707645,0.1371836,0.24453889
Itm2b,-4.2656193,-0.7269488,1.9934851407942588e-05,0.00034827663025449764,0.39436619718309857,0.724895997704777,0.62720954,0.893599
Gm27032,-4.2671895,-1.7306366,1.9795105347471756e-05,0.00034606016960739495,0.035211267605633804,0.25028690288337396,0.04299634,0.13610801
Gde1,-4.268448,-0.78022474,1.968379721437325e-05,0.00034456262615648807,0.11971830985915492,0.3573375412422895,0.1685523,0.2740625
Gabrg3,-4.2697372,-0.87660503,1.957034791279576e-05,0.00034280003156246546,0.44366197183098594,0.6537082197676086,0.8118672,1.1936009
Ppia,-4.2697997,-0.76366556,1.9564874255605397e-05,0.00034280003156246546,0.2676056338028169,0.5337828145172859,0.41608372,0.6291866
Vps33a,-4.270985,-0.8010816,1.9461151371948026e-05,0.0003413323350941537,0.11267605633802817,0.35167120929565343,0.1358816,0.22601967
Acsl4,-4.273621,-0.58903325,1.9232378297959417e-05,0.00033754017300207024,0.22535211267605634,0.5080691435948931,0.31640613,0.44459605
Azin2,-4.277437,-2.4593716,1.8905709913445252e-05,0.00033202380743416594,0.02112676056338028,0.23325204418304404,0.024430199,0.12752678
Stxbp5,-4.278077,-0.77595574,1.8851488136445618e-05,0.00033128808778698087,0.4788732394366197,0.7346865585999139,0.74282175,1.0601269
Paqr9,-4.2814045,-1.2562597,1.85717407565747e-05,0.0003265855197180381,0.056338028169014086,0.27736336250179316,0.07450291,0.16954572
Arpc5,-4.281836,-0.8706929,1.8535752030970877e-05,0.00032616611465107235,0.1056338028169014,0.3396212881939463,0.14200377,0.24607839
Vkorc1l1,-4.2825484,-0.56171,1.847649423737825e-05,0.0003253364352282789,0.19014084507042253,0.4634557452302396,0.25709832,0.35957995
Cbl,-4.283292,-0.56118727,1.841483372551483e-05,0.0003244633325931695,0.24647887323943662,0.5456534213168842,0.3508945,0.48255023
Sf1,-4.2883196,-0.6682511,1.800298656428647e-05,0.00031762327575993263,0.13380281690140844,0.3837326065126955,0.17161894,0.2604612
Dnajb14,-4.2895517,-0.5568352,1.7903395025457607e-05,0.000316073734779268,0.16901408450704225,0.4282384162960838,0.22906773,0.32112986
Capzb,-4.2897964,-0.57263076,1.788370727231487e-05,0.00031593373728277483,0.176056338028169,0.4411490460479128,0.24129589,0.34065077
Prkcz,-4.2900667,-0.72359055,1.7861949112742216e-05,0.00031575695569696275,0.2746478873239437,0.5758858126524171,0.35674074,0.53523535
Marchf3,-4.2903733,-0.94501233,1.7837292512696725e-05,0.0003155286700567222,0.09154929577464789,0.3211519150767465,0.14570905,0.26389235
Mfap3l,-4.2928066,-0.96129227,1.7642856911005236e-05,0.0003122948387343285,0.07042253521126761,0.29733897575670637,0.100600585,0.1873638
Slc25a26,-4.2931705,-0.64096427,1.7613948851514587e-05,0.0003119886655505583,0.15492957746478872,0.41493329507961557,0.19380422,0.28779575
Gm38413,-4.296966,-26.799646,1.7315156276027596e-05,0.0003068985812248427,0.0,0.20872184765456891,0.0,0.11048064
Atp5b,-4.297221,-0.6925673,1.7295274277667286e-05,0.00030674852794780193,0.20422535211267606,0.4703055515707933,0.2984362,0.44597894
Snx3,-4.297673,-0.6625224,1.7260027175803976e-05,0.00030632558138299397,0.16901408450704225,0.42952947927126667,0.21487948,0.32166922
Csnk1d,-4.298162,-0.6859934,1.7222021034724674e-05,0.00030585307680307467,0.11971830985915492,0.3624300674221776,0.15661508,0.24119268
Fam76a,-4.298692,-0.7134046,1.7180870548902366e-05,0.0003053240685509303,0.1056338028169014,0.34431932290919526,0.141677,0.22279572
Asb7,-4.299306,-0.8046598,1.7133381979006446e-05,0.0003046816504142311,0.09154929577464789,0.32595753837326064,0.12027501,0.2015072
Lrrn3,-4.29968,-0.6008267,1.710446737486623e-05,0.0003043688995779176,0.16901408450704225,0.4329005881509109,0.23338285,0.33551267
Ctdspl,-4.299727,-0.59876144,1.7100856320588557e-05,0.0003043688995779176,0.23943661971830985,0.5348945631903601,0.33479887,0.47138983
Kdm4b,-4.299784,-0.6446071,1.709644379637014e-05,0.0003043688995779176,0.11267605633802817,0.3543250609668627,0.14809151,0.22277132
Got2,-4.301984,-0.75091517,1.6927582870970286e-05,0.000301820936790293,0.11971830985915492,0.36139004446994694,0.15578598,0.24973908
Atf1,-4.3038087,-0.77732766,1.678867202581735e-05,0.0002995429065960905,0.09859154929577464,0.3354611963850237,0.13061996,0.21443076
Trmt1l,-4.304838,-0.66753614,1.6710792020443175e-05,0.0002983514827835934,0.18309859154929578,0.45212308133696744,0.22635426,0.3389514
Ccdc149,-4.306824,-0.6448777,1.6561510537919052e-05,0.00029588283786827457,0.13380281690140844,0.3836250179314302,0.17154899,0.25666863
Stx1a,-4.3076096,-0.9855142,1.6502852582518804e-05,0.0002950310371871459,0.09154929577464789,0.3247023382584995,0.113865554,0.21413788
Pls1,-4.3078485,-1.9716542,1.6485022655497228e-05,0.0002949084945094611,0.04225352112676056,0.2587146750824846,0.049923435,0.18297042
Nek10,-4.308493,-4.3279567,1.643705078117296e-05,0.00029424620552306294,0.007042253521126761,0.2174365227370535,0.00769285,0.14418443
Grik1,-4.308852,-1.1413885,1.6410414402170345e-05,0.0002939652233242115,0.28169014084507044,0.5003586286042174,0.4158073,0.7595752
Mylip,-4.3096266,-1.8399464,1.635303553659875e-05,0.00029313279844456864,0.035211267605633804,0.25161382871897864,0.049540937,0.16705689
Hcfc2,-4.311254,-0.6325766,1.6233123544562352e-05,0.0002911775898814355,0.14788732394366197,0.4041027112322479,0.19108458,0.28249925
Pld3,-4.3119874,-0.66216195,1.61793799168813e-05,0.00029040744045865096,0.15492957746478872,0.40872902022665325,0.21383606,0.32011634
Arglu1,-4.3174934,-0.6776107,1.5781117179562986e-05,0.0002834482744751721,0.34507042253521125,0.6681968153779946,0.51765287,0.7345708
Gstz1,-4.3190947,-0.34612486,1.566705187882628e-05,0.0002815877484843225,0.11971830985915492,0.36920814804188784,0.19442876,0.24122566
Rnps1,-4.320093,-0.6847476,1.5596344383090507e-05,0.000280669808598218,0.1267605633802817,0.37623726868455026,0.16236323,0.24948849
Ly6e,-4.320332,-1.1693112,1.557944927545922e-05,0.0002805762748201,0.07746478873239436,0.3039736049347296,0.105625466,0.22358805
Tubb4a,-4.3241224,-1.0619118,1.5314016723326397e-05,0.0002759809720696045,0.11971830985915492,0.35281882082914934,0.1657972,0.31953117
Chfr,-4.3249598,-0.677264,1.5255979868519537e-05,0.00027511958326652345,0.20422535211267606,0.4853679529479271,0.25369203,0.3796562
Ubxn2b,-4.3286304,-0.9630519,1.5003949698068598e-05,0.0002707562984466778,0.09154929577464789,0.32502510400229523,0.10781183,0.20042275
Fig4,-4.3293166,-0.89287126,1.4957270555498902e-05,0.0002700953359047416,0.09154929577464789,0.32524028116482573,0.11610653,0.20588273
Cds2,-4.3324413,-0.6054639,1.4746483932714393e-05,0.000266468072139903,0.18309859154929578,0.454167264381007,0.2418685,0.3480578
Gpr176,-4.333216,-1.280907,1.4694665555581515e-05,0.00026571040610933735,0.08450704225352113,0.3117917085066705,0.09686112,0.22085352
Ell,-4.334251,-1.394924,1.4625729217106674e-05,0.00026464198253444874,0.04225352112676056,0.2625520011476115,0.05867727,0.14749162
Usp13,-4.334511,-0.7203575,1.4608457067455285e-05,0.0002645075750690859,0.11971830985915492,0.36763018218333093,0.1609396,0.25285134
Mtor,-4.3373966,-0.6078879,1.441803782099548e-05,0.00026123578978432135,0.18309859154929578,0.45449003012480277,0.23255077,0.3357662
Shank3,-4.3376203,-0.55517024,1.4403383838606579e-05,0.00026114637229646343,0.15492957746478872,0.418985798307273,0.20573787,0.28941312
Zc3h12b,-4.3379683,-0.64533985,1.4380579192929221e-05,0.00026090895537745316,0.2887323943661972,0.5994835748099269,0.4311544,0.61145276
Ctsd,-4.3382907,-1.745122,1.435950706428612e-05,0.00026070267217389735,0.07746478873239436,0.29802037010471955,0.0946508,0.28727677
Tmem63c,-4.338655,-0.6671296,1.433575134285268e-05,0.0002604473553633884,0.1267605633802817,0.37544828575527184,0.1578735,0.24024571
