names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT AON-TT-DP Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Rbm15,-3.100112,-0.90748,0.001934474841943439,0.010136826155025171,0.12871287128712872,0.25186627718273286,0.08086094,0.14667474
Rhot2,-3.100966,-1.117355,0.001928905152458714,0.01011113567041858,0.06930693069306931,0.19427314364023224,0.047451813,0.10023235
Kcna6,-3.1011806,-0.38435864,0.0019275079063117992,0.010105782915628886,0.15841584158415842,0.28630675466118505,0.15645008,0.19971354
Gm14410,-3.1011806,-0.7856478,0.0019275079063117992,0.010105782915628886,0.1188118811881188,0.24515849832305528,0.07781095,0.13058288
Mtmr9,-3.101487,-0.5256918,0.001925513452533135,0.010099267317892902,0.09900990099009901,0.2268383281041509,0.093170315,0.13153464
Nup54,-3.1016927,-1.2650042,0.0019241753828136644,0.010094219550215378,0.09405940594059406,0.21515381009051895,0.051075853,0.11861672
Mapkapk5,-3.1028314,-1.1084011,0.0019167887089708627,0.01005743265183501,0.10396039603960396,0.22413357856395832,0.058339465,0.121797435
Usp50,-3.1039305,-0.68779165,0.001909682440038226,0.010022102961684987,0.1188118811881188,0.2482599444624761,0.09549167,0.1496291
Rnf114,-3.1040442,-1.8688439,0.0019089477171039175,0.010020204172413023,0.10891089108910891,0.22326805871109667,0.036959715,0.12884787
Sp3os,-3.104272,-1.406234,0.0019074790499714702,0.010014451362394178,0.09405940594059406,0.21299001045836488,0.048642777,0.12408488
Otulin,-3.1044164,-0.37025544,0.0019065475495206896,0.01001151703256223,0.14356435643564355,0.27155685383533484,0.13103919,0.16634284
Tent4a,-3.105441,-0.59133726,0.0018999543391113242,0.009978845404988522,0.1485148514851485,0.2750549965739839,0.10447085,0.15350732
Lpcat3,-3.1055636,-0.87142587,0.0018991668122936033,0.009976659285694842,0.13366336633663367,0.25431858343250746,0.09299158,0.16406107
Dync2i2,-3.1063344,-1.4331262,0.0018942235046653442,0.009952636990683966,0.09405940594059406,0.21518987341772153,0.044273052,0.11532409
Pms2,-3.1066365,-0.9815562,0.0018922887301952359,0.009944415838127515,0.09405940594059406,0.2178946229579141,0.059701193,0.11464551
Lsg1,-3.1073678,-1.8756964,0.0018876135255244582,0.00992178705611154,0.07920792079207921,0.1972303364708428,0.031131787,0.10979036
Pms1,-3.1076744,-0.8738377,0.0018856570163562625,0.009913442384952606,0.10396039603960396,0.2264055681777201,0.07401623,0.13171484
Pls1,-3.1080992,-0.84178156,0.0018829489325113045,0.009903080410369691,0.13366336633663367,0.25922319593205667,0.10625322,0.18308716
Poc1b,-3.1089268,-1.4340049,0.0018776826156722297,0.009877316343600786,0.07920792079207921,0.20263983555122794,0.046813138,0.12177013
Cul4b,-3.1092684,-0.60493284,0.0018755131617870797,0.009867836040183833,0.08415841584158416,0.2121966172599084,0.08583066,0.127783
Gm16168,-3.1098244,-1.5326952,0.0018719857718102618,0.00985120597112059,0.07920792079207921,0.20404630531212808,0.0886885,0.23769443
Eeig2,-3.1102011,-1.020474,0.0018696006072907118,0.009840581453065902,0.10891089108910891,0.23470013343431065,0.09077331,0.17626809
Coq3,-3.1137874,-1.0189893,0.0018470255607009173,0.00972366316928559,0.10891089108910891,0.23134624400447185,0.06681632,0.131054
Nob1,-3.1146588,-0.8704566,0.0018415782457767338,0.00969878625323811,0.09405940594059406,0.2171372930866602,0.06448177,0.11490948
Arvcf,-3.1157665,-1.3495401,0.001834674078300055,0.009664319247975391,0.054455445544554455,0.181362472501713,0.039877538,0.09864429
Fbxo36,-3.1183107,-1.7891908,0.0018189089834110483,0.009583153800834288,0.07425742574257425,0.19647300659958888,0.03277066,0.10897847
Zfp369,-3.1185384,-0.27342173,0.001817504080789915,0.009577629858957642,0.19306930693069307,0.31934076237873704,0.16574295,0.1971169
Pkib,-3.1192434,-1.3213848,0.001813160607180083,0.00955661544035481,0.08415841584158416,0.20768870135958745,0.05529421,0.13284732
Smyd4,-3.1203513,-0.43592134,0.0018063544184713815,0.009524478654695058,0.1188118811881188,0.24912546431533775,0.107625894,0.14298901
Tpd52l1,-3.1213498,-1.0602303,0.0018002409012782055,0.00949597036068814,0.1188118811881188,0.24205705218363446,0.07586194,0.15216054
Igdcc4,-3.1218839,-0.9178188,0.00179697744913403,0.009480617329320908,0.08415841584158416,0.2078329546683977,0.06936159,0.12724362
2900060N12Rik,-3.1222913,-1.2972074,0.0017944933888843675,0.009469371044643158,0.0891089108910891,0.21082621082621084,0.048094753,0.11429474
Pde1c,-3.1234167,-0.29396516,0.0017876452382914459,0.009436940580135786,0.19306930693069307,0.33607414620072845,0.29245302,0.3481789
Fam8a1,-3.123583,-0.71193993,0.0017866347122559834,0.00943345936693226,0.09900990099009901,0.22467452847199681,0.08093619,0.12934853
Ercc5,-3.1237495,-0.34219074,0.0017856247113158014,0.009429979558383565,0.1485148514851485,0.2702585740560424,0.13161658,0.16409446
Mycbp2,-3.1237757,-0.93187064,0.001785465285467441,0.009429979558383565,0.5544554455445545,0.8830105665548703,1.3909979,1.9109138
Plekhm1,-3.1243362,-1.7533587,0.001782067316033975,0.009414893586675759,0.07425742574257425,0.19625662663637347,0.03228634,0.10492499
Rgs11,-3.124866,-0.8803427,0.0017788606397006925,0.00939980046976551,0.10396039603960396,0.22986764758916658,0.06629544,0.11882576
Gas6,-3.125698,-0.45069623,0.0017738360649343198,0.00937509344311274,0.14356435643564355,0.2697176241480039,0.12440876,0.16641124
Gbe1,-3.1264205,-1.2204372,0.0017694832066157567,0.009353927554941055,0.06930693069306931,0.1964369432723863,0.059018258,0.1324851
Gm56750,-3.1277473,-2.4789956,0.0017615153398056848,0.009315472777126304,0.054455445544554455,0.1789101662519384,0.030966599,0.16155967
Gpr173,-3.1287327,-1.9561914,0.0017556199631388538,0.009287952039681236,0.08415841584158416,0.20494788849219228,0.029490476,0.10987412
Tmem39a,-3.1290216,-0.47798917,0.0017538940968231847,0.009280648755738276,0.12871287128712872,0.25330881027083557,0.10613161,0.14492187
Ano10,-3.1293414,-0.40832692,0.0017519870010069512,0.009272383438459085,0.1188118811881188,0.24606008150311948,0.11368728,0.14823955
Dcbld1,-3.1305935,-1.7675709,0.0017445337181892925,0.009236575568028826,0.08415841584158416,0.20440693858415376,0.03672839,0.1198945
Phactr2,-3.1332736,-0.36104578,0.0017286825809814475,0.009154454267042075,0.19801980198019803,0.33950016228497243,0.23321892,0.29068723
ENSMUSG00000121500,-3.133694,-1.047764,0.001726208179710296,0.009143152727935274,0.054455445544554455,0.18186735908254895,0.045595713,0.092071384
Trnp1,-3.1339917,-1.1937445,0.0017244574499113324,0.009135680536103608,0.0891089108910891,0.21284575714955462,0.05817752,0.12841593
Dnaaf10,-3.1341887,-2.7688694,0.0017232997767165058,0.009131347860456026,0.04950495049504951,0.17317609722673014,0.013793176,0.09044564
Prkcb,-3.1343026,-0.6080559,0.0017226312246824992,0.009129605721344922,0.5396039603960396,0.8000649139889646,1.1955911,1.5072006
Ddx5,-3.1358178,-0.3710341,0.0017137570182085842,0.00908615846078624,0.48514851485148514,0.8093331890800245,1.0035534,1.1739436
Fbxo9,-3.1374555,-0.71646136,0.00170421196815292,0.00904090337300473,0.12376237623762376,0.2475747412456273,0.09477206,0.15129717
Usp19,-3.138572,-0.4906745,0.001697732040849265,0.009008305674885416,0.1188118811881188,0.24779112120884272,0.10801015,0.14864819
Rhbdl3,-3.1386378,-1.1528257,0.0016973515753334052,0.009008065737548608,0.11386138613861387,0.24119153233077284,0.074413836,0.15851556
Ppid,-3.139772,-0.45889455,0.0016907945599111218,0.008975039475466583,0.12376237623762376,0.2516138338923149,0.115098454,0.15500674
Mat2b,-3.1408885,-0.39743733,0.0016843615819600616,0.008944426029104122,0.13861386138613863,0.26726531789822927,0.13526325,0.17460477
Plod2,-3.1443083,-3.5103245,0.001664798830636128,0.008844038074178086,0.034653465346534656,0.15929171625374158,0.008333731,0.091082335
A830082N09Rik,-3.144536,-1.9063194,0.0016635037688792092,0.008838905728650258,0.06930693069306931,0.1936600670777886,0.027257383,0.09855947
Parp11,-3.1446939,-0.8506542,0.001662607730711749,0.008835891954949503,0.09900990099009901,0.2240253885823506,0.07169417,0.12578185
Ccdc173,-3.1456747,-2.6989417,0.0016570423525952846,0.00880805697610985,0.039603960396039604,0.16592736845901404,0.013974423,0.08743983
Usf2,-3.1457841,-0.40908962,0.0016564222810900057,0.008806503105043224,0.1188118811881188,0.2481517544808684,0.11935414,0.1555753
Zranb3,-3.1464102,-0.73641485,0.0016528795734270761,0.008789407112207706,0.10396039603960396,0.22954307764434348,0.0816943,0.13262284
Dpp9,-3.1469884,-1.2170573,0.0016496155711592457,0.008773786697753153,0.09405940594059406,0.2184355728659526,0.052575096,0.11822065
Ypel4,-3.147435,-1.1717441,0.0016470974509303577,0.008762127995743161,0.10396039603960396,0.22734321468498683,0.056742314,0.12356869
Abcb10,-3.1488276,-0.92212206,0.0016392695265868237,0.00872221231275009,0.10891089108910891,0.23358217029103104,0.07908598,0.1449186
Cep83os,-3.1490245,-1.3547397,0.0016381645706935218,0.008718059420585251,0.0891089108910891,0.21425222691045476,0.046712704,0.11538255
Stt3a,-3.149204,-0.54534566,0.0016371584298623162,0.008714430865768709,0.16336633663366337,0.2872083378412492,0.12380732,0.1759195
Sirt3,-3.149274,-0.5676158,0.0016367659438249935,0.008714067943447113,0.10396039603960396,0.2296152042987486,0.089149095,0.12944259
Tmem196,-3.1502244,-0.87863165,0.0016314513958901125,0.008687494848903552,0.09900990099009901,0.22802841790183562,0.094921745,0.16811931
Stat2,-3.1506271,-1.1036922,0.0016292030208909835,0.008677241857550193,0.08415841584158416,0.20945580439251324,0.054909497,0.11449123
BC004004,-3.151249,-0.48414084,0.0016257382999354817,0.008660505178284376,0.14356435643564355,0.2674816978614447,0.12442042,0.17001562
Krba1,-3.1516345,-0.76397526,0.0016235945536416615,0.00865080024912779,0.12871287128712872,0.25381369685167154,0.086369224,0.14253145
C1galt1,-3.1565738,-0.95085853,0.0015963450671726644,0.008508984716312139,0.09900990099009901,0.22622525154170725,0.07260354,0.1358977
4732440D04Rik,-3.1597354,-1.5381017,0.0015791251080690889,0.008420538133323361,0.07920792079207921,0.20231526560640484,0.040695556,0.11388449
Cdc26,-3.1624591,-0.66471493,0.0015644274891728135,0.008343820292591009,0.09405940594059406,0.22211403224061452,0.08445827,0.13076903
Fdft1,-3.1626122,-0.5631355,0.0015636042080007728,0.008341084984907834,0.10891089108910891,0.2414439756211908,0.10849863,0.15642539
Npr3,-3.1630895,-1.0322901,0.0015610428303387451,0.008330729066773006,0.1188118811881188,0.2468174113743734,0.082825914,0.16264127
Atg2a,-3.163405,-1.4177742,0.0015593530307079135,0.008323364309718242,0.06435643564356436,0.19250604060730642,0.039572958,0.10241943
Ikzf4,-3.1644645,-0.6451488,0.0015536857635767313,0.008296410267747769,0.12871287128712872,0.25201053049154315,0.093427934,0.14250167
Cyb5a,-3.16552,-0.530378,0.0015480607702004117,0.008268016874435513,0.15346534653465346,0.2858739947347542,0.13556606,0.19036542
Sh3bp4,-3.1661942,-1.3057691,0.0015444762034439682,0.00825051204503766,0.0891089108910891,0.2143243535648599,0.05675844,0.13485801
Tox3,-3.1664307,-0.5499051,0.001543221088630412,0.008245446540365712,0.18316831683168316,0.321179992066068,0.20738403,0.29071555
Rnf128,-3.1665227,-1.0438945,0.0015427332421564812,0.008245446540365712,0.07425742574257425,0.2023513289336074,0.06218368,0.12423303
Arhgef6,-3.1675954,-1.2787374,0.0015370521848313925,0.008217388023561385,0.06435643564356436,0.1930109271881424,0.05535823,0.12936102
Qtrt2,-3.1679108,-1.4588239,0.0015353863164933648,0.008210115487398351,0.0891089108910891,0.21212449060550326,0.041967303,0.11137715
Ppp6r1,-3.168248,-0.8441314,0.0015336066030710552,0.008203864109997861,0.07920792079207921,0.2069674348155361,0.06517974,0.11413838
Ctnnbip1,-3.17063,-0.7097343,0.0015210870726686068,0.00813851247363709,0.07425742574257425,0.2057412816906488,0.07493799,0.11979891
Zfp143,-3.1715584,-1.5157735,0.0015162336820964194,0.008114160334182592,0.054455445544554455,0.18219192902737205,0.037028037,0.102436736
A730081D07Rik,-3.1717556,-1.384742,0.0015152053183453468,0.008110272291621408,0.07920792079207921,0.20328897544087418,0.046343923,0.11677239
Dars2,-3.1721451,-2.334345,0.0015131733350620276,0.008101009665892943,0.06435643564356436,0.18944065779508817,0.021499475,0.10400012
Tyk2,-3.1728065,-1.690735,0.0015097315543906272,0.008084194273909159,0.07425742574257425,0.199466262757402,0.03472271,0.10801203
Fat1,-3.17345,-1.424741,0.0015063878757400103,0.008067897592412613,0.06435643564356436,0.1942370803130297,0.054554656,0.14022242
Tomm34,-3.174895,-0.96242994,0.0014989064915839293,0.00802942931197372,0.0891089108910891,0.2141801002560496,0.06480024,0.122615725
Polr3f,-3.175311,-0.945208,0.0014967591142107301,0.008019524905053303,0.11386138613861387,0.24007356918749323,0.07271344,0.13559957
Mid1,-3.1756833,-2.5389001,0.001494840179433005,0.008010840770116642,0.06435643564356436,0.18933246781348048,0.024919327,0.13683353
Paxip1,-3.1762745,-1.0552549,0.0014917971177597464,0.007996127778616474,0.11386138613861387,0.24173248223881136,0.066466354,0.13349567
Fads1,-3.176721,-1.5936517,0.0014895017020591635,0.007985417145716225,0.04950495049504951,0.17710699989181003,0.036235847,0.10559344
Tdrd5,-3.1791735,-1.0831674,0.0014769572939273739,0.00792132584587396,0.0891089108910891,0.21490136680010097,0.055349283,0.11384064
Gtf2ird2,-3.1796594,-0.95851094,0.0014744824029657923,0.007909631097562554,0.09900990099009901,0.22478271845360454,0.066850215,0.1260605
Cog2,-3.1804302,-1.3167255,0.0014705660838706682,0.007890197818211831,0.12871287128712872,0.24811569115366583,0.057607763,0.13777296
Pot1b,-3.181814,-0.87620395,0.0014635585575617906,0.007854167853342383,0.1188118811881188,0.24732229795520935,0.08926655,0.15818955
Abcb9,-3.182348,-1.4343015,0.0014608613638442526,0.007841259457949475,0.09900990099009901,0.22243860218543762,0.046881445,0.121965095
Csnk1e,-3.1846032,-0.398991,0.0014495260771418418,0.007788195499460366,0.11386138613861387,0.24577157488549894,0.11906877,0.15420645
Utp4,-3.1854877,-0.60791564,0.0014451021802827332,0.007765979116839408,0.11386138613861387,0.24075877240434201,0.08916519,0.13289967
Mtss2,-3.1856935,-1.0648811,0.0014440746439618052,0.007762596928665708,0.0891089108910891,0.21663240650582422,0.074516684,0.15000802
Rsph10b,-3.185987,-1.4961185,0.0014426110223786394,0.007757245981851919,0.07920792079207921,0.2039381153305204,0.03974878,0.108300716
H2bc6,-3.1862671,-2.3754268,0.0014412142130834638,0.007752838019129664,0.054455445544554455,0.17919867286955896,0.020960113,0.10427692
Man1b1,-3.1872656,-0.9260639,0.0014362482051185803,0.007729218760572052,0.09900990099009901,0.22463846514479427,0.06671687,0.12318355
Trap1,-3.1877298,-0.7376524,0.0014339448224352618,0.00771836886595262,0.10891089108910891,0.23379855025424645,0.080978185,0.13159458
Szt2,-3.1890347,-1.1043862,0.0014274875056720332,0.007685151127511026,0.07920792079207921,0.20592159832666163,0.0511342,0.10688099
Pcnt,-3.1893063,-0.93486035,0.0014261474103652427,0.0076794751335699536,0.09900990099009901,0.22496303508961737,0.07158343,0.13266169
Shkbp1,-3.190414,-1.9063872,0.0014206909705039427,0.007651626854568239,0.07920792079207921,0.20429874860254607,0.029190904,0.105297156
Airn,-3.1929758,-1.2376335,0.0014081479220258118,0.007587113427879199,0.09900990099009901,0.23037253417000253,0.076700635,0.17225935
Ccnjl,-3.1934793,-1.5113341,0.0014056942354012773,0.007575411974575275,0.08415841584158416,0.2123048072415161,0.052429836,0.14275858
Ajm1,-3.1937027,-0.7490778,0.0014046073410403574,0.007571073069960763,0.13366336633663367,0.2572036496087129,0.0886333,0.14476578
Slc26a8,-3.1938426,-1.2211545,0.0014039257637991774,0.007568917590947813,0.0594059405940594,0.1897291644127087,0.043765746,0.099209964
Fam184b,-3.1977136,-0.98821723,0.0013852173390111852,0.007471053773430459,0.10891089108910891,0.23827040282736486,0.07482691,0.14334789
Znhit6,-3.198756,-1.2901801,0.0013802198852128752,0.007447090023226899,0.09405940594059406,0.2203469292076887,0.0502854,0.11877959
Gemin5,-3.1994827,-1.5876055,0.001376744115063211,0.007429828152590577,0.09900990099009901,0.2211403224061452,0.041330483,0.11940095
Fancm,-3.2006433,-1.6425786,0.001371212172025241,0.007401460639276461,0.10891089108910891,0.23022828086119226,0.044418886,0.13261683
Fhip2a,-3.2010067,-1.1324503,0.0013694837464685093,0.007393616288448633,0.12376237623762376,0.24422085181578854,0.06564276,0.1386635
Radil,-3.2010987,-1.6168593,0.001369046752625026,0.0073927424121853795,0.07920792079207921,0.20721987810595405,0.034966547,0.10358656
Mroh1,-3.2022283,-0.492635,0.001363688457315803,0.007365288210668467,0.12871287128712872,0.2583576760791951,0.11120089,0.15314324
