names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Emx1_Mutant (for_DEGs)
Ppfia1,1.1516551,1.0612894,0.24946284645280747,0.9732432285180689,0.15833333333333333,0.11955242,0.2350777
4930570G19Rik,1.1499908,1.1276097,0.2501476531872202,0.9735235676107822,0.13333333333333333,0.09353506,0.19411324
Clec16a,1.1491587,0.5428477,0.25049054847139696,0.9735235676107822,0.23333333333333334,0.25799483,0.35683244
Pias1,1.1487427,0.30062905,0.25066211912618863,0.9735235676107822,0.5125,0.778894,0.8969965
Zbtb4,1.1470784,0.9377479,0.25134922205158516,0.9739397251567635,0.17083333333333334,0.1398336,0.2526932
Mtor,1.1449981,0.63328403,0.25220994710407274,0.9751490566762693,0.22083333333333333,0.23226556,0.34042165
Mfn1,1.1449981,0.29654554,0.25220994710407274,0.9751490566762693,0.4583333333333333,0.704393,0.81358445
Atp13a3,1.14375,0.45363304,0.25272736732852985,0.9756933607519472,0.25833333333333336,0.31209564,0.4065459
Msl2,1.1425017,0.55840725,0.25324552675313305,0.9769658035055715,0.20416666666666666,0.21192403,0.29834235
Tbc1d32,1.1416696,0.622052,0.253591377158644,0.9775118878555539,0.24583333333333332,0.27832493,0.40139598
Nsmce2,1.1412536,0.4816723,0.25376442562550083,0.9775118878555539,0.3,0.37758592,0.4950576
Nbas,1.1400054,0.50822335,0.25428406419129956,0.978785836980032,0.275,0.31654248,0.42502415
Xkr6,1.1387572,0.58269703,0.2548044426942392,0.9793336925807516,0.2125,0.22663215,0.32277447
Lrrc7,1.1345966,0.39631614,0.256544384783732,0.983713601429722,0.32916666666666666,0.47514713,0.5880891
Zmynd11,1.1337645,0.37098116,0.25689336088292103,0.983713601429722,0.3958333333333333,0.534516,0.64910436
Rps6ka2,1.1337645,1.0367727,0.25689336088292103,0.983713601429722,0.15833333333333333,0.12686089,0.24490663
Cep112,1.1316842,0.79214585,0.2577672423602202,0.9841503925337515,0.17916666666666667,0.17794518,0.29061934
Rnf216,1.1316842,0.36321184,0.2577672423602202,0.9841503925337515,0.32083333333333336,0.40795135,0.4995297
Ufl1,1.1316842,0.47506958,0.2577672423602202,0.9841503925337515,0.2791666666666667,0.3328339,0.43756232
Cmss1,1.1296039,0.27791014,0.25864318359112526,0.9845369056986637,0.6041666666666666,1.0694946,1.2001128
Gm40578,1.1291878,0.3349045,0.2588186191008647,0.9845369056986637,0.4375,0.6401786,0.7566632
Gm4876,1.1254432,0.47877553,0.26040124951908594,0.9874943536469288,0.32083333333333336,0.4577014,0.5927045
Fnip1,1.1250272,0.35409662,0.26057750980898786,0.9874943536469288,0.4041666666666667,0.57803583,0.6932586
Nwd1,1.1246111,0.28091627,0.2607538526219786,0.9874943536469288,0.5875,0.9915983,1.1184227
Pard3,1.1225308,0.29970536,0.2616368048157591,0.9886184342315376,0.5041666666666667,0.7372426,0.8509519
Tnpo1,1.1221148,0.42224783,0.2618136429364316,0.9886184342315376,0.32916666666666666,0.43195054,0.5446207
Gria2,1.1216987,0.11439794,0.26199056363634454,0.9886184342315376,0.8916666666666667,2.4328551,2.5054352
Plcl1,1.1204505,0.26976985,0.26252182129062074,0.9899021514604847,0.5291666666666667,0.90227216,1.0175705
Epn2,1.1183702,0.43613967,0.26340890303371867,0.9918034350419305,0.3333333333333333,0.44392332,0.56307226
Fgf1,1.1183702,0.5565097,0.26340890303371867,0.9918034350419305,0.23333333333333334,0.2748294,0.38198724
Vps13a,1.1175381,0.40964234,0.2637643142242192,0.9924204153926505,0.3416666666666667,0.47214273,0.5886557
Brd7,1.1133775,0.5581227,0.26554633129261995,0.9968503700489408,0.19166666666666668,0.20087214,0.28333655
Slc27a1,1.1129614,0.26253566,0.26572498794813726,0.9968503700489408,0.5875,0.9390008,1.053707
Sptlc2,1.1125454,0.7265058,0.2659037273514063,0.9968503700489408,0.17916666666666667,0.16314371,0.2571272
S100pbp,1.1108811,0.88920254,0.26661951258903815,0.9973687326525679,0.15416666666666667,0.13408409,0.2356754
Cyp4f15,1.1108811,0.71017885,0.26661951258903815,0.9973687326525679,0.17083333333333334,0.16205858,0.25295183
Snx14,1.1092169,0.6376543,0.2673366223758121,0.9978897986520768,0.20833333333333334,0.20889877,0.30854538
Snta1,1.1067206,0.3908876,0.2684147715927283,1.0,0.2833333333333333,0.35795027,0.44745973
Pcx,1.1067206,0.5602503,0.2684147715927283,1.0,0.25416666666666665,0.2902955,0.40323132
Larp1,1.1050563,0.49974126,0.2691351947559243,1.0,0.25833333333333336,0.2957037,0.39642698
Wtap,1.1038082,0.59456897,0.26967638238027336,1.0,0.19583333333333333,0.20049831,0.2891127
Vps4b,1.103392,0.70284885,0.26985694405403726,1.0,0.17916666666666667,0.17180791,0.26629105
Sfi1,1.1025599,0.9189137,0.2702183161409454,1.0,0.15416666666666667,0.12405507,0.22291884
Nr2e1,1.1017278,0.6481069,0.27058001992547387,1.0,0.17916666666666667,0.19025879,0.28398103
Gm5820,1.1013118,0.78661567,0.27076099622116734,1.0,0.12916666666666668,0.10950114,0.18200652
Ptpra,1.1004796,0.22754578,0.2711231976528313,1.0,0.5708333333333333,0.9040458,1.0008665
Snap25,1.0992315,0.27229476,0.27166712200050536,1.0,0.6375,1.1351128,1.2669888
Ap3b1,1.0988154,0.41427732,0.27184859606279366,1.0,0.35,0.4662607,0.5831162
Epc1,1.0971512,0.31343964,0.2725753222178823,1.0,0.4125,0.60025364,0.704183
Usp15,1.0971512,0.38210002,0.2725753222178823,1.0,0.3416666666666667,0.45208144,0.5566997
Khdrbs1,1.0967351,0.44167984,0.2727572112654636,1.0,0.2916666666666667,0.35152683,0.45242256
Lcorl,1.0959029,0.39301693,0.2731212384160926,1.0,0.3416666666666667,0.47670197,0.5888986
Rnf182,1.0954869,0.3943367,0.27330337653186354,1.0,0.29583333333333334,0.37681642,0.470934
Mfge8,1.0929905,0.24115194,0.2743979491896086,1.0,0.525,0.92072666,1.0246215
Ralyl,1.0917424,0.46058884,0.27494635691750646,1.0,0.25416666666666665,0.3435436,0.44731888
Dido1,1.0913264,0.46023482,0.2751293256676488,1.0,0.31666666666666665,0.40275723,0.52016324
Ankle2,1.0900781,0.74417526,0.2756787305254985,1.0,0.15,0.13745837,0.22059652
Lrp4,1.08883,0.36943826,0.2762288834204518,1.0,0.3541666666666667,0.50268537,0.61181647
Riok1,1.0867497,0.8478456,0.27714746765087717,1.0,0.13333333333333333,0.11034508,0.19059724
Fnbp4,1.0859175,0.48305213,0.2775154834378015,1.0,0.24166666666666667,0.28173393,0.37490082
Med13,1.0855014,0.32836387,0.27769961608890814,1.0,0.4125,0.58045536,0.6871101
Dtx1,1.0855014,0.5676206,0.27769961608890814,1.0,0.19583333333333333,0.2080795,0.29477248
Map2,1.0842533,0.2467527,0.2782525131411028,1.0,0.775,1.4941927,1.6293095
Mcu,1.0842533,0.29749787,0.2782525131411028,1.0,0.37083333333333335,0.5161744,0.6044941
Ubap2l,1.0842533,0.44892392,0.2782525131411028,1.0,0.325,0.41440853,0.5311604
Dicer1,1.0834211,0.6068683,0.2786215271480189,1.0,0.22083333333333333,0.23675473,0.34133607
Trip4,1.0830051,0.50970584,0.2788061589598919,1.0,0.2708333333333333,0.32050627,0.43043885
Parva,1.082589,0.7299665,0.27899087398477096,1.0,0.15,0.13459468,0.21427193
Grik1,1.082589,0.78534913,0.27899087398477096,1.0,0.15416666666666667,0.14177176,0.23310497
Itpkb,1.082173,0.5045097,0.27917567222816997,1.0,0.2625,0.30867603,0.41410157
Rhot1,1.081757,0.5320268,0.2793605536955769,1.0,0.25416666666666665,0.28628203,0.39156166
Rab5a,1.0796766,0.5126,0.2802862095829577,1.0,0.20416666666666666,0.22206977,0.30361018
Phlpp1,1.0796766,0.2521726,0.2802862095829577,1.0,0.8083333333333333,1.7249109,1.8707106
Aplp2,1.0792606,0.24788922,0.28047159050817927,1.0,0.525,0.80564094,0.9043154
Agbl3,1.0792606,1.0072224,0.28047159050817927,1.0,0.15,0.12424252,0.23579025
Terf1,1.0784284,0.828065,0.2808426021489505,1.0,0.14166666666666666,0.11852783,0.20163463
Smad1,1.0775963,0.806399,0.2812139468785375,1.0,0.175,0.1590302,0.26348174
Ano6,1.0775963,0.57638687,0.2812139468785375,1.0,0.225,0.24743634,0.3496782
Plekhm2,1.0763482,0.64177686,0.2817715886055141,1.0,0.22083333333333333,0.23602076,0.34736934
Bmt2,1.0751,0.59353083,0.28232998001490506,1.0,0.19583333333333333,0.19371855,0.27955553
C2cd5,1.0751,0.46904865,0.28232998001490506,1.0,0.30416666666666664,0.3946002,0.512621
Armh3,1.0751,0.6184012,0.28232998001490506,1.0,0.225,0.24138767,0.35004
Fam20c,1.0746839,0.9019785,0.28251627710449023,1.0,0.1375,0.10933723,0.19548316
Pcmt1,1.0742679,0.44400337,0.2827026575123438,1.0,0.30416666666666664,0.36041066,0.46391693
Ppp1r12b,1.0742679,0.39201152,0.2827026575123438,1.0,0.32083333333333336,0.41713122,0.51832217
Ago4,1.0738518,0.9503833,0.28288912124345056,1.0,0.14583333333333334,0.11939793,0.21918511
Zfp871,1.0734357,0.49613947,0.28307566830276853,1.0,0.2708333333333333,0.32654944,0.43481472
Usf3,1.0726036,0.868451,0.2834490124257366,1.0,0.14166666666666666,0.120393574,0.20992176
