names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Pkp4,-4.3359814,-1.4975067,1.4511113758128721e-05,0.002140016107777891,0.3953488372093023,0.752180128663331,0.5579032,1.1343668
Arhgef11,-4.34299,-1.628828,1.4055651070736812e-05,0.002098196357059434,0.23255813953488372,0.5972122944960686,0.23246719,0.5929775
Synpr,-4.3456974,-2.506064,1.3883395968066028e-05,0.002084060612636504,0.20930232558139536,0.5458541815582559,0.22128965,0.87839055
Pcdh7,-4.353847,-1.7272542,1.3376901674192234e-05,0.0020193109437390186,0.4186046511627907,0.785096497498213,0.8427534,1.682607
Kcnma1,-4.357724,-1.1875141,1.3142198809204194e-05,0.0019950897288322977,0.6744186046511628,0.8568620443173696,1.5262054,2.219303
Dleu2,-4.3621855,-1.3831661,1.2876952983606758e-05,0.001965930265167691,0.23255813953488372,0.6551107934238742,0.3894915,0.80745804
Unc13b,-4.3748255,-1.6895064,1.215296524890829e-05,0.001866001007075233,0.13953488372093023,0.5368120085775554,0.20019068,0.539343
Smyd3,-4.379089,-1.4152981,1.1917640145380446e-05,0.0018403850040596126,0.3953488372093023,0.7268763402430307,0.5305146,1.0530874
Brinp1,-4.3801737,-1.4425523,1.1858465289533621e-05,0.0018403850040596126,0.5116279069767442,0.779807005003574,0.88163465,1.5780631
Ralgps1,-4.3914742,-1.439211,1.1258465638290403e-05,0.0017588079750050184,0.3023255813953488,0.691529664045747,0.39528665,0.8392668
Mmd,-4.4037747,-3.3422332,1.0638349519936086e-05,0.0016716517637466821,0.09302325581395349,0.4578984989278056,0.04435754,0.3784292
Nr2f1,-4.4121885,-4.411397,1.0233093323033324e-05,0.001617430691705326,0.023255813953488372,0.4139742673338099,0.018205283,0.32998574
Ctnnd2,-4.41383,-1.1665887,1.0155778792184943e-05,0.0016147087345917718,0.6976744186046512,0.8846318799142244,1.7508657,2.458245
Adcy2,-4.433167,-1.6029186,9.285890382115932e-06,0.0014851897295681852,0.32558139534883723,0.6987848463187991,0.53381914,1.1451161
Agtpbp1,-4.445439,-1.5842043,8.771259343206042e-06,0.0014112798715685412,0.32558139534883723,0.6837741243745532,0.34623384,0.80672085
Fnip1,-4.445543,-1.6372367,8.767026598507896e-06,0.0014112798715685412,0.32558139534883723,0.66915654038599,0.3025916,0.7415563
Ssbp2,-4.445731,-1.5193008,8.759335699417351e-06,0.0014112798715685412,0.4186046511627907,0.7717298070050036,0.6585141,1.3005637
Gas7,-4.4458823,-1.6585523,8.75318762274464e-06,0.0014112798715685412,0.23255813953488372,0.6009292351679771,0.2563288,0.6535762
Rasa1,-4.448297,-1.5394892,8.655377465359409e-06,0.0014112798715685412,0.32558139534883723,0.6763759828448892,0.3527754,0.8018493
Cntnap5a,-4.45673,-1.8935174,8.321934093577033e-06,0.0013803109203358941,0.3488372093023256,0.7051107934238742,0.62281805,1.4376386
Map2k5,-4.459286,-1.8117634,8.223306040789925e-06,0.001372423809416306,0.2558139534883721,0.6288420300214439,0.22974178,0.64538926
Daam1,-4.4701433,-1.7059427,7.81672214918008e-06,0.0013127207759279296,0.27906976744186046,0.635132237312366,0.2682349,0.69499457
Frmd4b,-4.4739823,-1.9088101,7.677607058849054e-06,0.001297467306108642,0.16279069767441862,0.568084345961401,0.25302553,0.7329081
Tle4,-4.4789157,-2.0646548,7.502315187009245e-06,0.0012758684118666986,0.20930232558139536,0.5827376697641172,0.21545179,0.6960267
Gfod1,-4.482123,-1.9580952,7.3904183875179694e-06,0.0012648442170229799,0.18604651162790697,0.5577912794853467,0.16714182,0.5346521
Cacna2d1,-4.4898577,-1.5363935,7.127078007319917e-06,0.0012275935003633728,0.5813953488372093,0.826590421729807,1.0829636,1.8970515
Acap2,-4.497253,-1.3702133,6.883708036694898e-06,0.0011933240964257543,0.4418604651162791,0.7547176554681916,0.5604216,1.0792434
Schip1,-4.5162787,-1.6751786,6.293580743773175e-06,0.0010981072375661378,0.5348837209302325,0.8327734095782702,1.0788914,1.9740846
Arsb,-4.517222,-1.5358906,6.265619943569399e-06,0.0010981072375661378,0.23255813953488372,0.6324160114367405,0.31124243,0.72209096
Ski,-4.5245514,-1.9901452,6.052378403762962e-06,0.0010699171559809919,0.13953488372093023,0.5491065046461758,0.14757447,0.4896524
Abl2,-4.5247397,-1.6027654,6.046982321760839e-06,0.0010699171559809919,0.32558139534883723,0.6721229449606863,0.33238733,0.7873505
Pbx1,-4.5337763,-1.5061724,5.793834406963387e-06,0.001037868870100708,0.4883720930232558,0.8126518942101502,0.8992347,1.6371927
Cblb,-4.5377946,-1.9596277,5.684552975868144e-06,0.0010251271037689735,0.18604651162790697,0.5708720514653324,0.18464234,0.58152616
Kcnd2,-4.53954,-1.4069083,5.63771204720631e-06,0.001023549477759686,0.7674418604651163,0.9126161543959972,1.9783626,2.8634727
Itga8,-4.547105,-2.1418211,5.4388888595841775e-06,0.0009941696847416792,0.13953488372093023,0.5429235167977127,0.20918065,0.70646214
Eml1,-4.5544906,-2.367274,5.25126359491263e-06,0.0009664483068171394,0.06976744186046512,0.48355968548963546,0.09787381,0.425617
Eml6,-4.5548587,-1.4603039,5.24208218594144e-06,0.0009664483068171394,0.46511627906976744,0.7731236597569693,0.7538163,1.4099773
Cpeb2,-4.5711017,-1.9394435,4.8516653206226015e-06,0.0009053072719800646,0.20930232558139536,0.5954967834167262,0.20208018,0.62001795
