names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT-ET Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Cd109,4.0273924,1.3185682,5.6398828291303836e-05,0.0001489665306386842,0.04092566411191309,0.01309654415798135,0.019125134,0.007711874
Spata33,4.025322,0.40178558,5.689747090181358e-05,0.00015022453012987434,0.06302552273234616,0.03469555677454745,0.024131827,0.01831926
Spata48,4.022066,0.32476306,5.7689833998041915e-05,0.00015224178349316304,0.06161172706302552,0.03332419089413055,0.026050445,0.02085374
Fam241b,4.016649,0.40030333,5.903155133395071e-05,0.00015572136111753932,0.06354639482104323,0.03517553483269336,0.030651195,0.02331018
4933427D14Rik-1,4.013182,0.83024746,5.990566404707398e-05,0.00015799619090546503,0.051194285289084006,0.02331321996708722,0.018401373,0.010391169
Gm56492,4.004468,0.25423333,6.215721490292764e-05,0.00016377371685052616,0.06064439318401667,0.03236423477783873,0.024251161,0.020372583
Gm37168,4.0044265,0.6644026,6.216809708552703e-05,0.00016378632892323866,0.0492596175310663,0.02146187602852441,0.018226443,0.011538593
Gm57228,4.000509,0.5584899,6.320641835837875e-05,0.00016644026472850226,0.06012352109531959,0.03208996160175535,0.030402532,0.020744072
Sptssb,3.9996057,1.221001,6.344809230714312e-05,0.00016706028812277666,0.04315797306347199,0.015496434448710916,0.0177275,0.0076433537
Jchain,3.9959283,1.3565433,6.444125421199698e-05,0.0001695423970112953,0.04047920232160131,0.012822270981897971,0.014283943,0.005602426
Gm11817,3.9952705,0.5146893,6.462043381942933e-05,0.00016999716631369358,0.057147109159907734,0.029141524958859022,0.021759689,0.015280132
Adcyap1,3.9932299,1.4575694,6.517929855336914e-05,0.00017143380502437634,0.03839571396681301,0.010765222161272627,0.020386111,0.007470899
Gm5149,3.991729,1.6569393,6.559331799283487e-05,0.00017247210631837488,0.03876776545873949,0.011176631925397695,0.015575118,0.0049653593
Gm13446,3.9890344,0.99884754,6.634280698417902e-05,0.0001743916282200049,0.04539028201503088,0.01775918815139879,0.016566195,0.008324024
Gm31305,3.9884593,0.49830094,6.650378212407001e-05,0.00017479767442763974,0.05588213408735769,0.027907295666483818,0.021107297,0.014988626
4930483P17Rik,3.9877772,0.73243034,6.6695238448796e-05,0.00017528374971822658,0.05156633678101049,0.023724629731212286,0.020738823,0.012533925
2700069I18Rik,3.9871225,0.63652974,6.68795104849536e-05,0.0001757508505360101,0.04978048961976338,0.022010422380691168,0.021824462,0.014093291
Gm48727,3.985526,1.2269948,6.7330772673787e-05,0.00017691940756352987,0.04390207604732495,0.016319253976961053,0.017595274,0.007554734
Ptges,3.983043,0.6019153,6.803846727648602e-05,0.00017874399840821074,0.05171515737778108,0.02393033461327482,0.02125703,0.0140564535
Nfatc2ip,3.982904,0.344772,6.807827167346539e-05,0.00017883108415935232,0.062132599151722596,0.034078442128359844,0.025639046,0.02024374
Zfp791,3.9789233,0.28343868,6.922802789858464e-05,0.00018176246918457783,0.06793660242577573,0.03976961053208996,0.02634562,0.021696916
Gm15688,3.9739268,0.97058815,7.069732201888046e-05,0.0001855657949250091,0.04419971724086614,0.016662095447065275,0.017084086,0.008754437
Ccdc142,3.9720407,0.27554125,7.125955099935366e-05,0.00018698673196803055,0.06778778182900513,0.03963247394404827,0.025673136,0.021256657
Gm32880,3.9673328,0.45531625,7.268143189480095e-05,0.0001906433107197678,0.06235583004687849,0.03442128359846407,0.025811583,0.018891204
Gcnt4,3.965871,0.63448465,7.31283838939251e-05,0.00019177822323148227,0.045539102611801476,0.017896324739440483,0.021071125,0.0136241745
Nkd2,3.9599047,1.006729,7.49796703719186e-05,0.0001965181177227324,0.04226504948284843,0.014810751508502468,0.01930175,0.009652538
Gm56860,3.9590638,0.32867843,7.524417124027387e-05,0.00019715366954911351,0.06711808914353747,0.039083927591881513,0.025812507,0.020607354
Zfp78,3.955067,0.30359498,7.651323609436218e-05,0.00020042022361625188,0.06488578019197858,0.03688974218321448,0.026086263,0.021187935
Rtbdn,3.9531624,0.31725624,7.712506104256262e-05,0.000201944103509419,0.0704665525708758,0.04251234229292375,0.027027467,0.021749636
4930447M23Rik,3.9502792,0.50080615,7.80600348205714e-05,0.00020431259844425807,0.05610536498251358,0.028318705430608885,0.02269893,0.016094835
Gm19531,3.9409082,0.83375955,8.117369287015061e-05,0.00021223480854538744,0.04591115410372796,0.018513439385628085,0.020287016,0.011432971
Gm5914,3.9402645,0.39414936,8.139182609275042e-05,0.00021278442956919672,0.05312895304710172,0.025438837081733407,0.023858404,0.01820633
Gm14401,3.9393775,0.97908074,8.169326171134574e-05,0.00021355170173984435,0.046134384998883844,0.018787712561711464,0.017568232,0.008950981
Sag,3.9369993,0.3207208,8.250682893480047e-05,0.00021559452430984036,0.059974700498549,0.032227098189797035,0.023052396,0.018499564
4930556N13Rik,3.933817,0.26821434,8.36074458187719e-05,0.0002183006577738219,0.06079321378078726,0.03298134942402633,0.024062797,0.020021023
Kctd15,3.9325569,0.3614317,8.404706795633617e-05,0.00021940587933418372,0.05082223379715753,0.02331321996708722,0.021087378,0.016452447
Ttc6,3.9306784,1.4930006,8.470656284006797e-05,0.00022106306755173137,0.04018156112806012,0.013027975863960504,0.018342223,0.0065550874
Gm38251,3.9302466,0.472585,8.485876469203342e-05,0.0002214387692798813,0.05826326363568718,0.030718595721338452,0.022661941,0.016383363
Gm38572,3.927586,1.8017561,8.580271692443865e-05,0.00022388026837829352,0.03556812262817174,0.008433900164563905,0.013861727,0.003995585
Oaz3,3.9263542,0.71545947,8.624317218908436e-05,0.00022498582880783462,0.05052459260361634,0.023176083379045528,0.019263998,0.0117761055
Crnde,3.924964,0.9084916,8.674273571559911e-05,0.0002262451280021499,0.03913981695066597,0.011930883159626988,0.015822692,0.008460559
Gm48715,3.924763,1.2899941,8.681520043095944e-05,0.00022641215525379794,0.03928863754743656,0.012136588041689524,0.013972611,0.0057377527
Pth2r,3.9241266,0.4071886,8.704496049334897e-05,0.00022698933311881666,0.06823424361931692,0.0405924300603401,0.034039177,0.025775433
Gm11973,3.9232988,0.27646545,8.734469518564966e-05,0.00022774885586010737,0.06272788153880497,0.03503839824465167,0.025101887,0.020769501
Htr5a,3.922514,0.6091973,8.762980838675182e-05,0.00022847010977605488,0.051268695587469305,0.023861766319253977,0.020825924,0.013701526
Gm33696,3.922092,1.0638161,8.778346695895802e-05,0.00022884852597139825,0.0427115112731602,0.015496434448710916,0.016344287,0.007851872
Gm56890,3.9207625,0.9773519,8.82692517562955e-05,0.00023004799172567024,0.046208795297269144,0.019061985737794843,0.017005585,0.008673463
Gm57039,3.9207218,0.5668842,8.828414336600303e-05,0.0002300644876582777,0.05320336334548702,0.025850246845858474,0.02048192,0.013872703
Pus7l,3.919562,0.31656492,8.870996135946649e-05,0.00023115173213041743,0.05655182677282536,0.029004388370817334,0.021679362,0.01744509
Ttll12,3.9155722,0.31509867,9.019009322616137e-05,0.0002349401652919977,0.06190936825656671,0.03428414701042238,0.025676858,0.020690668
9030624G23Rik,3.9047842,0.61725605,9.430951545931422e-05,0.00024552821242047987,0.052980132450331126,0.025713110257816786,0.021161618,0.013846165
Gpr63,3.9047525,0.86852264,9.432190888991714e-05,0.00024553668783879805,0.046208795297269144,0.01913055403181569,0.017870123,0.009827132
A430005L14Rik,3.9017851,0.27728963,9.548590987706724e-05,0.0002484945664306825,0.0642904978048962,0.036684037301151946,0.030914668,0.025577424
4930519K11Rik,3.9017067,1.0490317,9.551682367166612e-05,0.00024855094441774827,0.04226504948284843,0.015222161272627537,0.015411177,0.007477766
Vamp9,3.8947818,0.40346485,9.828713905346468e-05,0.0002555617792110118,0.05729592975667833,0.029895776193088315,0.022936046,0.017388916
Dnajb1,3.8926187,0.2977872,9.916796429487681e-05,0.0002578271118145467,0.06756455093384925,0.039975315414152494,0.033676043,0.027480856
Gm11655,3.8874586,0.6570702,0.00010129924877358515,0.0002632154351171292,0.047920232160130964,0.020844761382336808,0.017069194,0.010858422
Gm56534,3.8838935,0.548671,0.00010279697167586788,0.00026705546059466016,0.05164074707939579,0.02447888096544158,0.018411096,0.012623313
Ubl4a,3.8829865,0.32498044,0.0001031812429494642,0.0002679760291950612,0.0686062951112434,0.04100383982446517,0.03582464,0.028701732
4933433G19Rik,3.8806386,0.4926016,0.00010418252371251078,0.00027049805895788625,0.05640300617605477,0.02921009325287987,0.021894496,0.0156104695
Gm47352,3.8785138,0.62445444,0.0001050965219127069,0.00027273938031624825,0.04985489991814867,0.022833241908941305,0.024367822,0.015874056
Cabcoco1,3.8758266,0.5570959,0.00010626329008507344,0.00027571404061277745,0.052831311853560534,0.02578167855183763,0.022543712,0.015377442
4933424G06Rik,3.866772,0.5138962,0.00011028550182109437,0.0002859017302395375,0.054765979611578246,0.027701590784421283,0.02113627,0.014849079
Gm45708,3.8655636,0.25765476,0.0001108329931700234,0.0002872656049463228,0.06793660242577573,0.04052386176631925,0.02745257,0.023013826
Gm34045,3.86331,2.3137243,0.0001118608281428414,0.0002898457523816922,0.0321452489024481,0.005485463521667581,0.012915727,0.0026113135
Gm15336,3.862138,0.57523507,0.00011239902615524228,0.00029118413351247207,0.05238485006324876,0.025438837081733407,0.019265583,0.0129714785
Calhm5,3.8612852,0.5736227,0.00011279216219303151,0.00029214626933938274,0.048069052756901556,0.021119034558420187,0.021174574,0.0142770875
Gm57076,3.8601758,1.0624839,0.00011330545249735637,0.000293447470708816,0.04687848798273681,0.02015907844212836,0.022919685,0.011039664
Ascl4,3.8595507,0.42698097,0.00011359572541073021,0.00029411419751265374,0.054765979611578246,0.027701590784421283,0.02099176,0.015655853
Thg1l,3.854959,0.5864836,0.00011574907159943339,0.0002996028854519579,0.049185207232681,0.022284695556774547,0.020696973,0.013830979
1110018N20Rik,3.8475876,0.83571506,0.00011928662104531296,0.0003086702145115138,0.04821787335367215,0.02146187602852441,0.018181613,0.010227938
Tmem267,3.8449936,0.40567392,0.00012055560729059177,0.0003118637881869838,0.058560904829228363,0.03154141524958859,0.02327593,0.017620549
Gm49041,3.8437371,0.6934364,0.00012117478108666788,0.000313435345379165,0.047027308579507404,0.020227646736149206,0.01747917,0.010844758
Ak9,3.8430417,0.5445736,0.00012151879987815187,0.00031429494202771593,0.047176129176277996,0.020433351618211738,0.018166257,0.0124901645
Tfip11,3.8329744,0.26304576,0.0001266031401678096,0.0003272875097468774,0.06622516556291391,0.039015359297860666,0.03205555,0.026783597
Mtfr2,3.83148,0.5079163,0.0001273747160905536,0.0003291871329569275,0.05223602946647816,0.025438837081733407,0.018929036,0.013348895
Zar1l,3.828155,1.7775844,0.0001291074221055898,0.00033353681684234187,0.03393109606369522,0.007473944048272079,0.014365998,0.0042115105
Gm15261,3.828045,1.0716447,0.0001291651849454386,0.0003336539626498688,0.039511868442592454,0.01295940756993966,0.01695034,0.008100402
Prmt6,3.8267272,0.31237376,0.000129858292828831,0.00033541212422480914,0.06071880348240197,0.03373560065825562,0.025403706,0.020508332
Gm17108,3.8153644,0.54066956,0.00013598216588052054,0.0003509259313493649,0.04844110424882804,0.021804717498628633,0.018647263,0.012856362
Gm3279,3.80882,1.6042773,0.00013963154547451745,0.00036024000258284047,0.03564253292655704,0.009325287986834888,0.013425708,0.004435647
Vcpkmt,3.8048217,0.27444315,0.0001419063395373365,0.00036596826407219807,0.06153731676464023,0.03455842018650576,0.023001947,0.019055022
Klhl21,3.8001206,0.5313711,0.00014462565022309214,0.00037273079047520487,0.05417069722449587,0.027564454196379595,0.02373847,0.016484462
Gm13584,3.7882826,1.080622,0.00015169227143518283,0.00039045611011240185,0.03832130366842771,0.012068019747668678,0.014324496,0.006798555
Gm57320,3.774767,0.3276459,0.00016015740620329847,0.0004118508474191435,0.058709725425998956,0.032158529895776194,0.023215702,0.018542519
Gm48393,3.7746212,0.8235117,0.00016025096783236998,0.0004120520101106011,0.04419971724086614,0.017964893033461327,0.015682736,0.008891963
Gm34667,3.769691,0.7346013,0.00016344976978737628,0.000419915413919763,0.04650643649081033,0.02029621503017005,0.019737005,0.011908268
Ankrd34a,3.7670963,0.4677685,0.0001651573605217906,0.00042418068029253614,0.06183495795818141,0.03524410312671421,0.03245846,0.023575103
Gm57382,3.7660837,0.61796063,0.00016582820723978618,0.00042582224087662986,0.04732494977304859,0.021050466264399343,0.017058467,0.011148121
4930538E20Rik,3.7545288,1.2747608,0.00017366796416785253,0.00044544274505442895,0.03936304784582186,0.013370817334064729,0.015530018,0.0064477245
Gm33906,3.745892,0.38290745,0.0001797538189381746,0.0004606566633160468,0.05097105439392812,0.024753154141524958,0.021738308,0.016712975
Clrn1,3.7439137,0.68430674,0.00018117590384496916,0.00046421250465474603,0.052980132450331126,0.026878771256171146,0.023123741,0.014452733
1700001L05Rik,3.7358677,0.5961293,0.00018706903449184769,0.0004787185673138998,0.0492596175310663,0.023176083379045528,0.018540952,0.0123037435
Ifitm7,3.733868,0.3817961,0.00018856149975854725,0.00048244596253210477,0.055286851700275315,0.029072956664838178,0.020805893,0.016006615
Gm50467,3.732913,0.3109317,0.00018927802927229414,0.00048418703794235945,0.05759357095021951,0.031335710367526054,0.020698754,0.016719053
Gm47106,3.7275002,0.41804054,0.00019338845273253718,0.000494607626587024,0.05327777364387231,0.027153044432254525,0.019271417,0.014458361
4933412E12Rik,3.7249475,0.48027456,0.0001953559034484978,0.0004995444542882694,0.0577423915469901,0.031609983543609436,0.024480524,0.017609252
Fpgs,3.7241101,0.27649817,0.00019600536352395046,0.0005011574952791463,0.0600491107969343,0.03380416895227647,0.023389302,0.019349223
Gm33533,3.7200527,0.54077727,0.0001991811842068771,0.0005090838409244542,0.052161619168092865,0.026124520021941853,0.018549824,0.012788036
Gm26679,3.7199397,0.6034979,0.00019927037931145703,0.0005092633718945074,0.04903638663591041,0.023107515085024684,0.018177234,0.012000547
Amigo2,3.7190852,0.7455258,0.00019994551179501106,0.0005109401713677553,0.04762259096658977,0.02173614920460779,0.022321427,0.013373505
Ush2a,3.7116725,0.5095821,0.0002058941570470281,0.0005255415597847104,0.04992931021653397,0.023998902907295668,0.022251146,0.015681373
B530045E10Rik,3.7092433,1.8465909,0.0002078795228084271,0.000530458003595673,0.03348463427338343,0.007885353812397147,0.013508858,0.0037744727
9230112J17Rik,3.7064416,0.54354215,0.00021019163160129268,0.0005362560901183758,0.05320336334548702,0.02735874931431706,0.01990573,0.0136995725
Gm14015,3.7013104,1.7583977,0.00021448887234801998,0.0005470636924528996,0.03400550636208051,0.008433900164563905,0.013601857,0.0040396806
