names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astro-Epen (for_DEGs),mean_expr_Rest (for_DEGs)
Arhgef12,29.908667,1.6463878,1.5180621607264092e-196,1.9516904430008905e-194,0.8009216589861751,0.7238102309005865,1.7127924,0.8967682
Rfx4,29.861609,5.210603,6.205016977733489e-196,7.901839156004685e-194,0.567741935483871,0.06288514366322667,0.9711449,0.04336121
Dgkb,29.68547,1.5223888,1.1826206943536698e-193,1.4249783882189735e-191,0.9105990783410138,0.7733313534783577,2.5096846,1.5961462
Tcf7l2,29.2911,3.4874308,1.3465094072474475e-188,1.5595132660663323e-186,0.6230414746543779,0.14707847650159625,1.0641912,0.15638223
Stox2,29.131586,1.502454,1.4296179798276696e-186,1.627704877880063e-184,0.8267281105990784,0.7432251837552899,1.8174815,1.0367181
Csgalnact1,28.960976,2.3002977,2.0415022913764916e-184,2.2667424202184436e-182,0.7225806451612903,0.47111886554309895,1.383547,0.474267
Glul,28.887129,3.3087213,1.7325207273176443e-183,1.8923915423993946e-181,0.6497695852534562,0.2559952483480585,1.225487,0.21736327
Glud1,28.855669,2.8503027,4.301372521618333e-183,4.6231151862353846e-181,0.680184331797235,0.4041873932734427,1.2460938,0.29523525
Ttyh1,28.852749,2.8188887,4.680022660292742e-183,5.010048162632111e-181,0.6811059907834102,0.39409013289776523,1.226115,0.29360592
Atp13a4,28.838024,6.2145295,7.160326229064801e-183,7.634839911705208e-181,0.5336405529953917,0.03485782166456307,0.91476136,0.019947365
Gpm6a,28.596516,1.0266236,7.4236332124612e-180,7.584525643301613e-178,0.943778801843318,0.8894869700794417,2.6100314,1.9719265
Egfr,28.480839,4.1300306,2.0234171686331722e-178,2.0516686536291823e-176,0.5723502304147465,0.10034152498329497,1.0298085,0.097883336
Scg3,28.21908,2.6879292,3.4113192491569787e-175,3.321092326987247e-173,0.6903225806451613,0.4299873784245304,1.302319,0.34752575
Trpm3,28.130949,2.1438825,4.09890737249528e-174,3.919489007080006e-172,0.8608294930875576,0.6789293934219318,2.630306,1.3645363
Son,28.019413,1.3543065,9.426355767829633e-173,8.825302420961055e-171,0.8202764976958525,0.7819437226223179,1.7527785,1.0528837
Zfp521,27.966639,3.9755547,4.13770167855064e-172,3.807535756940264e-170,0.5705069124423963,0.11856856485262454,0.9697816,0.0990162
Gpr37l1,27.318485,4.7244196,2.5585674906861568e-164,2.232100924504449e-162,0.5308755760368664,0.06882470859009578,0.91480446,0.05505696
Hepacam,27.204689,4.0125504,5.716222417500207e-163,4.922913344815082e-161,0.5529953917050692,0.10787734798426016,0.9003232,0.08662192
Gramd3,26.967287,4.0624566,3.577128104509609e-160,2.975771893751492e-158,0.5465437788018433,0.10394238622020938,0.9392189,0.089153446
Prkd1,26.87717,2.0796058,4.060965806462953e-159,3.2866913017969743e-157,0.7290322580645161,0.4969188506941867,1.4705154,0.5838282
Eps15,26.672249,2.1739552,9.881160998568677e-157,7.78612305077831e-155,0.7059907834101382,0.5093919370406118,1.2842697,0.45668334
Slc6a11,26.51818,3.9541261,5.9815869412061375e-155,4.6318513288244644e-153,0.5576036866359447,0.16820105427277451,0.9308512,0.09453223
Fam20a,26.268717,5.01617,4.369238098404445e-152,3.2702347549896224e-150,0.5087557603686635,0.0723513252654243,0.8482067,0.040439073
Cep85l,26.115143,2.14724,2.453826465273845e-150,1.7868378623823366e-148,0.6838709677419355,0.5292523572648303,1.2672529,0.45482197
Malat1,26.07478,0.7381703,7.046213322929864e-150,5.075918283837143e-148,0.9953917050691244,0.9936149677036157,5.473115,4.964258
Acss1,25.97665,3.369005,9.093222526621829e-149,6.446830851987561e-147,0.5769585253456221,0.211559878238919,0.98999566,0.1515982
Cdh20,25.955774,2.1249413,1.564883448713513e-148,1.1036330253787954e-146,0.728110599078341,0.46852030588759375,1.5981553,0.64405197
Asrgl1,25.759243,3.1071527,2.5396178052913834e-146,1.7632953599012784e-144,0.5963133640552996,0.26200905783651346,1.0231364,0.18796776
Gldc,25.46994,5.508368,4.245809460545566e-143,2.866454779016567e-141,0.48110599078341015,0.043989902739624324,0.799458,0.026542397
Pbx1,25.391502,1.1420116,3.1303376099167925e-142,2.0975603884903795e-140,0.8940092165898618,0.8088573761971936,2.2857065,1.6098975
Ccdc141,25.387093,4.563138,3.501760438122858e-142,2.3406045515512734e-140,0.5023041474654378,0.08107506125176331,0.84017736,0.054205965
Fgfr3,25.366879,5.504905,5.853388697066483e-142,3.90274328263465e-140,0.47649769585253454,0.03652832430024501,0.7460781,0.02412287
Acsbg1,25.034023,5.1232796,2.606329881908729e-138,1.6794264730668476e-136,0.47649769585253454,0.04525206028658401,0.73567,0.030706912
Tle4,25.010601,1.7768193,4.687857931996408e-138,2.9991129198272256e-136,0.7364055299539171,0.5759521865023387,1.443946,0.6651353
Scd2,24.837627,1.9835911,3.518161828317913e-136,2.213887782831436e-134,0.7235023041474654,0.5361942237731087,1.3824362,0.5622895
Tmem47,24.817617,3.7444115,5.786696872754138e-136,3.6329099292267214e-134,0.5345622119815668,0.17005716831242113,0.9190066,0.106545135
Atp1b2,24.631023,3.619102,5.878661356810889e-134,3.606384261586954e-132,0.5327188940092166,0.1593659514440567,0.9060688,0.11333542
Lpp,24.62243,1.8612661,7.266297675235222e-134,4.447503839033495e-132,0.6930875576036867,0.5230900586532037,1.2749585,0.53632206
Daam2,24.608955,3.4890895,1.0129903039476583e-133,6.158155988025696e-132,0.5290322580645161,0.13891157472715124,0.87563884,0.11753394
Gm973,24.606169,5.9274535,1.0850604706636935e-133,6.581393870594458e-132,0.4599078341013825,0.03370703095998218,0.75670123,0.018416457
Mfge8,24.505018,4.683855,1.3059943279777042e-132,7.815605254512452e-131,0.4774193548387097,0.05883881505679709,0.82072693,0.048308708
Pcdh7,24.428278,1.3286687,8.56476545523166e-132,5.069058321191073e-130,0.8949308755760369,0.7800876085826713,2.4486074,1.6504155
Bcl2,24.394253,2.9549444,1.968098706235119e-131,1.1622596095942341e-129,0.5797235023041475,0.2819437226223179,1.0267837,0.20792037
Slc27a1,24.369013,3.2170923,3.6454307022342726e-131,2.148086030022695e-129,0.5612903225806452,0.25009280570198233,0.9044764,0.14682232
Slc7a10,24.308945,5.576545,1.5767387065715572e-130,9.240605626194266e-129,0.45622119815668205,0.03385552008315391,0.73386866,0.02244339
Rmst,24.256315,2.6467738,5.671795100872274e-130,3.2774437496868384e-128,0.6,0.23609770584304698,1.1527702,0.29714674
Slc6a1,24.195429,2.528974,2.485410565077104e-129,1.4209145081621656e-127,0.6082949308755761,0.300987452669092,1.055253,0.28101096
Gpam,24.131805,3.8202586,1.159314130949631e-128,6.585786617043675e-127,0.5253456221198156,0.18059989605761378,0.8956967,0.09765422
Gphn,24.111195,0.77315456,1.9076367486381262e-128,1.0791199881243463e-126,0.9179723502304148,0.8782389189991833,2.4088876,1.9347699
Ugp2,24.09752,2.7112608,2.653918050239564e-128,1.488742755948582e-126,0.6036866359447005,0.3503229638428985,1.0660931,0.25521332
Fgd6,24.092295,4.640784,3.0106067006109333e-128,1.6818087743329683e-126,0.4737327188940092,0.07042096666419184,0.7412469,0.043093633
Pdlim5,23.983885,2.8926053,4.096176237454816e-127,2.2740548657109693e-125,0.5640552995391706,0.2278194372262232,0.94566387,0.19229275
Kank1,23.898441,3.6417768,3.179117200817367e-126,1.743324065019646e-124,0.504147465437788,0.11300022273368476,0.8566506,0.10307725
Glis3,23.853092,2.1747074,9.405097702134867e-126,5.126064406822796e-124,0.6663594470046083,0.3208107506125176,1.2675871,0.44807407
Ntrk2,23.83357,1.059886,1.4992572988358414e-125,8.138392650448295e-124,0.864516129032258,0.7765238696265498,1.934423,1.3453896
Fads2,23.726906,3.6682827,1.9028483540729856e-124,1.0266974954606652e-122,0.5105990783410138,0.15160739475833396,0.802844,0.09248423
Clmn,23.646807,2.4977589,1.2730544786797941e-123,6.800591221098622e-122,0.6110599078341014,0.3668423787957532,1.0858343,0.29814652
Gm40578,23.553259,4.593917,1.1624594852168735e-122,6.17298149560818e-121,0.471889400921659,0.08942757443017299,0.7491621,0.045145698
Ednrb,23.521236,4.1422853,2.473412771976194e-122,1.310859983885608e-120,0.4728110599078341,0.07539535229044472,0.77387,0.06405594
Fnbp1,23.48779,1.3937144,5.436776116935812e-122,2.8532455910559626e-120,0.7612903225806451,0.6887667978320589,1.5096023,0.8508066
Gli2,23.340322,5.7162824,1.728197757399685e-120,8.930129565640295e-119,0.4359447004608295,0.029066745860865693,0.66670173,0.017867317
Add3,23.310925,1.716014,3.4351517322775575e-120,1.7648666739253913e-118,0.688479262672811,0.5885366396911427,1.2717254,0.57738
Megf10,23.300253,3.4009843,4.407114767870891e-120,2.255603310717921e-118,0.5013824884792627,0.12005345608434183,0.8130465,0.112243995
Grin2c,23.113499,6.0012636,3.3874162301571577e-118,1.7076899456720983e-116,0.42857142857142855,0.023869626549855222,0.6748414,0.014932911
Tnik,23.09857,0.91784763,4.785693008360974e-118,2.403580768872138e-116,0.880184331797235,0.8144257183161333,2.2030213,1.6605247
Nfib,23.029924,1.0513409,2.337978806644629e-117,1.1676856976680516e-115,0.9179723502304148,0.8126067265572797,2.3079865,1.6806061
Itpr2,22.885128,2.671141,6.534911614089369e-116,3.2218912856987406e-114,0.5594470046082949,0.2125993021011211,0.96853435,0.22837372
Trim9,22.75568,1.1437417,1.2607340904180424e-114,6.125845390512261e-113,0.7935483870967742,0.7341673472418145,1.7934518,1.1840281
Camk2g,22.703173,1.8983064,4.1680729380283676e-114,2.0107023311458212e-112,0.6506912442396313,0.5302175365654466,1.1886257,0.4776731
Serpine2,22.700903,2.8013659,4.3889143965476365e-114,2.1134431870113796e-112,0.5548387096774193,0.24779122429282055,0.95863765,0.20757486
Gm5089,22.57004,5.1563854,8.536787201469174e-113,4.038441410272477e-111,0.43410138248847924,0.04840745415398322,0.716437,0.028938308
Il18,22.565998,3.2663023,9.353795079554988e-113,4.417161226496354e-111,0.5050691244239631,0.15918034004009207,0.7948981,0.11884442
Utrn,22.549534,2.093667,1.3570672345957855e-112,6.39726256027873e-111,0.6276497695852534,0.36491202019452074,1.1208124,0.39497516
Eya1,22.523628,3.303558,2.4358297888830156e-112,1.1462477482887326e-110,0.5023041474654378,0.15669314722696562,0.8657297,0.13053553
Eps8,22.410002,2.7977097,3.1442207921474772e-111,1.4616818803633689e-109,0.5465437788018433,0.2481995693815428,0.96126896,0.20885304
Grid2,22.357147,1.1913909,1.0288361502717794e-110,4.749970336392219e-109,0.895852534562212,0.8082262974237137,2.468776,1.746176
Tmtc2,22.111565,1.7631406,2.44637390068083e-108,1.1066341197187527e-106,0.6847926267281106,0.5112480510802584,1.3221434,0.5936549
Mdga2,21.98322,0.706965,4.1682877607055105e-107,1.8698145597688993e-105,0.9483870967741935,0.9104239364466553,3.1942816,2.7298353
Mmd2,21.901941,2.3227575,2.489410865657718e-106,1.105627602648312e-104,0.5898617511520737,0.3966144479916846,0.98547834,0.2893999
Palld,21.819214,4.3949304,1.5245724908941328e-105,6.671866910476441e-104,0.43870967741935485,0.07695448808374787,0.69298655,0.046423107
Plekhg1,21.752722,2.3576095,6.509954103634209e-105,2.8396504344910906e-103,0.5723502304147465,0.2645704952112258,0.985119,0.28324246
F3,21.536852,4.7088037,7.032828348116023e-103,2.994803450299169e-101,0.4221198156682028,0.05542356522384735,0.69069487,0.037345786
Kif1b,21.481342,0.7251316,2.3268173320973763e-102,9.877027126928357e-101,0.8737327188940092,0.859863390006682,1.9934082,1.5760119
Dnaaf9,21.23976,0.82272255,4.09985389908594e-100,1.7159357362685235e-98,0.8267281105990784,0.7990942163486524,1.7492832,1.3044878
Vcl,21.177166,2.3094583,1.5508527547602761e-99,6.420864949215503e-98,0.5788018433179724,0.399695597297498,1.01315,0.30298805
Ddah1,20.858278,3.3844168,1.2820417352016613e-96,5.103475766647206e-95,0.46543778801843316,0.14900883510282872,0.7352265,0.09893277
Pbxip1,20.77149,4.605732,7.838691655820757e-96,3.083830816865355e-94,0.4055299539170507,0.0471081743262306,0.62921834,0.035351858
Tril,20.635944,4.812248,1.3057148988643362e-94,5.062706974384518e-93,0.39815668202764976,0.04139134308411909,0.6029523,0.029028293
Znrf3,20.482054,1.8065948,3.1124910947742403e-93,1.1879635755196568e-91,0.6184331797235023,0.5025243150939194,1.0946157,0.44999865
Phkb,20.445972,1.7494689,6.5245984328690315e-93,2.4762141227569336e-91,0.632258064516129,0.5312198381468557,1.1405555,0.49044532
Tnc,20.365576,5.457517,3.378532298272284e-92,1.2714448579072306e-90,0.3861751152073733,0.03173955007795679,0.7253423,0.02395738
Cpq,20.330326,3.5539765,6.934014595617833e-92,2.594943902287621e-90,0.4359447004608295,0.10264310639245676,0.7163885,0.0853944
Mlc1,20.224213,5.0864534,5.993898251122485e-91,2.2092736077868477e-89,0.38433179723502303,0.030997104462098152,0.5834566,0.02304927
Slc25a18,20.139542,4.7769547,3.323917897308681e-90,1.2053127382008673e-88,0.3935483870967742,0.050374935036008615,0.5853069,0.028604243
Pygb,20.1055,2.3601873,6.605181752704319e-90,2.388711086072208e-88,0.5493087557603686,0.36628554458385926,0.8979619,0.24943903
Mcc,19.91621,2.373268,2.944470293930663e-88,1.042396795756481e-86,0.535483870967742,0.3057391046105873,0.914724,0.2536775
Fut9,19.87152,0.98661494,7.179610247983542e-88,2.5250802010905468e-86,0.7944700460829494,0.7471230232385477,1.7078388,1.1877137
Stard13,19.837961,2.1949186,1.400233445234679e-87,4.911784944315382e-86,0.5566820276497696,0.33714455416140765,0.9780882,0.3092587
Neat1,19.803509,3.0640748,2.776633474336379e-87,9.701968979898375e-86,0.44608294930875575,0.12094439082337219,0.71246886,0.117103234
Ghr,19.773407,2.1686974,5.045163616377323e-87,1.7447045865129817e-85,0.5668202764976958,0.39149157324226,1.0257463,0.33499575
Tmem164,19.761204,2.315629,6.425364947480126e-87,2.2162972546699742e-85,0.5410138248847927,0.3244858564110179,0.91092604,0.26130664
Dbx2,19.68696,4.1059003,2.7893601538019468e-86,9.499379890070762e-85,0.4129032258064516,0.09763159848541095,0.63169235,0.049887963
Ncoa1,19.663805,0.8037947,4.4042474853372986e-86,1.492334551462966e-84,0.7861751152073733,0.7855445838592323,1.6212852,1.2016193
Itga6,19.568426,2.9072165,2.874201291168975e-85,9.702234760516376e-84,0.46728110599078343,0.1718019155096889,0.76578385,0.14270474
Frmpd1,19.480095,3.9149466,1.6197995022167626e-84,5.4000015663231285e-83,0.41382488479262675,0.10301432920038607,0.6532458,0.059314642
Rgma,19.417753,3.3137262,5.462904797971519e-84,1.8122006410061075e-82,0.4359447004608295,0.1352735912094439,0.645823,0.08734504
Ston2,19.264217,2.7544527,1.0727521868609075e-82,3.4939213649639496e-81,0.480184331797235,0.2206177147523944,0.7596874,0.15579413
Gulp1,19.237305,3.9711533,1.8034355226126518e-82,5.838350902723127e-81,0.39078341013824885,0.06225406488974682,0.6274939,0.054164905
Rasa2,19.209826,1.7416662,3.0629717203747264e-82,9.856532949277713e-81,0.6073732718894009,0.5305887593733759,1.0782733,0.4574183
Myo10,19.203894,3.1562977,3.43359024728266e-82,1.1035953342641754e-80,0.4497695852534562,0.16831242111515332,0.6875346,0.10517958
Prdx6,19.153263,3.035018,9.090915493451146e-82,2.9011033172094095e-80,0.4663594470046083,0.20691959313980252,0.7252317,0.122180566
Atl2,19.088453,2.235634,3.1495767750887505e-81,9.94466838385837e-80,0.5474654377880185,0.3967258148340634,0.883446,0.26339456
Cd81,19.074152,1.9924539,4.1408950695644414e-81,1.3051703868890375e-79,0.5898617511520737,0.39538941272551786,1.0626873,0.3893486
Cdh10,19.041119,1.0011532,7.784646185741437e-81,2.443614988444771e-79,0.8387096774193549,0.7506496399138763,1.9846607,1.4196793
Lrp4,19.038752,3.779179,8.144572486769805e-81,2.5536133339498796e-79,0.40368663594470044,0.0916549112777489,0.62706107,0.0615855
Slc7a2,19.035753,4.441916,8.624438872611675e-81,2.7009169289868964e-79,0.37511520737327186,0.04703392976464474,0.56790406,0.034572862
Gsap,18.92485,3.1644366,7.119243713819645e-80,2.206390756520575e-78,0.432258064516129,0.1345682678743782,0.6896865,0.10504807
Notch2,18.84081,2.9828632,3.4957146437233916e-79,1.0747122709021457e-77,0.45069124423963136,0.17302695077585567,0.7171232,0.124544635
Dclk1,18.610077,0.7464429,2.662383083887965e-77,7.993098711069231e-76,0.9078341013824884,0.8239290221991239,2.3101544,1.8578415
Wwtr1,18.603,3.9052305,3.0381456567055482e-77,9.090754320231412e-76,0.3880184331797235,0.07921894721211671,0.5892057,0.052179947
Wdr17,18.579357,1.2182761,4.721214901268161e-77,1.407980514950893e-75,0.6829493087557603,0.6208330239809934,1.2633017,0.7373679
