names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_rest (for_DEGs),mean_expr_Rest (for_DEGs)
Ndufs2,-6.785061,1.2884543,1.1603757680179988e-11,3.10056651617379e-11,0.13173944864601123,0.22526852509717055,0.28972918,0.12890464
Rpl4,-6.791263,1.2102826,1.1115590304271942e-11,2.971012747197723e-11,0.1463771651622347,0.24545492539808583,0.32578012,0.15395519
G6pc3,-6.7924385,0.35602182,1.1025382073726002e-11,2.9474879745400227e-11,0.032202976335691635,0.1013917331884482,0.0658238,0.05179478
Mobp,-6.8016014,0.3504727,1.0346245299428497e-11,2.766480358201251e-11,0.14540131739448647,0.23454674635349188,0.3468516,0.28155428
Nol6,-6.812926,0.5311694,9.563333999862658e-12,2.5579014988683023e-11,0.037326177116369846,0.10741003886822419,0.071653485,0.0501258
Yipf3,-6.8189735,0.7477132,9.169315988552174e-12,2.4539792889680967e-11,0.05171993169065626,0.12404396706649391,0.10844833,0.06599216
B4gat1,-6.829894,1.1380148,8.49774415925484e-12,2.2746999956084635e-11,0.11002683581361308,0.1964726041710202,0.23766534,0.11502759
Dph3,-6.832732,0.33424073,8.331230371069836e-12,2.2310161458107084e-11,0.030495242742132226,0.0999289505579471,0.0624002,0.049811367
Bola3,-6.842395,0.3638482,7.788012838887098e-12,2.0872122978345932e-11,0.03244693827762869,0.1021440213984202,0.063539475,0.049721375
Rsph9,-6.8618407,0.3869806,6.7978856355567295e-12,1.8229459783174584e-11,0.03342278604537692,0.10335604129226397,0.066560864,0.051294822
Med19,-6.86734,0.63647753,6.541007110049209e-12,1.7544106712619507e-11,0.04635276896804098,0.11831821791281816,0.09419736,0.061604068
Adh5,-6.877711,0.50741714,6.0822056150569e-12,1.6320038433850497e-11,0.03903391070992925,0.1099594600242404,0.07842289,0.05580357
Mrpl23,-6.883353,0.823995,5.845991049011356e-12,1.5692485463230283e-11,0.05879482800683093,0.13290425042838633,0.12486776,0.07243958
Dda1,-6.8856773,0.83894265,5.7513163913035765e-12,1.5442977059491066e-11,0.04928031227128568,0.12216324654156392,0.10631839,0.0608245
