names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PV (for_DEGs),mean_expr_Rest (for_DEGs)
Fam20c,5.368769,1.1694864,7.927589824026366e-08,1.0862536388148316e-06,0.29313929313929316,0.1697222726447631,0.19809338,0.092940964
Cisd2,5.3678055,0.5347973,7.970047799512628e-08,1.091514701187076e-06,0.4885654885654886,0.39477219096024685,0.3803819,0.2772387
Mpp7,5.3653297,1.249001,8.080148194374317e-08,1.106029454828517e-06,0.27442827442827444,0.14380105282265385,0.20314652,0.09054646
Dcaf17,5.364076,0.6213141,8.136453847002057e-08,1.1126031291040472e-06,0.47401247401247404,0.3787257215465602,0.37486556,0.25901496
Arl3,5.363687,0.4159131,8.154022843523112e-08,1.1144384222048118e-06,0.5821205821205822,0.49359230350335814,0.51087886,0.40530807
Lynx1,5.3630414,0.841433,8.183214409582045e-08,1.1172915202513698e-06,0.35343035343035345,0.2354692321655473,0.25456604,0.14996286
Nek4,5.359301,0.9246259,8.35445275434196e-08,1.1383577358477102e-06,0.3596673596673597,0.250571791613723,0.25032923,0.13963348
Cntnap5b,5.3567967,0.70997727,8.471022230106835e-08,1.1530717696199123e-06,0.6943866943866944,0.5933926302414231,1.2136372,0.8945493
Sgce,5.3545628,0.4549723,8.576349894364414e-08,1.166817831197832e-06,0.5613305613305614,0.463750226901434,0.4913779,0.38044274
Tbc1d19,5.3495917,0.42957893,8.815294042843776e-08,1.1987193873037058e-06,0.6340956340956341,0.5297513160283173,0.56333524,0.44577548
Zfc3h1,5.3466783,0.35435355,8.958309329358467e-08,1.2169351449942468e-06,0.6715176715176715,0.5699037937919768,0.6256828,0.51888764
Pkd2,5.34578,0.520504,9.002851111194871e-08,1.2223679098423758e-06,0.5384615384615384,0.4475585405699764,0.46187901,0.3430589
Ctnnbl1,5.342446,0.68403023,9.170074108574564e-08,1.2444438954414069e-06,0.45114345114345117,0.36296968596841533,0.35528526,0.23548144
Stox2,5.3274555,0.35468942,9.959826660356906e-08,1.3482143192130483e-06,0.8731808731808732,0.7441640951170811,1.2316107,1.0639565
Uggt1,5.3240275,0.45895383,1.014945847149901e-07,1.373192090277837e-06,0.5654885654885655,0.4701760755127972,0.4656402,0.3586808
Prkra,5.321387,1.5889739,1.0297912909916383e-07,1.3925763456942789e-06,0.23284823284823286,0.09987293519695044,0.16152541,0.05663725
Cdk12,5.3182974,0.36022466,1.0474284860331596e-07,1.4157144577319416e-06,0.8253638253638254,0.6793247413323652,0.9231472,0.7802268
Ccar1,5.3173366,0.35361174,1.0529720677072391e-07,1.4224916771892165e-06,0.7027027027027027,0.6054819386458522,0.7019606,0.58582896
Tpp2,5.3094006,0.35743243,1.0998629879598833e-07,1.484345478979511e-06,0.6424116424116424,0.5451443093120348,0.57997876,0.47841486
Gm49003,5.3048897,1.4981906,1.1274104500097253e-07,1.519233640509595e-06,0.26403326403326405,0.14035215102559448,0.17843688,0.06686621
Fip1l1,5.303696,0.3266444,1.1348119042728974e-07,1.5284408956297119e-06,0.7027027027027027,0.5993828280994736,0.6807298,0.5753261
Pnisr,5.303486,0.36532184,1.1361208329758248e-07,1.5294372135300808e-06,0.8856548856548857,0.733962606643674,1.1282406,0.9641738
Bpnt2,5.3016667,0.42575353,1.1475024207308757e-07,1.5439854804726404e-06,0.5280665280665281,0.43220185151570156,0.43246067,0.33845627
Mir9-3hg,5.2990885,0.44498184,1.1638214293901813e-07,1.564376278524971e-06,0.5654885654885655,0.4771464875658014,0.5163392,0.40312773
Gapvd1,5.2985144,0.3471892,1.1674863304155243e-07,1.5685178849132571e-06,0.8108108108108109,0.6810310401161735,0.9231738,0.78515303
Plcg1,5.2969456,0.8421442,1.1775583529580925e-07,1.581259017690352e-06,0.37214137214137216,0.2649845707024868,0.26684105,0.15751451
Mccc2,5.2874265,0.6597676,1.2404922594206676e-07,1.664105192742553e-06,0.4407484407484408,0.34115084407333457,0.32656446,0.21869841
Wrn,5.2869687,0.57636625,1.243598326696803e-07,1.6674394729712122e-06,0.49272349272349275,0.4010891268832819,0.40578938,0.28941935
Zfp445,5.2855535,0.36307046,1.2532536213115917e-07,1.679547371802617e-06,0.735966735966736,0.6157560355781448,0.7233503,0.6016849
Epdr1,5.2843537,0.73360217,1.2614921508682325e-07,1.6889035422934433e-06,0.4074844074844075,0.303430749682338,0.30725196,0.19582462
Tenm4,5.278726,0.66572106,1.3008516685997043e-07,1.7389992206604008e-06,0.9542619542619543,0.7433290978398983,1.9472026,1.5661058
Erlec1,5.2769523,0.46926677,1.3135002224168594e-07,1.7541625733767898e-06,0.5384615384615384,0.46175349428208384,0.46609798,0.35690057
Zfp148,5.2762957,0.35371092,1.3182127273098843e-07,1.759581519265603e-06,0.8814968814968815,0.7439825739698674,1.1424004,0.9821627
Setd7,5.271964,0.45744237,1.3497154435342197e-07,1.8007375356387527e-06,0.5384615384615384,0.44625158831003814,0.44796982,0.34470373
Desi2,5.2657647,0.3470474,1.3960689787776e-07,1.8607328105036763e-06,0.6735966735966736,0.577418769286622,0.64410764,0.53704375
Igsf9b,5.2575874,0.48711997,1.4595754679414345e-07,1.942486023951775e-06,0.5218295218295218,0.40214194953712107,0.42512542,0.3206135
Ccnc,5.253625,0.44192147,1.4913426436672667e-07,1.983781031452448e-06,0.553014553014553,0.4553639499001634,0.4343308,0.33677027
Spock2,5.2508707,0.28985026,1.513817574901081e-07,2.0123063749344076e-06,0.656964656964657,0.5675440188781993,0.6305826,0.5416097
Robo2,5.250814,0.5328687,1.5142848865341913e-07,2.0123063749344076e-06,0.9417879417879418,0.7825013614086042,1.9816363,1.6720439
Hnrnpa2b1,5.2491145,0.28688273,1.528322130835456e-07,2.029956285494251e-06,0.7733887733887734,0.6707206389544382,0.8470794,0.7383475
Usp6nl,5.2487535,0.68216604,1.53131944369485e-07,2.0329324828103072e-06,0.3887733887733888,0.2739154111453984,0.31861916,0.21014115
Rnf227,5.241696,0.7513973,1.5910754437632436e-07,2.1100465949778927e-06,0.3659043659043659,0.2556180795062625,0.28198016,0.17689486
Gm1992,5.2400217,1.514697,1.605577804520616e-07,2.1273114204866347e-06,0.25571725571725573,0.1324015247776366,0.17284521,0.063944384
Sdha,5.238808,0.37413752,1.6161712359191293e-07,2.1402918240092166e-06,0.6008316008316008,0.5105100744236704,0.5289996,0.43045858
Spsb4,5.237736,2.5790918,1.6255803705708017e-07,2.1506324252701844e-06,0.1683991683991684,0.030314031584679615,0.10970048,0.019216932
Ttc9,5.2327905,1.2760962,1.6696979070758808e-07,2.2057415321105664e-06,0.2661122661122661,0.1404973679433654,0.17216274,0.07471236
Pak6,5.231307,0.9863975,1.6831574008424973e-07,2.222429452611199e-06,0.3596673596673597,0.2564167725540025,0.27026975,0.14550981
