names,scores,logfoldchanges,pvals,pvals_adj
Nrg3,3.313244,0.07280035,0.0009494120452650605,0.005848853421401676
Nrxn3,3.307286,0.23213212,0.0009693012815712195,0.005942283925950686
4930447C04Rik,3.3072236,1.0660737,0.000985037674081894,0.006019202149826922
Umps,3.303536,0.86311007,0.0009966919232803852,0.006070759896344164
Zbed5-ps,3.3009202,0.59914625,0.0010020424357034894,0.006093515842895065
Dgkb,3.296112,0.24026862,0.0010102507791781685,0.006136839899481975
Pknox2,3.286101,0.29473823,0.001051555596781145,0.0063400649606690914
Tshz2,3.283667,0.5263883,0.0010648865820042592,0.006410266224366946
Zfp804a,3.2821136,0.27274454,0.0010632138569399326,0.0064036013309206686
Terb1,3.2698061,1.2901945,0.001127774949157919,0.006699787906251372
Lrrtm3,3.2689238,0.27464747,0.001114023167515931,0.006628525657268989
Dnah5,3.2660375,0.6872775,0.0011334906987501235,0.006730212470869245
Galnt14,3.2561858,0.303274,0.001166557674707648,0.006897614908989398
Kcnab1,3.2556899,0.18282366,0.001167242905273005,0.006898064413573192
Acoxl,3.2475872,1.1843088,0.0012126709528705788,0.0071233152813713905
Tmem116,3.223995,0.5826078,0.001309051196121176,0.007616848249578661
Ppp2r2b,3.2142386,0.32093146,0.0013505170086471662,0.007798013303881623
Wdr72,3.2059073,1.3110963,0.0014053587423065697,0.008025525521355818
Agbl4,3.1995678,0.28588656,0.0014186155361363346,0.008071851113402874
Grb14,3.175939,0.2707524,0.0015372823801401447,0.00862996945479765
Sorbs1,3.1621203,0.13412845,0.0016137897155651584,0.008988165739962759
Sytl5,3.1592333,0.622959,0.0016337972117355774,0.0090772746950353
Gm31816,3.1577308,0.5664453,0.0016432797539469995,0.009119769111213682
Plcg2,3.1572297,0.61059994,0.0016471742497286268,0.00912332943735388
Ccdc171,3.157072,0.5053675,0.0016438619408272654,0.009119769111213682
Gm50467,3.1504285,1.4905831,0.0017009854916383742,0.009366888599003982
Npas2,3.1431513,0.47947818,0.001725093584869198,0.00947295570391558
Catspere2,3.1420143,0.40372154,0.0017304605390925552,0.00949782098116578
Dach1,3.140584,0.6350417,0.0017389084810568662,0.00953956430765838
Gm5087,3.1375065,0.4090971,0.001756917876630744,0.009629032486490764
Sema3e,3.1370823,0.48216048,0.001760173696743338,0.009642209370210361
Epb41l4a,3.1225803,0.61523384,0.001848796785905691,0.010069228478504156
Antxr2,3.1082542,0.5924707,0.0019391552246710816,0.010495724000454424
Grik1,3.0915859,0.39501622,0.0020513815921668257,0.010972032956119494
Rgs7,3.0827134,0.11135186,0.002106281669880681,0.011207437663561538
Gm28376,3.080023,0.34028104,0.0021265722145589546,0.011294173163907618
Spred1,3.0769653,0.31564292,0.0021494994013016027,0.011362643193715242
Gmnc,3.064421,0.69870585,0.002248781777500343,0.011821242370768979
Catsperb,3.0576806,1.4818745,0.002312064714155721,0.012080991582088247
Cacnb2,3.0548048,0.108690985,0.002309379592328676,0.01207253237485577
Usp29,3.030973,0.29437605,0.002502815353785204,0.012869835717942719
Gm42722,3.026778,0.65221286,0.0025428844397719446,0.013034441155064613
Cmpk1,3.0234575,0.46925586,0.0025669408184617517,0.01313990546448572
Ccdc30,3.017597,0.2716998,0.0026159349647114916,0.013336439264037919
Runx1t1,3.0116162,0.53862226,0.0026701997476350843,0.013553328123156535
Farp1,3.005531,0.38635758,0.0027202861674358895,0.013732412070386347
Epha6,2.9964974,0.08039756,0.0027944926609789213,0.01401330398594523
Brd9,2.989763,0.30698118,0.0028641239634223607,0.014286553144419116
Itgbl1,2.9860811,0.9568527,0.0029043101181258756,0.014456633279626386
Gpc3,2.9822125,0.64002967,0.002936698126583288,0.014584312669869547
Gm11659,2.9757934,1.0445117,0.0030120511339871694,0.014873726554791416
Shb,2.9748375,0.55890477,0.0030093842869224332,0.014867041134739403
Grid2,2.9729786,0.23248628,0.00301705914928065,0.014885473092507536
Clstn2,2.9713337,0.11162606,0.0030323862700560606,0.014937423365272024
Spink10,2.967284,0.3867746,0.00307934444247149,0.015113748210708574
4930511M06Rik,2.9585676,0.974393,0.0031816075581098022,0.015513493650399585
Gm14330,2.9549074,1.0454828,0.003223291177291653,0.015691025795560355
Silc1,2.944043,0.77155876,0.00332908902725742,0.01612287213671333
Rspo3,2.939076,0.41369665,0.003370409145682209,0.01625074615522513
Ptpn5,2.9307957,0.4714569,0.0034674347707487566,0.016664585699994978
Gm2087,2.9227777,0.89484245,0.0035619379643365098,0.017017647076026286
Gck,2.9182346,0.75843364,0.0036134352382580378,0.01721559525410926
Efcab1,2.9166021,0.51966834,0.003625932311431292,0.01726119562034488
Gm5468-1,2.9125283,1.2530591,0.003692857011687653,0.017488172289142324
Gm32250,2.9090433,0.69047385,0.0037210028815948437,0.017592031577577626
Gm44643,2.9008117,0.87045836,0.0038190379608990304,0.01788549112996324
Atp2b4,2.9003818,0.3467019,0.003810164865605052,0.017864387897824432
Nwd2,2.894254,0.323114,0.0038821435287078694,0.018111871106534488
8430422H06Rik,2.8940265,0.7292427,0.0038980324403832503,0.0181710256576614
ENSMUSG00000121500,2.8848162,0.6393107,0.004016703476729979,0.018601690579555644
Pla2g4e,2.879482,0.352213,0.004076083824703261,0.018830476192213393
Stc1,2.8660078,0.7372395,0.004256059073079714,0.019487002379491143
Pex5l,2.851474,0.19677852,0.004435096414546334,0.020216826369528238
Ppfia2,2.8491876,0.06703094,0.004461317687150061,0.02028734946650608
Mettl24,2.8399947,0.69472086,0.004616943552833065,0.020860681725383884
Trat1,2.8391774,1.1777776,0.004642278054875436,0.020950384382365312
6030443J06Rik,2.8389719,0.47964242,0.0046253329983108014,0.020882235063745296
Gm2824,2.8354597,0.47210485,0.004676520388769107,0.021062943660315275
Crybg3,2.8347905,1.2656158,0.0047084872907163676,0.021173233356942586
Wwox,2.8312068,0.29051572,0.004725068584175714,0.021217333788852683
9530026P05Rik,2.821162,0.70191556,0.004893743371356282,0.021843231311239195
Irf1,2.8208647,1.1339664,0.004916270552356322,0.021895238025328563
A330015K06Rik,2.8193657,0.44886428,0.004919322223477512,0.021895238025328563
Tafa2,2.8153493,0.11277042,0.004950098266391148,0.02197176114086514
Necab1,2.8104286,0.40030885,0.005048723570206507,0.02231330873748957
Tbc1d2b,2.8016424,1.0909342,0.005209000431319742,0.022880770461383374
Gm44644,2.7801142,1.0899277,0.0055628791524394445,0.024142767590292
Gm11639,2.7650325,1.3523554,0.0058338486800016895,0.025125684780694935
Sec1,2.7645133,0.89957535,0.00582990767460799,0.025118738432110453
Cfap299,2.762891,0.99496216,0.005860474134447998,0.02519291899178234
Pde7b,2.7622037,0.20906542,0.005842441397238641,0.02514403798591149
Slco3a1,2.7580934,0.23742397,0.005922867233437762,0.025347664569788285
Pbx1,2.75584,0.15778601,0.0059591109021012,0.025443250119280503
St3gal6,2.752895,1.1675491,0.006052110245958133,0.02576242267480599
Zbtb8b,2.7420847,1.2945127,0.006244406078917929,0.026431928983771107
Spock1,2.7408776,0.3878932,0.006249534871192828,0.026443753119027053
Osbpl9,2.7375846,0.28942063,0.00630183494778097,0.026615321564238688
Gm49497,2.7350838,0.7697126,0.006364311680143939,0.026826705246098436
Nedd9,2.7328713,1.1208953,0.006421649201773657,0.027000495325541447
Arhgap18,2.725913,0.83618224,0.0065495923605546945,0.027456880525198374
Zfp800,2.7165613,0.34718218,0.006717329532890025,0.027983930206370036
Satb2,2.7124827,0.6033126,0.00680640552764004,0.028240721798998964
Gm16083,2.7108324,0.7024066,0.00684202646048046,0.028336600443313917
