names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA2-FC-IG Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ar,6.8159065,1.358669,9.367124293559549e-12,6.972150409084351e-10,0.5828877005347594,0.33163927335640137,0.53790516,0.24514088
Luzp1,6.81152,0.9758415,9.657265580526713e-12,7.168252103556707e-10,0.6951871657754011,0.5384948096885813,0.83407056,0.50822246
Atp2a2,6.756689,0.7572205,1.4118061903933014e-11,1.0364817578106013e-09,0.8288770053475936,0.7649221453287197,1.393269,1.0265682
Gm49539,6.718365,3.2157676,1.8377470849612615e-11,1.3238676721959543e-09,0.3155080213903743,0.03269175317185698,0.15288727,0.017624546
Apbb2,6.71043,0.7460495,1.9405161965185855e-11,1.3941623048249838e-09,0.7005347593582888,0.68155276816609,1.1578656,0.8336315
Orai2,6.6985364,1.2877735,2.1051704465205484e-11,1.4964531719049506e-09,0.5347593582887701,0.2659313725490196,0.37865117,0.17272246
Sorcs2,6.695552,1.1474017,2.148592905958628e-11,1.5192813521870614e-09,0.6363636363636364,0.4581891580161476,0.74366695,0.4042799
Adcy5,6.674017,1.2489697,2.4889472782743927e-11,1.7416149314383575e-09,0.5668449197860963,0.33023356401384085,0.46210966,0.22086531
9530059O14Rik,6.666,0.8656243,2.6286916068004357e-11,1.829869001935951e-09,0.679144385026738,0.6132497116493656,1.1889441,0.8123798
Itga7,6.654948,2.3811626,2.83399682185854e-11,1.9626158402922417e-09,0.36363636363636365,0.09047001153402537,0.2281625,0.048024114
Chrna7,6.6499887,1.1216929,2.931151899241249e-11,2.0246799879848936e-09,0.6310160427807486,0.47397635524798154,0.8234079,0.46211407
Eepd1,6.6261334,1.3340535,3.4459329745532493e-11,2.374159462211431e-09,0.4919786096256685,0.23641147635524798,0.33821678,0.14810134
Amph,6.61247,0.6082678,3.7795926408315746e-11,2.597382461870701e-09,0.7754010695187166,0.745242214532872,1.4203044,1.1179975
Grik4,6.595499,1.0993471,4.2382800460459214e-11,2.8758228494256035e-09,0.679144385026738,0.5681228373702422,1.2421848,0.76529664
Ephb2,6.588688,1.0924901,4.437309604568657e-11,2.998312614192581e-09,0.6042780748663101,0.36962946943483277,0.4801552,0.2538874
Slc4a8,6.58856,1.1908206,4.441118051539439e-11,2.998312614192581e-09,0.5668449197860963,0.3427407727797001,0.44966072,0.22211793
Kcnab2,6.5668936,1.1877807,5.137573549165559e-11,3.451165031651964e-09,0.6310160427807486,0.41295415224913495,0.5930163,0.30404103
Matn2,6.5571065,1.1894493,5.486176397251329e-11,3.6670039749786867e-09,0.5775401069518716,0.31523933102652824,0.46619138,0.23144001
Gria2,6.5299253,0.46331388,6.580244149229494e-11,4.344254552574853e-09,0.946524064171123,0.9213163206459054,2.9600327,2.6583207
Hectd2os,6.5052695,1.5356191,7.75542716416251e-11,5.0457222252069404e-09,0.45989304812834225,0.20995530565167245,0.32963398,0.12635207
Rprml,6.4976935,1.5116096,8.156061021658971e-11,5.293559411883491e-09,0.48663101604278075,0.22631920415224913,0.3914828,0.15534018
Epha5,6.4954233,0.66662776,8.280023459325893e-11,5.361065791616548e-09,0.839572192513369,0.8533737024221453,2.4168255,2.0058234
Nrp1,6.483307,0.9100351,8.973370312882693e-11,5.782121350291558e-09,0.7272727272727273,0.6223327566320646,1.3258952,0.90492994
Cfap299,6.4743843,2.4231505,9.519919958628793e-11,6.119623188716642e-09,0.34759358288770054,0.07980103806228374,0.21900138,0.044637542
Ahcyl2,6.4728465,0.6959206,9.617356462262087e-11,6.167502819593849e-09,0.7165775401069518,0.747368800461361,1.5789857,1.2168928
Fndc5,6.437457,1.9606147,1.214914813268234e-10,7.69923609257487e-09,0.42245989304812837,0.1606473471741638,0.32284147,0.093397394
9530026P05Rik,6.417374,0.9304905,1.3864508380780873e-10,8.745054934074697e-09,0.5187165775401069,0.22722029988465975,0.3970104,0.22770467
Cotl1,6.4094844,1.9030439,1.4601262142168848e-10,9.181236295006755e-09,0.40106951871657753,0.14060697808535177,0.29706997,0.08845859
Gm11906,6.3897376,1.282103,1.6617055768469375e-10,1.0359635464008635e-08,0.5240641711229946,0.2880622837370242,0.42412537,0.19656608
Prex2,6.372375,0.8459905,1.861228951507172e-10,1.1549935779907092e-08,0.6310160427807486,0.3883001730103806,0.62122744,0.3914438
Iqcj,6.369513,1.0077989,1.896290139071698e-10,1.1740395400197355e-08,0.6310160427807486,0.37806372549019607,0.6243709,0.35851184
Fbn1,6.342992,1.1718187,2.253454953151976e-10,1.3761439679816725e-08,0.5508021390374331,0.3128964821222607,0.44344792,0.22130647
Nebl,6.3381414,0.54262686,2.3255315545296357e-10,1.4169395208664697e-08,0.7165775401069518,0.7478013264129181,1.6664553,1.3730758
Dapk1,6.3030753,0.83719325,2.9179711046311766e-10,1.7619299681222406e-08,0.7219251336898396,0.6472750865051903,1.165193,0.8042756
Bcl11b,6.2862587,0.9542847,3.2520777683420484e-10,1.9548843318870435e-08,0.7593582887700535,0.5483347750865052,1.0035512,0.637523
Runx2,6.281527,1.0264121,3.352639603686884e-10,2.010835405157736e-08,0.6363636363636364,0.5153546712802768,0.93048364,0.5618625
Slc4a7,6.271649,0.9277772,3.5724437132091436e-10,2.1331458349762153e-08,0.6684491978609626,0.5852076124567474,0.9374465,0.5969654
Cdk14,6.2710576,0.39270362,3.58604296492446e-10,2.1365182808762802e-08,0.7647058823529411,0.8084630911188004,1.8049558,1.5829285
Ak5,6.2651014,0.75745976,3.7258244116087285e-10,2.2148872110603214e-08,0.7486631016042781,0.6703431372549019,1.3900009,1.0236723
Kctd16,6.2497272,0.61510795,4.111697270256293e-10,2.4335089350613788e-08,0.8021390374331551,0.8045343137254902,2.3478644,1.9710579
Ntf3,6.2358637,2.0638106,4.492919956226343e-10,2.641679632905948e-08,0.40641711229946526,0.16234140715109574,0.37482145,0.10324641
Arhgap44,6.231619,0.8486106,4.6164005403640165e-10,2.708355513527972e-08,0.6737967914438503,0.5836216839677048,0.8948796,0.5897679
