names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NP SUB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Tmem178b,3.294715,0.5554531,0.0009852154972486242,0.011303475837348647,0.967479674796748,0.7838901932454397,1.8712627,1.5560465
Sympk,3.292376,0.34253144,0.0009934470936308556,0.011393053096825048,0.5284552845528455,0.41675997832761424,0.3528503,0.28795284
Srpk2,3.2922132,0.37442768,0.0009940224548681221,0.011394788123850872,0.9390243902439024,0.7629763409788695,1.2743216,1.0943938
Gm49906,3.2914467,0.9166193,0.0009967350091777032,0.01142101053160123,0.23983739837398374,0.11717536572150984,0.16328742,0.08980802
Nova2,3.2869155,0.30453858,0.0010129119185865157,0.011596481999326662,0.6585365853658537,0.5216904460899404,0.51880234,0.4386485
Rab28,3.2858553,0.27914384,0.0010167323255203227,0.011635263026716811,0.7642276422764228,0.5983023297814701,0.65959984,0.5708138
Macroh2a1,3.2819476,0.25187746,0.0010309274727339653,0.011792686757071796,0.524390243902439,0.40960809102402024,0.3471922,0.29906195
Slc12a5,3.2813916,0.26670155,0.0010329619463539323,0.011805907060199983,0.6056910569105691,0.4973090121004154,0.47022775,0.4048178
Pou2f1,3.276932,0.28037572,0.0010494162693982837,0.011983771848164845,0.7967479674796748,0.6356149539461803,0.7726243,0.67273724
Snx25,3.2745056,0.28677607,0.0010584702528990998,0.012082028757603575,0.5650406504065041,0.44179158389019324,0.4250846,0.36062726
Ipo8,3.2739615,0.30956686,0.0010605102545014255,0.012100174326307136,0.556910569105691,0.4372403828788152,0.38346073,0.31998032
2610008E11Rik,3.2734096,0.3230019,0.0010625837541052617,0.012118686533450078,0.4715447154471545,0.35911143218349284,0.2900456,0.23822168
Dera,3.2718687,1.7380141,0.0010683915150184657,0.01217975392810614,0.18699186991869918,0.06982120281741015,0.12219254,0.038223248
Apaf1,3.2678778,0.52450585,0.0010835716266294592,0.012347569808114321,0.3699186991869919,0.25595087592559146,0.22106737,0.15870881
Rab21,3.267727,0.31116262,0.0010841494960857577,0.012348917744732645,0.45121951219512196,0.3371139606284992,0.2672893,0.22071695
Mboat2,3.2671192,0.30984786,0.0010864790664243313,0.012370208692721095,0.7642276422764228,0.6222503160556258,0.76372683,0.6547811
Atat1,3.2666388,0.5350947,0.001088324683933452,0.012385973848916501,0.34146341463414637,0.22943832400216724,0.1980976,0.14079718
Afap1,3.2660906,0.49966106,0.0010904331422011769,0.012404715720129392,0.35365853658536583,0.2329781470110168,0.22444215,0.16378991
Uevld,3.263843,0.69432855,0.0010991204600000481,0.012498250850698812,0.34146341463414637,0.2368791764493408,0.21202116,0.13623822
Zbtb7a,3.2631202,0.25795007,0.001101927479154691,0.012519573515808265,0.540650406504065,0.43156944193606644,0.3931272,0.33843902
Plekhb2,3.2621713,0.55160767,0.0011056236886851866,0.012556258882067187,0.3617886178861789,0.2524471735596894,0.21469507,0.1513385
Lclat1,3.261226,0.29503283,0.0011093158228408578,0.012592866987635763,0.6178861788617886,0.4854614412136536,0.45629716,0.38613123
Map3k10,3.2577393,0.4906333,0.0011230352146932073,0.012732470978399359,0.43902439024390244,0.3361387032689182,0.28748736,0.21273181
Vash1,3.2538514,0.8069402,0.0011385176816668886,0.012902560146094179,0.3048780487804878,0.19566552284630667,0.16910869,0.10013075
Zfyve1,3.2529063,0.35256985,0.0011423112464615966,0.012940094094613448,0.516260162601626,0.40707964601769914,0.35520104,0.28818464
Prmt2,3.2500432,0.55249625,0.0011538749448818375,0.013055305961279491,0.37398373983739835,0.26216362651255193,0.22441529,0.15832295
Mprip,3.2474618,0.28932136,0.0011643925545073673,0.013156950353075257,0.8333333333333334,0.6512913129853711,0.8126113,0.7060416
Minar2,3.247303,0.6320388,0.001165042676955901,0.013158762812023985,0.35365853658536583,0.2450063211125158,0.21460879,0.14363375
Capza1,3.2469099,0.2687396,0.0011666531728272372,0.013171416283137758,0.5934959349593496,0.46646198302329783,0.42376438,0.36326385
Ergic1,3.2413106,0.30493537,0.0011898149715858814,0.01341037260340295,0.5691056910569106,0.45226657034495216,0.39960533,0.3347886
Zfp445,3.240707,0.28461748,0.0011923370525291528,0.013427534200108273,0.7804878048780488,0.6179158389019325,0.69837487,0.6040794
Sfxn1,3.2392693,0.44269443,0.001198363489359081,0.013489747364507126,0.42276422764227645,0.3134910601408705,0.26431778,0.20097815
Fubp3,3.2386458,0.3580209,0.0012009859031963583,0.013507949442815465,0.47560975609756095,0.35593281560411777,0.2802789,0.22506528
Txlng,3.2370057,0.25730473,0.0012079096915626282,0.013574459812751075,0.6788617886178862,0.5367166335560773,0.5392763,0.46875748
