names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SUB-ProS Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Klf3,-2.9784765,-1.2498497,0.002896852060521857,0.01028248545128432,0.2507598784194529,0.28269717302826974,0.09166392,0.20562708
Kitl,-2.9808178,-1.0297997,0.0028747981675693243,0.010210948679786879,0.24164133738601823,0.28145051882814504,0.12015667,0.23164807
Rab31,-3.0010448,-1.2680328,0.0026905504697885946,0.009597118163177955,0.2872340425531915,0.3130935357313094,0.1295934,0.28760412
Tspan18,-3.0022533,-1.6971167,0.0026798913035734717,0.009564175763981829,0.1094224924012158,0.16807831921680783,0.039221004,0.12195396
Tle4,-3.0292346,-0.5714153,0.0024517407998884753,0.00878845721624911,0.6869300911854104,0.5809041909580904,0.5203862,0.70034456
Gm32647,-3.044432,-0.9874188,0.0023312020263772546,0.00839220236451726,0.3890577507598784,0.3909360906390936,0.3139303,0.54880583
Itm2c,-3.0475512,-0.6972672,0.0023071431201199346,0.008311159088030921,0.6063829787234043,0.5400945990540095,0.36438352,0.5381433
Dock1,-3.0490017,-1.5447187,0.002296031037858172,0.008273347725258022,0.2553191489361702,0.2866937997286694,0.12607113,0.33074132
Fth1,-3.0611165,-0.8106058,0.002205133115075283,0.007969324384945912,0.6580547112462006,0.5782275510578228,0.48581576,0.7405538
Cd81,-3.068923,-1.1525197,0.0021483198096870497,0.007776553049480132,0.41033434650455924,0.4034392989403439,0.21106634,0.42028627
Ptprm,-3.078261,-0.9935114,0.0020821251676412635,0.007550162382526417,0.36930091185410335,0.38099952333809994,0.30680153,0.5393675
Unc5d,-3.0791612,-0.45830333,0.0020758431902373883,0.0075294150272244365,0.7051671732522796,0.636820298463682,0.99197674,1.2032578
Pdlim5,-3.1677606,-1.4379555,0.001536179656439158,0.0056660463100233595,0.19300911854103345,0.24258424082425842,0.08905182,0.22501618
Trpc6,-3.1857026,-1.1142068,0.001444029537333659,0.005349658578264914,0.30243161094224924,0.32750339163275033,0.1937977,0.38044462
Slc1a3,-3.2209115,-1.4830283,0.0012778363860763608,0.0047781051619637934,0.28419452887537994,0.31595350713159537,0.16340569,0.40293926
Tmtc2,-3.2236612,-0.73138654,0.0012656304793031907,0.004736419356389517,0.5683890577507599,0.5178381549517839,0.42253995,0.6275439
9130024F11Rik,-3.2653286,-1.1622517,0.0010933718028466569,0.004128569469152568,0.18085106382978725,0.23730429362373043,0.0810123,0.17299224
Unc13c,-3.269485,-1.434051,0.0010774345212592662,0.004071250961360776,0.17325227963525835,0.22967770322296777,0.097720556,0.24480893
Slc30a3,-3.270038,-1.522878,0.0010753308212540548,0.004063873300576153,0.12310030395136778,0.18729146041872916,0.04143636,0.11473366
Ece2,-3.2824364,-1.4969546,0.0010291422852782206,0.003894796226116308,0.14893617021276595,0.20694459722069447,0.0440286,0.11959927
Smoc2,-3.2892766,-1.3901497,0.0010044529703933862,0.003808332342947691,0.1519756838905775,0.21185788142118578,0.06352801,0.15863836
9530026P05Rik,-3.3177404,-1.4241344,0.0009074874025377006,0.003459943450289056,0.17325227963525835,0.2305210281230521,0.09290689,0.23211768
Prdm8,-3.3342857,-1.8546026,0.0008551878617209479,0.0032714831783089227,0.1033434650455927,0.16958163751695815,0.028683651,0.10006004
Cald1,-3.3591242,-1.4792966,0.0007818994534311447,0.0030086837052405637,0.1945288753799392,0.24636086972463608,0.07617511,0.199412
Wipf1,-3.4408123,-1.8118838,0.0005799705826231149,0.0022753408607217255,0.16869300911854104,0.2271110622227111,0.07609585,0.24498479
Gm30092,-3.450603,-1.225849,0.0005593358667484719,0.002199525060666097,0.17477203647416414,0.2361309720236131,0.08228799,0.18282695
Sncaip,-3.4541845,-1.729156,0.0005519596936981788,0.0021711545849319373,0.1702127659574468,0.22670773292267077,0.05840625,0.18182397
Ankrd44,-3.4608388,-1.3523657,0.0005384953271552813,0.0021216084223845176,0.3373860182370821,0.35309646903530967,0.15004528,0.34596053
Cecr2,-3.4773057,-1.3625987,0.0005064802976475053,0.0020013419996747746,0.22036474164133737,0.2695339713269534,0.09109421,0.2193346
Clmp,-3.4949417,-0.94207466,0.0004741652321562496,0.0018819527013350704,0.2765957446808511,0.3187768122318777,0.13216795,0.24018013
Itpr2,-3.4985454,-1.821509,0.00046780358495044445,0.0018586252147890644,0.16869300911854104,0.22795438712279545,0.0812392,0.2616922
Tox3,-3.572706,-1.0215831,0.0003533114132086952,0.001425019164352693,0.27811550151975684,0.32119678803211965,0.15523797,0.29336685
Tns3,-3.630911,-1.4472744,0.00028242249344938715,0.0011539982358553882,0.22036474164133737,0.27683056502768305,0.1090826,0.27329716
Pcsk1n,-3.6660392,-0.86684924,0.0002463362299805738,0.0010145699723448833,0.6033434650455927,0.5524144758552414,0.39331394,0.6306326
Psap,-3.6961105,-0.71066844,0.00021892772585386548,0.00090640801135491,0.7066869300911854,0.6226671066622667,0.47133705,0.68583953
St6gal2,-3.7349277,-0.84253955,0.00018776907785420614,0.0007851470777999563,0.39361702127659576,0.3989660103398966,0.1843045,0.30962345
Tle1,-3.7374525,-0.6706387,0.0001858942222924495,0.0007777916152286076,0.5364741641337386,0.49715836174971584,0.31494048,0.4632569
mt-Nd2,-3.761031,-1.1805251,0.00016921444525165024,0.000711993758833674,0.439209726443769,0.4373189601437319,0.24579915,0.48954195
Mgat5,-3.767208,-0.44587877,0.00016508331285924763,0.000695264673436988,0.7310030395136778,0.6230337696623034,0.57219195,0.71870655
Gm4876,-3.832207,-1.3937936,0.000126998796510361,0.0005424348533195676,0.15653495440729484,0.23180434862318045,0.08659566,0.2132465
Wnk1,-3.8399034,-0.29712462,0.00012308270709563261,0.0005269649999457694,0.8875379939209727,0.7592124078759213,0.91763777,1.046328
Agap1,-3.8595114,-0.28084806,0.00011361392583117993,0.0004882146469028954,0.8449848024316109,0.7047629523704763,0.80996025,0.9226654
Nwd2,-3.8765752,-0.6800879,0.00010593707165586021,0.0004574942326250344,0.5942249240121581,0.5324680086532468,0.46490836,0.66696364
Dok5,-3.902133,-0.9374508,9.534877219200844e-05,0.00041396372738718157,0.3100303951367781,0.351189821435119,0.14241794,0.25706485
Aplp1,-3.9129705,-0.7098033,9.116766139074853e-05,0.00039696565573965533,0.6869300911854104,0.6110805558611081,0.45695853,0.6665117
Stim2,-3.9243684,-0.5308859,8.695758348521842e-05,0.00037980335959815004,0.6717325227963525,0.5746342536574635,0.46945682,0.62359613
Plekhg1,-3.935458,-1.5097889,8.303818990149325e-05,0.0003633935118327563,0.21580547112462006,0.27851721482785174,0.12232308,0.31520346
Itm2b,-3.9360526,-0.48420474,8.283287090687198e-05,0.00036255403832344843,0.831306990881459,0.7214827851721483,0.71105415,0.8958296
Trhde,-4.0315237,-0.71779305,5.5416376511656745e-05,0.00024751297155389243,0.5425531914893617,0.5212847871521284,0.48462948,0.7058499
Zfhx4,-4.0982547,-1.1394023,4.16277072788824e-05,0.00018887816524545256,0.256838905775076,0.3151468485315147,0.13942501,0.28486398
Sipa1l2,-4.109966,-1.4490381,3.957179028029934e-05,0.00018003623515605206,0.23100303951367782,0.28973710262897373,0.08953037,0.22770771
Klf12,-4.1541233,-0.3039198,3.265367980499715e-05,0.00015026620591886857,0.8586626139817629,0.7135628643713563,0.9504293,1.0848224
Adcyap1r1,-4.157749,-1.181676,3.213987609726803e-05,0.00014797780512912815,0.24620060790273557,0.30290030433029,0.09558658,0.2050043
Prox1,-4.1968184,-1.431411,2.706908889846078e-05,0.00012575145551549813,0.25835866261398177,0.3101968980310197,0.14957829,0.36127797
Vgll4,-4.2024355,-0.9705135,2.6405872912754492e-05,0.0001228828897065662,0.40577507598784196,0.42001246654200125,0.19594143,0.353577
Cux2,-4.2035804,-1.1515666,2.627259722034268e-05,0.0001223474328094641,0.24924012158054712,0.311040222931104,0.14038308,0.2887964
Cdk19,-4.2052317,-1.0175718,2.6081498926321952e-05,0.00012154177526019265,0.47416413373860183,0.4760385729476039,0.27597222,0.49677458
Rplp1,-4.213958,-0.732521,2.509340565808165e-05,0.00011711999479462462,0.7218844984802432,0.6522568107652257,0.56814003,0.82023966
Adamts3,-4.223942,-0.74358964,2.4006613072674746e-05,0.00011234024612726757,0.42401215805471126,0.4433688996443369,0.26209944,0.40661412
Kcnc1,-4.2429285,-0.97391653,2.2062186818852106e-05,0.00010358395244147407,0.3677811550151976,0.3981960180398196,0.1756174,0.31996796
Chn2,-4.265722,-1.5844924,1.992571027985557e-05,9.409557736726172e-05,0.22948328267477203,0.2940270597294027,0.11084247,0.30124652
Dock11,-4.2992597,-1.293058,1.713696986661489e-05,8.158582216795572e-05,0.2689969604863222,0.3244967550324497,0.12983955,0.29248095
Fat4,-4.311746,-1.1486465,1.619704079293812e-05,7.74678686554374e-05,0.3009118541033435,0.34730319363473033,0.13564073,0.2792005
Frmd4b,-4.3164873,-0.82717276,1.5853187534127295e-05,7.593139911622111e-05,0.621580547112462,0.5675576577567558,0.48078844,0.7396986
mt-Nd4,-4.3202276,-1.3048725,1.558682410842485e-05,7.4762221312634e-05,0.4148936170212766,0.4269423972426942,0.22096778,0.4768197
Ubash3b,-4.32344,-1.1066362,1.5361499644319226e-05,7.377363636154739e-05,0.4376899696048632,0.44142558574414253,0.25496846,0.48575488
Ano3,-4.3353224,-0.35952517,1.4554681427364766e-05,7.012449165380872e-05,0.7446808510638298,0.6658233417665823,0.92608756,1.0838602
Gnal,-4.345284,-0.95931137,1.3909561753196333e-05,6.729382864753069e-05,0.3844984802431611,0.40717926154071793,0.18400931,0.33132908
Map4k4,-4.3532276,-0.5485992,1.3414783801499916e-05,6.504064250203947e-05,0.7188449848024316,0.6335203314633521,0.51148075,0.6814349
Epb41l2,-4.358683,-1.579388,1.308475034234341e-05,6.356666817912989e-05,0.2857142857142857,0.33901660983390164,0.15182352,0.39875433
Slc6a1,-4.393752,-1.4881343,1.1141073701084232e-05,5.45979665052222e-05,0.256838905775076,0.31489018443148903,0.12429812,0.31574857
Itgb8,-4.394863,-1.6282587,1.108426349495315e-05,5.435921885551947e-05,0.22644376899696048,0.28948043852894806,0.08760529,0.24923174
Lurap1l,-4.4101114,-0.9783013,1.0331740251929866e-05,5.082641167509255e-05,0.3495440729483283,0.3845561544384556,0.16365466,0.30033106
St18,-4.4116993,-1.3102711,1.0256251826069202e-05,5.0482778268268816e-05,0.364741641337386,0.4031459685403146,0.31165603,0.6454564
Npas3,-4.5752497,-0.9821362,4.756529130070265e-06,2.4432792530106675e-05,0.6458966565349544,0.5833608330583361,0.6579008,1.043299
Aplp2,-4.592636,-0.58147955,4.376818438989272e-06,2.2551315715367544e-05,0.7492401215805471,0.666959997066696,0.54761326,0.7376658
Scd2,-4.60786,-1.008521,4.068341096629989e-06,2.1022370243547653e-05,0.5668693009118541,0.5437978953543798,0.34261954,0.5999943
Dpf3,-4.6961784,-1.4457769,2.6507430159624032e-06,1.3946634979226509e-05,0.2127659574468085,0.2883071169288307,0.105321355,0.2643305
Atp6v0c,-4.712234,-0.72839993,2.4501575886811248e-06,1.2939413209092339e-05,0.7796352583586627,0.6794632053679464,0.6209713,0.8862717
Kcnc2,-4.719637,-0.7310563,2.3626601459946924e-06,1.2509296181847762e-05,0.6550151975683891,0.6025739742602574,0.7522795,1.051545
Serinc1,-4.811495,-0.5564612,1.4980556524322428e-06,8.133512907830747e-06,0.8009118541033434,0.6999963333699997,0.6363951,0.836549
Glis3,-4.818812,-1.4608401,1.4441546699056557e-06,7.855148983879548e-06,0.2750759878419453,0.33663330033366334,0.2056961,0.48775667
Sdk1,-4.8603916,-1.0098511,1.1715390028080457e-06,6.4374750522397115e-06,0.44832826747720367,0.4648186851464819,0.3379098,0.59307075
Cdh9,-4.8911943,-0.8819764,1.0022600905409919e-06,5.565349996453079e-06,0.5775075987841946,0.5350346496535034,0.51349777,0.8050556
Tmem164,-4.9029517,-1.4012076,9.440721083780774e-07,5.262144332403065e-06,0.2689969604863222,0.335129982033513,0.12026367,0.29082716
Plp1,-4.9056673,-0.8764497,9.311028139104041e-07,5.1916855384462666e-06,0.7948328267477204,0.7169361639716936,0.83274966,1.2196273
Nptx1,-4.9378643,-1.4193587,7.898269646442591e-07,4.435245671889497e-06,0.2872340425531915,0.3447732189344773,0.11254463,0.27657947
