names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6 CT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Jund,4.692205,-0.48200506,2.7027595166639987e-06,8.483021634477472e-06,0.33703329969727547,0.21221232368225687,0.11808762,0.16132298
Taldo1,4.6815386,-0.4338234,2.8472976792774787e-06,8.926249987421054e-06,0.3329969727547931,0.2129175946547884,0.12248289,0.16212766
Igfbp5,4.669145,-0.44123536,3.024556315750166e-06,9.47044767408044e-06,0.36427850655903127,0.23504083147735708,0.14782418,0.19581768
Clta,4.6688943,-0.32551616,3.0282492317183886e-06,9.480258284547723e-06,0.5539858728557013,0.3720861172976986,0.24272755,0.29584116
Gm35188,4.6640162,-0.312793,3.100965277480152e-06,9.701122017218731e-06,0.28355196770938446,0.17275426874536007,0.09588552,0.11778059
Tle5,4.658838,-0.3835286,3.1799984009282077e-06,9.943739908406952e-06,0.4772956609485368,0.3192650334075724,0.20309477,0.25755656
1700047M11Rik,4.657797,-0.4153981,3.1961161460214855e-06,9.992976593390425e-06,0.20787083753784055,0.10805493689680772,0.08969601,0.11791962
4930420G21Rik,4.6464243,-0.32037088,3.377382120077752e-06,1.0544998555250894e-05,0.17558022199798184,0.08047512991833705,0.07837051,0.096939884
Lsm7,4.642569,-0.25049883,3.4410344078498893e-06,1.0738745010328283e-05,0.4167507568113017,0.2773199703043801,0.15736067,0.18459551
Pdlim5,4.640022,-0.46392956,3.483723409252825e-06,1.0869443567884743e-05,0.3683148335015136,0.23674832962138084,0.16709854,0.22382587
Eef2,4.6350074,-0.38410956,3.5692452507065878e-06,1.1124651419381279e-05,0.45509586276488395,0.30556792873051225,0.1899604,0.24139231
Psmd2,4.632382,-0.31770682,3.614823773659834e-06,1.1260180245564543e-05,0.31786074672048437,0.20211581291759464,0.118388474,0.14552146
Shroom2,4.628603,-0.36414427,3.6814041104378575e-06,1.1460934821859023e-05,0.343087790110999,0.22160356347438753,0.12631628,0.15981936
Tspyl4,4.603383,-0.4473898,4.156826591970174e-06,1.2906624743036582e-05,0.4409687184661958,0.29402375649591683,0.18234138,0.24117742
Pja1,4.596824,-0.4213059,4.289790803422093e-06,1.3304094977833754e-05,0.27547931382441976,0.16607275426874535,0.0841931,0.111209065
Arl6ip5,4.584214,-0.35339373,4.556968576154788e-06,1.4124552502166243e-05,0.4571140262361251,0.3058277654046028,0.17822589,0.22254102
Sst,4.5832677,-0.5284502,4.577657842991488e-06,1.4185407247281891e-05,0.3784056508577195,0.24970304380103936,0.20047349,0.27776924
B3galt5,4.5773745,-0.34292224,4.7084772935574e-06,1.4582386454343861e-05,0.3440968718466196,0.22004454342984409,0.11735985,0.14663996
Klhl9,4.574755,-0.40415218,4.767772025487588e-06,1.4754121193694747e-05,0.31281533804238143,0.1959539717891611,0.10617601,0.13822517
B4galt1,4.5661345,-0.3849833,4.968000512910024e-06,1.5359587364157444e-05,0.2785065590312815,0.168634001484781,0.09313892,0.11997537
Pdcd5,4.5629673,-0.29186505,5.043563606071051e-06,1.5587825407767324e-05,0.27749747729566093,0.16952487008166295,0.1020375,0.12355482
Prkd3,4.5482874,-0.5870997,5.408422647436834e-06,1.66828511693982e-05,0.2401614530776993,0.13537490720118783,0.08900121,0.13087904
Inpp5d,4.5482273,-0.52507424,5.40996892474744e-06,1.668570534985809e-05,0.1977800201816347,0.10148478099480326,0.10234547,0.1441665
Sat1,4.547132,-0.4167942,5.43818523041401e-06,1.676695779015771e-05,0.20686175580222,0.10968819599109131,0.06662748,0.08798795
Dach1,4.531792,-0.3718044,5.848534454789101e-06,1.799291513627011e-05,0.3340060544904137,0.21533036377134374,0.16841997,0.212978
Adamts9,4.529265,-0.35588506,5.918921040302694e-06,1.82032057174011e-05,0.2714429868819374,0.16351150705270973,0.104046635,0.13131735
Gsn,4.5133257,-0.46391872,6.38189725967366e-06,1.959341628969735e-05,0.24318869828456105,0.1407201187824796,0.09945721,0.13473472
Prtg,4.5095086,-0.3773636,6.497797802743175e-06,1.994013555958304e-05,0.38042381432896066,0.24498886414253898,0.1362115,0.17357561
M6pr,4.5053167,-0.27443776,6.627407169184574e-06,2.0326267621959764e-05,0.2704339051463169,0.1653674832962138,0.0899432,0.107805
Mag,4.503255,-0.55265266,6.692061491824069e-06,2.0522220073649023e-05,0.3350151362260343,0.21507052709725316,0.19545442,0.27507114
Ptov1,4.4971795,-0.46715796,6.886092222037948e-06,2.1097981528638502e-05,0.30171543895055497,0.18830734966592427,0.10238285,0.1389193
Pfdn2,4.495775,-0.43951517,6.9316920296751105e-06,2.123527133022121e-05,0.31281533804238143,0.19951744617668893,0.10636837,0.14167525
Tmbim6,4.493597,-0.42028728,7.003008979285276e-06,2.144397165508779e-05,0.513622603430878,0.3474758723088344,0.22027025,0.28499004
Fli1,4.4917536,-0.52480555,7.063906851666918e-06,2.162059199274292e-05,0.18768920282542886,0.09365256124721603,0.088413045,0.12486558
Siglech,4.480839,-0.37846118,7.435034401544109e-06,2.2725443563814154e-05,0.1977800201816347,0.103637713437268,0.1113801,0.14250626
Lrrtm1,4.471887,-0.30828533,7.75324195616392e-06,2.367920110958451e-05,0.3895055499495459,0.2548997772828508,0.13743441,0.1675671
Anp32b,4.4612484,-0.32437843,8.148353375589736e-06,2.4860480890438994e-05,0.29061553985872857,0.1834075723830735,0.10207989,0.12625222
Arf1,4.4598603,-0.35385165,8.20130028291697e-06,2.5016339948005336e-05,0.5317860746720484,0.36228656273199705,0.23499496,0.2915775
Agmo,4.4542284,-0.6606803,8.419542482448814e-06,2.5667472941161748e-05,0.24419778002018164,0.1408685968819599,0.11713964,0.17936681
Anln,4.4475555,-0.3855782,8.685308797533353e-06,2.644767082839089e-05,0.21392532795156408,0.1182256867112101,0.08179364,0.10557134
Ehd3,4.446771,-0.32937554,8.717063893199975e-06,2.65413605450746e-05,0.35418768920282545,0.2301410541945063,0.118940204,0.14729482
Nsa2,4.4321294,-0.44437906,9.33070694003016e-06,2.8355134073581815e-05,0.37336024217961655,0.2441722345953972,0.12411707,0.1653603
Rgs10,4.430956,-0.44052327,9.381629385132475e-06,2.8506658552358883e-05,0.17658930373360243,0.08530066815144766,0.059438203,0.07983555
Cox7b,4.4237614,-0.31982797,9.699719635016745e-06,2.9433254273619417e-05,0.6306760847628657,0.43006681514476613,0.317938,0.3833443
Necab2,4.415215,-0.3120472,1.0090972361442302e-05,3.059284975199759e-05,0.2694248234106963,0.16347438752783963,0.08100676,0.09962166
D16Ertd472e,4.392157,-0.3337126,1.1223166519718513e-05,3.395254271389737e-05,0.2946518668012109,0.18437268002969562,0.099393055,0.12371822
Dock8,4.391898,-0.5282552,1.1236534136507877e-05,3.398915594370896e-05,0.18668012108980828,0.09476614699331849,0.090962775,0.12868935
Herpud1,4.387291,-0.26555496,1.1477120877061846e-05,3.468566392606588e-05,0.20282542885973764,0.10950259836674091,0.058582436,0.070016086
Clic4,4.386192,-0.49923444,1.1535240403284806e-05,3.485738974766788e-05,0.2209889001009082,0.12334818114328136,0.092068106,0.12778947
Psmd8,4.3849583,-0.27418625,1.1600800330259667e-05,3.503973750832703e-05,0.20988900100908173,0.11636971046770601,0.06851608,0.08228179
Pmm1,4.379761,-0.27766395,1.1880931007713516e-05,3.58536181690546e-05,0.28254288597376387,0.17746844840386042,0.10224857,0.12266647
