names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_14 (for_DEGs),mean_expr_Rest (for_DEGs)
Necab1,19.864334,2.123242,8.28442570697689e-88,2.558649640764012e-85,0.7454212454212454,0.4010553129548763,1.2063078,0.43006575
Slc35f4,19.492384,1.5976259,1.2740615615284275e-84,3.84652069194032e-82,0.8681318681318682,0.5862809315866084,1.5218714,0.7807749
Kcnc1,19.405424,1.8063214,6.9441884950800975e-84,2.0732260540311359e-81,0.7344322344322345,0.39021106259097527,0.8144006,0.3072168
Spock3,19.325018,1.760906,3.308657248860634e-83,9.76962860185552e-81,0.8571428571428571,0.5653566229985444,1.6691346,0.82022387
Rab3c,19.286804,1.4805508,6.932751356839824e-83,2.0248155321552834e-80,0.9010989010989011,0.6397016011644833,1.5652857,0.85697246
Fgf12,19.279863,1.2101338,7.928599756292169e-83,2.2907685532426944e-80,0.9963369963369964,0.8514919941775837,2.9320824,2.1609337
Grik2,19.245699,1.1243745,1.5338092423621205e-82,4.384410036411721e-80,0.9963369963369964,0.9145196506550218,3.3945317,2.6540046
Zmat4,19.157183,1.744049,8.431442344732192e-82,2.3847669031889895e-79,0.8315018315018315,0.5950145560407569,1.7007887,0.8488259
Mtss1,19.138336,1.6815889,1.2107333367320305e-81,3.38879216229059e-79,0.7728937728937729,0.44545123726346436,0.9421836,0.39746758
Gm45323,19.052773,3.4427443,6.231267277597316e-81,1.7085117525412232e-78,0.5805860805860806,0.1692503639010189,0.95058525,0.13625298
Arnt2,19.035519,1.5169849,8.663132208095281e-81,2.351296590217376e-78,0.8058608058608059,0.5707059679767104,1.1837064,0.5832967
Cracd,19.018438,1.4656188,1.2000702045936585e-80,3.22458863974316e-78,0.8351648351648352,0.5503275109170306,1.1607013,0.5843039
Aff2,18.991669,1.6081264,1.9987365892180383e-80,5.317430906167197e-78,0.8608058608058609,0.59617903930131,1.4260819,0.71164006
Ogt,18.985535,1.1062527,2.2464146336630886e-80,5.917760902600704e-78,0.9597069597069597,0.7687045123726346,1.6896669,1.1157978
Ptprz1,18.967588,1.7126096,3.1608246158968316e-80,8.166476675879602e-78,0.8663003663003663,0.5605531295487627,1.6397672,0.8186381
A530058N18Rik,18.896425,3.5146933,1.22046699434406e-79,3.1232331560023702e-77,0.5402930402930403,0.09970887918486172,0.5239563,0.058510214
Fnbp1l,18.69133,1.4809523,5.82426718547352e-78,1.4490561043858655e-75,0.847985347985348,0.5177947598253275,1.166276,0.5831902
Pclo,18.676281,1.1934091,7.721368774112593e-78,1.9034236601872051e-75,0.9835164835164835,0.8286026200873362,2.4271426,1.7075478
Garnl3,18.645176,1.5482259,1.3819907259832533e-77,3.3758264370154556e-75,0.8333333333333334,0.5135371179039301,1.2275226,0.60157853
Dlx1,18.569733,4.421025,5.6484253672533e-77,1.3673260325954609e-74,0.4981684981684982,0.04945414847161572,0.47067013,0.027671894
Eps8,18.371477,2.457239,2.2227920441766056e-75,5.2855240908872023e-73,0.6355311355311355,0.25225618631732166,0.8706014,0.22538993
