names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Lymphoid NN (for_DEGs),mean_expr_Rest (for_DEGs)
Sgsm1,-4.072672,-2.6009984,4.6476835390045687e-05,0.0007527622464921806,0.04878048780487805,0.4334169953388311,0.062377755,0.32966566
Zfp277,-4.073176,-2.3290277,4.6376340453451724e-05,0.0007515876163958069,0.04878048780487805,0.43388311222660453,0.0728864,0.32201645
Elapor2,-4.073263,-1.6793443,4.635896803028115e-05,0.0007515876163958069,0.07317073170731707,0.4717102904266762,0.14811063,0.41297206
Tsc1,-4.0735736,-1.3981146,4.6297249378539534e-05,0.0007512120113534766,0.0975609756097561,0.5083542488347078,0.17597903,0.41019922
Chst11,-4.0736704,-1.6104672,4.627797828435135e-05,0.0007512120113534766,0.07317073170731707,0.4717820007171029,0.16292845,0.43199354
Mon2,-4.074378,-1.1630312,4.6137529564264404e-05,0.0007495256465488419,0.14634146341463414,0.590354965937612,0.2837599,0.55085653
Eny2,-4.074465,-28.043018,4.6120241983845246e-05,0.0007495256465488419,0.0,0.367658659017569,0.0,0.24416924
Vps54,-4.0749397,-0.9938647,4.60262284231108e-05,0.0007486227347027767,0.14634146341463414,0.5892793115812119,0.31895846,0.5585861
Gm10115,-4.0752597,-28.029118,4.5963015608646056e-05,0.0007480473830431978,0.0,0.3677303693079957,0.0,0.24208963
Fam120c,-4.076956,-1.1556133,4.562916975536143e-05,0.0007430641159554919,0.14634146341463414,0.5887773395482252,0.29189217,0.56254315
Ift74,-4.0770235,-2.2348974,4.561586387008212e-05,0.0007430641159554919,0.024390243902439025,0.40200788813194693,0.06778477,0.2852891
Yipf5,-4.0777698,-2.811071,4.5469741785258524e-05,0.0007413664816564905,0.024390243902439025,0.4015059160989602,0.04492185,0.27948847
Ogt,-4.07778,-1.4203353,4.5467847019012814e-05,0.0007413664816564905,0.2682926829268293,0.77486554320545,0.5781423,1.1297685
Parp6,-4.0796885,-1.363679,4.5096034909920423e-05,0.0007361667424237922,0.04878048780487805,0.4381857296522051,0.1343875,0.3149191
Atxn3,-4.0804157,-3.108246,4.49552414281719e-05,0.0007343144906838778,0.024390243902439025,0.4014342058085335,0.036619507,0.27887008
Slk,-4.0814915,-1.7254589,4.474763194508131e-05,0.0007313679260123691,0.07317073170731707,0.470204374327716,0.13033892,0.3786831
Prkcg,-4.081656,-1.3367646,4.471591630956971e-05,0.0007312943829812162,0.12195121951219512,0.5473287916816063,0.26469082,0.56837946
Rabep1,-4.082877,-1.0571537,4.4481511222317005e-05,0.0007279039016709245,0.21951219512195122,0.7370025098601649,0.57189155,0.9576598
Galnt14,-4.083226,-3.0139124,4.4414752701214e-05,0.0007272543601959903,0.024390243902439025,0.402330584438867,0.056602284,0.38552973
Etv5,-4.0836043,-28.388659,4.434253821364148e-05,0.0007265146352442356,0.0,0.3684833273574758,0.0,0.30116263
Adgrl2,-4.08375,-2.2336237,4.431479307583533e-05,0.0007265030445074408,0.04878048780487805,0.43761204732879166,0.11819421,0.46377665
Paip2,-4.0837884,-1.1734691,4.430739715381161e-05,0.0007265030445074408,0.17073170731707318,0.6311222660451775,0.3306314,0.63330334
Fxr2,-4.0843987,-28.05098,4.4191065701947197e-05,0.0007253597650649487,0.0,0.3685550376479025,0.0,0.24536696
Ahcyl1,-4.0853486,-0.85506105,4.4010681331318804e-05,0.0007232825733165359,0.14634146341463414,0.5974901398350664,0.35020792,0.5644956
Cers4,-4.0860753,-1.619628,4.3873104081409024e-05,0.000721462855977638,0.07317073170731707,0.47522409465758336,0.13535444,0.3683875
Btbd1,-4.0866375,-1.491537,4.376699082996978e-05,0.0007201586304968083,0.04878048780487805,0.43872355683040515,0.13255388,0.33544135
Phc2,-4.0877714,-1.1096776,4.355367520896285e-05,0.0007170877774907058,0.14634146341463414,0.5935819290068125,0.3067527,0.5736453
Bmerb1,-4.088188,-0.9071997,4.3475525283647945e-05,0.0007162399536306685,0.14634146341463414,0.5969523126568662,0.3611882,0.59656143
Trip4,-4.0889735,-2.367719,4.3328673782626605e-05,0.000714258567201949,0.04878048780487805,0.43589100035855144,0.0726324,0.32845736
Tspoap1,-4.0893126,-1.6334454,4.326536512652946e-05,0.0007136527691527603,0.04878048780487805,0.4388669774112585,0.11193804,0.3129661
Exd2,-4.089332,-1.910948,4.3261750140694886e-05,0.0007136527691527603,0.04878048780487805,0.4382932950878451,0.09623693,0.32200536
Slitrk1,-4.0895643,-28.066408,4.321839265366009e-05,0.0007136527691527603,0.0,0.36902115453567585,0.0,0.24770382
St3gal3,-4.091115,-1.156164,4.293039443882232e-05,0.0007094340089613504,0.12195121951219512,0.5527429186088204,0.25272578,0.49518493
Chic2,-4.0911345,-1.531034,4.292680600882073e-05,0.0007094340089613504,0.07317073170731707,0.47465041233416994,0.14474794,0.37163308
Ppargc1a,-4.0916867,-1.3192024,4.282465528862895e-05,0.0007085581820230664,0.07317073170731707,0.4768375761921836,0.19151601,0.4231198
Faim2,-4.091987,-1.2588644,4.2769196489738275e-05,0.0007080765925318961,0.04878048780487805,0.43936894944424526,0.15876631,0.34483784
Herc1,-4.0932374,-1.6646472,4.253914716354294e-05,0.0007047021481408132,0.2926829268292683,0.802438149874507,0.64409906,1.3524414
